source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
15,11,0,291.066,3003,0.096925,1,3,3
4,10,1,12.988,134,0.096925,1,1,1
3,15,2,1273.4,13138,0.096925,2,3.5,3
8,3,3,13.0849,135,0.096925,1,3,3
13,3,4,1.35695,14,0.096925,5,5.2,3
4,8,5,401.076,4138,0.096925,3,3.33333,3
19,10,6,3.68315,38,0.096925,2,4.5,3
4,11,7,311.226,3211,0.096925,2,2,2
15,14,8,51.8549,535,0.096925,1,2,2
15,18,9,499.745,5156,0.096925,2,5,2
4,6,10,116.795,1205,0.096925,1,1,1
1,0,11,4484.43,46267,0.096925,12,5.25,3
0,12,12,197.049,2033,0.096925,4,4,2
19,16,13,26.0728,269,0.096925,3,4.33333,4
2,3,14,685.163,7069,0.096925,9,4.33333,3
3,5,15,53.8903,556,0.096925,3,3.66667,3
19,21,16,125.421,1294,0.096925,3,4.66667,3
12,17,17,173.108,1786,0.096925,4,3.75,2
14,11,18,56.0227,578,0.096925,1,1,1
7,12,19,9.88635,102,0.096925,1,1,1
12,18,20,822.409,8485,0.096925,3,3,2
12,3,21,15.508,160,0.096925,2,2.5,2
0,14,22,70.2706,725,0.096925,3,4,2
16,1,23,68.8168,710,0.096925,5,4,4
1,21,24,3335.67,34415,0.096925,5,3.2,2
6,15,25,841.018,8677,0.096925,3,3,2
15,9,26,169.91,1753,0.096925,2,3,2
18,11,27,15.1203,156,0.096925,2,3,3
13,14,28,3.39238,35,0.096925,2,3.5,2
6,7,29,114.275,1179,0.096925,2,2.5,2
11,21,30,75.5046,779,0.096925,1,2,2
2,19,31,223.315,2304,0.096925,5,4.2,2
5,8,32,79.6724,822,0.096925,8,6,5
13,12,33,1.26003,13,0.096925,1,3,3
4,16,34,404.371,4172,0.096925,2,2,2
4,15,35,330.127,3406,0.096925,2,2.5,2
16,5,36,63.292,653,0.096925,1,4,4
0,7,37,791.587,8167,0.096925,5,5,2
12,6,38,227.095,2343,0.096925,1,2,2
6,11,39,13.1818,136,0.096925,1,3,3
5,6,40,82.9678,856,0.096925,1,1,1
14,20,41,103.419,1067,0.096925,2,4,3
11,14,42,8.23863,85,0.096925,1,1,1
13,18,43,52.1457,538,0.096925,3,3.66667,3
11,8,44,1.35695,14,0.096925,8,5.625,5
13,10,45,3.39238,35,0.096925,3,3.66667,3
7,13,46,0.7754,8,0.096925,2,3.5,3
1,16,47,986.697,10180,0.096925,11,4.72727,4
9,4,48,1295.79,13369,0.096925,2,2.5,2
17,16,49,4.07085,42,0.096925,1,3,3
19,13,50,0.3877,4,0.096925,3,5,4
11,10,51,0.872325,9,0.096925,4,3.25,3
20,17,52,823.863,8500,0.096925,2,5,5
14,15,53,7.56015,78,0.096925,2,2.5,2
1,5,54,692.142,7141,0.096925,3,3,2
9,17,55,6.78475,70,0.096925,2,5,4
12,0,56,266.35,2748,0.096925,3,2.33333,2
9,19,57,41.9685,433,0.096925,1,2,2
13,20,58,0.58155,6,0.096925,5,6.2,4
13,15,59,19.7727,204,0.096925,3,4,3
16,11,60,6.30013,65,0.096925,2,4,4
21,5,61,75.4077,778,0.096925,2,2,2
5,21,62,388.572,4009,0.096925,1,2,2
2,15,63,2580.14,26620,0.096925,5,4,2
11,15,64,18.8035,194,0.096925,2,3.5,3
8,11,65,2.61698,27,0.096925,6,5.33333,5
10,11,66,5.8155,60,0.096925,2,3,3
12,1,67,91.4003,943,0.096925,1,3,3
9,1,68,12.0187,124,0.096925,5,4.4,4
10,19,69,6.30013,65,0.096925,1,3,3
15,16,70,48.8502,504,0.096925,3,5,3
2,11,71,187.744,1937,0.096925,4,3.75,2
15,20,72,32.5668,336,0.096925,2,4,3
16,6,73,197.824,2041,0.096925,2,3,3
13,1,74,2.61698,27,0.096925,1,1,1
15,4,75,3433.08,35420,0.096925,2,2.5,2
1,9,76,172.623,1781,0.096925,8,5.75,4
21,3,77,40.8054,421,0.096925,1,3,3
8,0,78,611.015,6304,0.096925,2,2,2
0,10,79,6.39705,66,0.096925,2,2.5,2
16,0,80,5.71858,59,0.096925,3,3.33333,3
5,2,81,317.623,3277,0.096925,2,2,2
14,4,82,2126.63,21941,0.096925,2,2.5,1
6,10,83,42.1624,435,0.096925,3,2.66667,2
15,8,84,81.0293,836,0.096925,1,3,3
19,17,85,5.0401,52,0.096925,3,5.66667,4
4,2,86,95.9558,990,0.096925,1,2,2
13,7,87,0.678475,7,0.096925,2,3.5,3
8,7,88,10.5648,109,0.096925,3,4.33333,4
21,10,89,0.96925,10,0.096925,1,1,1
0,19,90,4144.42,42759,0.096925,1,1,1
21,7,91,15.6049,161,0.096925,2,3.5,3
16,19,92,129.201,1333,0.096925,3,4.33333,4
12,19,93,99.542,1027,0.096925,4,4,3
2,10,94,26.4605,273,0.096925,8,3.75,3
13,21,95,305.411,3151,0.096925,2,3,2
5,16,96,23.262,240,0.096925,4,4.25,4
8,14,97,28.3021,292,0.096925,3,4.33333,4
10,5,98,92.0788,950,0.096925,2,3,3
1,4,99,3447.14,35565,0.096925,5,3.4,2
21,13,100,273.619,2823,0.096925,1,2,2
10,2,101,39.0608,403,0.096925,3,3.66667,3
20,16,102,0.484625,5,0.096925,1,2,2
18,20,103,26.1698,270,0.096925,1,3,3
13,17,104,2.22928,23,0.096925,2,3,3
7,10,105,7.56015,78,0.096925,2,3.5,2
1,11,106,61.9351,639,0.096925,3,3.66667,2
11,12,107,87.4264,902,0.096925,1,1,1
15,12,108,209.746,2164,0.096925,3,3.33333,3
12,7,109,295.234,3046,0.096925,1,1,1
15,10,110,13.1818,136,0.096925,1,2,2
7,20,111,23.1651,239,0.096925,1,3,3
21,12,112,56.7981,586,0.096925,2,3,3
13,11,113,1.26003,13,0.096925,2,3.5,3
6,1,114,223.8,2309,0.096925,1,1,1
21,0,115,15.9926,165,0.096925,2,2.5,2
4,19,116,1486.44,15336,0.096925,1,2,2
15,21,117,1387,14310,0.096925,1,1,1
1,15,118,11402.6,117644,0.096925,7,4.28571,3
14,8,119,102.353,1056,0.096925,4,5,4
19,9,120,478.907,4941,0.096925,1,2,2
17,19,121,3.97393,41,0.096925,3,5.66667,4
3,11,122,23.7466,245,0.096925,2,3,3
11,20,123,2.3262,24,0.096925,3,4.33333,4
7,5,124,10.7587,111,0.096925,1,2,2
18,13,125,19.4819,201,0.096925,2,3,3
19,11,126,1.5508,16,0.096925,4,4.75,4
18,12,127,43.5193,449,0.096925,1,2,2
9,2,128,37.7038,389,0.096925,1,2,2
7,17,129,5.62165,58,0.096925,3,4,3
0,15,130,49.8195,514,0.096925,1,1,1
10,9,131,66.7813,689,0.096925,2,3.5,3
4,0,132,168.746,1741,0.096925,1,1,1
7,2,133,53.2118,549,0.096925,1,2,2
18,10,134,22.3897,231,0.096925,2,2,2
4,1,135,66.3936,685,0.096925,2,2,2
7,1,136,20.1604,208,0.096925,3,3.33333,3
10,16,137,174.562,1801,0.096925,3,3,3
7,14,138,27.8175,287,0.096925,2,2.5,2
19,2,139,61.4505,634,0.096925,1,2,2
11,6,140,10.6618,110,0.096925,1,3,3
8,10,141,8.04478,83,0.096925,3,4.33333,4
9,18,142,394.194,4067,0.096925,2,3.5,3
6,16,143,125.809,1298,0.096925,5,3.8,3
7,15,144,14.4418,149,0.096925,3,4,3
16,8,145,322.276,3325,0.096925,1,4,4
18,8,146,55.0534,568,0.096925,3,4.33333,4
10,4,147,4268.97,44044,0.096925,1,1,1
8,17,148,4.45855,46,0.096925,3,5.66667,5
12,13,149,2.81083,29,0.096925,1,3,3
14,6,150,274.686,2834,0.096925,2,3,2
12,4,151,1159.51,11963,0.096925,2,1.5,1
7,19,152,19.5789,202,0.096925,2,4.5,3
11,18,153,103.613,1069,0.096925,4,3.25,3
14,16,154,185.418,1913,0.096925,3,3,3
0,5,155,121.932,1258,0.096925,6,4.33333,3
