source,destination,link_id,used_rate_c,usage,capacity_c
21,18,71,13903.3,0.453322,30669.7
21,17,69,7669.78,0.250076,30669.7
21,15,65,14562.7,0.474824,30669.7
21,14,63,3611.57,0.117757,30669.7
21,10,57,6242.26,0.203532,30669.7
21,6,47,4765.02,0.16659,28603.4
20,9,55,11447.7,0.324779,35247.5
20,3,25,17174.8,0.565295,30382
19,8,53,8977.32,0.224433,40000
19,0,9,2164.06,0.0747875,28936.2
18,21,70,2521.39,0.082211,30669.7
18,16,67,1518.27,0.0379569,40000
18,4,37,2841.9,0.118344,24013.9
17,21,68,10120.8,0.329993,30669.7
17,5,43,2563.96,0.0696727,36800
16,18,66,13766,0.34415,40000
16,3,23,1910.79,0.0628922,30382
15,21,64,13817,0.45051,30669.7
15,0,7,4786.94,0.165431,28936.2
14,21,62,10523.1,0.34311,30669.7
14,11,61,2351.3,0.0587825,40000
14,4,35,13467.7,0.560831,24013.9
14,1,15,1922.92,0.048073,40000
13,6,45,18205.8,0.636491,28603.4
13,1,13,3.31395,8.28489e-05,40000
12,11,59,5260.69,0.172885,30428.9
12,7,49,9598.85,0.315452,30428.9
12,5,41,11881.5,0.322867,36800
12,4,33,13350.7,0.555959,24013.9
12,2,19,1405.61,0.0461933,30428.9
11,14,60,6073.22,0.151831,40000
11,12,58,1909.51,0.0627532,30428.9
10,21,56,7009.22,0.228538,30669.7
10,4,31,11012.5,0.458589,24013.9
9,20,54,13435.7,0.381181,35247.5
9,8,51,4946.62,0.14034,35247.5
9,0,5,2619.86,0.0905394,28936.2
8,19,52,1730.16,0.0432539,40000
8,9,50,7076.65,0.20077,35247.5
7,12,48,180.881,0.0059444,30428.9
7,4,29,13231.5,0.550995,24013.9
6,21,46,12450,0.435262,28603.4
6,13,44,728.054,0.0254535,28603.4
6,5,39,13911.2,0.378021,36800
6,4,27,15857.1,0.660331,24013.9
6,2,17,3372.36,0.117901,28603.4
6,1,11,1051.46,0.0367601,28603.4
5,17,42,12473.1,0.338942,36800
5,12,40,4525.04,0.122963,36800
5,6,38,5779.01,0.157038,36800
4,18,36,13813.6,0.575233,24013.9
4,14,34,3851.52,0.160387,24013.9
4,12,32,978.791,0.0407594,24013.9
4,10,30,4674.56,0.194661,24013.9
4,7,28,1352.74,0.0563316,24013.9
4,6,26,4816.36,0.200566,24013.9
4,3,21,11483.2,0.377961,30382
4,0,3,12750.3,0.440637,28936.2
3,20,24,11646.8,0.383345,30382
3,16,22,12416.1,0.408665,30382
3,4,20,13729.1,0.451882,30382
2,12,18,30428.9,1,30428.9
2,6,16,28603.4,1,28603.4
2,0,1,28936.2,1,28936.2
1,14,14,18983.8,0.474594,40000
1,13,12,16433.7,0.410842,40000
1,6,10,18744.7,0.655332,28603.4
0,19,8,12961.1,0.447921,28936.2
0,15,6,9900.94,0.342165,28936.2
0,9,4,12955.6,0.447731,28936.2
0,4,2,17221.3,0.595148,28936.2
0,2,0,5889.63,0.203539,28936.2
