source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
15,11,0,257.03,3003,0.0855911,1,3,3,1
4,10,1,11.4692,134,0.0855911,1,1,1,1
3,15,2,1124.5,13138,0.0855911,2,3.5,3,2
8,3,3,11.5548,135,0.0855911,1,3,3,1
13,3,4,1.19828,14,0.0855911,1,3,3,1
4,8,5,354.176,4138,0.0855911,3,3.33333,3,2
19,10,6,3.25246,38,0.0855911,3,4.33333,3,3
4,11,7,274.833,3211,0.0855911,2,2,2,2
15,14,8,45.7912,535,0.0855911,1,2,2,1
15,18,9,441.308,5156,0.0855911,1,2,2,1
4,6,10,103.137,1205,0.0855911,1,1,1,1
1,0,11,3960.04,46267,0.0855911,4,3.25,3,3
0,12,12,174.007,2033,0.0855911,3,3,2,2
19,16,13,23.024,269,0.0855911,3,4.33333,4,2
2,3,14,605.043,7069,0.0855911,5,3.4,3,4
3,5,15,47.5886,556,0.0855911,2,4,3,2
19,21,16,110.755,1294,0.0855911,3,4.66667,3,3
12,17,17,152.866,1786,0.0855911,4,3.75,2,3
14,11,18,49.4717,578,0.0855911,1,1,1,1
7,12,19,8.73029,102,0.0855911,1,1,1,1
12,18,20,726.24,8485,0.0855911,2,2.5,2,2
12,3,21,13.6946,160,0.0855911,2,2.5,2,2
0,14,22,62.0535,725,0.0855911,2,2.5,2,2
16,1,23,60.7697,710,0.0855911,3,4,4,2
1,21,24,2945.62,34415,0.0855911,5,3.2,2,5
6,15,25,742.674,8677,0.0855911,3,3,2,2
15,9,26,150.041,1753,0.0855911,1,2,2,1
18,11,27,13.3522,156,0.0855911,3,3,3,1
13,14,28,2.99569,35,0.0855911,2,3.5,2,2
6,7,29,100.912,1179,0.0855911,2,2.5,2,2
11,21,30,66.6755,779,0.0855911,1,2,2,1
2,19,31,197.202,2304,0.0855911,3,3.66667,2,2
5,8,32,70.3559,822,0.0855911,7,5.71429,5,5
13,12,33,1.11268,13,0.0855911,1,3,3,1
4,16,34,357.086,4172,0.0855911,1,2,2,1
4,15,35,291.523,3406,0.0855911,2,2.5,2,2
16,5,36,55.891,653,0.0855911,1,4,4,1
0,7,37,699.022,8167,0.0855911,3,4.33333,2,2
12,6,38,200.54,2343,0.0855911,1,2,2,1
6,11,39,11.6404,136,0.0855911,1,3,3,1
5,6,40,73.266,856,0.0855911,1,1,1,1
14,20,41,91.3257,1067,0.0855911,1,3,3,1
