source,destination,link_id,used_rate,usage,link_capa
21,18,71,10641.9,0.266048,40000
21,17,69,3144.76,0.078619,40000
21,15,65,10239.9,0.255997,40000
21,14,63,2204.91,0.0551227,40000
21,10,57,2428.16,0.0607039,40000
21,6,47,2809.38,0.0702344,40000
20,9,55,6900.87,0.172522,40000
20,3,25,8106.37,0.202659,40000
19,8,53,5102.89,0.127572,40000
19,0,9,2713.36,0.0678341,40000
18,21,70,2297.09,0.0574273,40000
18,16,67,509.184,0.0127296,40000
18,4,37,2232.81,0.0558203,40000
17,21,68,5523.69,0.138092,40000
17,5,43,1078.11,0.0269526,40000
16,18,66,7806.09,0.195152,40000
16,3,23,908.291,0.0227073,40000
15,21,64,10153.2,0.253829,40000
15,0,7,4154.68,0.103867,40000
14,21,62,9928.61,0.248215,40000
14,11,61,969.897,0.0242474,40000
14,4,35,8275.81,0.206895,40000
14,1,15,1456.45,0.0364113,40000
13,6,45,11344.9,0.283621,40000
13,1,13,3.73525,9.33812e-05,40000
12,11,59,3271.1,0.0817774,40000
12,7,49,6300.44,0.157511,40000
12,5,41,7672.78,0.191819,40000
12,4,33,11209.3,0.280233,40000
12,2,19,1262.7,0.0315674,40000
11,14,60,3839.34,0.0959835,40000
11,12,58,667.463,0.0166866,40000
10,21,56,3551,0.0887749,40000
10,4,31,5850.93,0.146273,40000
9,20,54,5613.64,0.140341,40000
9,8,51,4523.64,0.113091,40000
9,0,5,2026.03,0.0506506,40000
8,19,52,1273.75,0.0318439,40000
8,9,50,3382.15,0.0845537,40000
7,12,48,83.8173,0.00209543,40000
7,4,29,9175.4,0.229385,40000
6,21,46,12849.3,0.321234,40000
6,13,44,513.275,0.0128319,40000
6,5,39,7655.79,0.191395,40000
6,4,27,10658.5,0.266461,40000
6,2,17,2648.27,0.0662069,40000
6,1,11,684.836,0.0171209,40000
5,17,42,8804.31,0.220108,40000
5,12,40,2609.33,0.0652333,40000
5,6,38,875.985,0.0218996,40000
4,18,36,11399.4,0.284985,40000
4,14,34,3124.69,0.0781173,40000
4,12,32,1119.45,0.0279864,40000
4,10,30,1879.73,0.0469931,40000
4,7,28,1194.41,0.0298603,40000
4,6,26,2436.13,0.0609032,40000
4,3,21,7939.65,0.198491,40000
4,0,3,7229.43,0.180736,40000
3,20,24,6855.51,0.171388,40000
3,16,22,6955.92,0.173898,40000
3,4,20,8321.7,0.208043,40000
2,12,18,25136,0.628401,40000
2,6,16,27658,0.691449,40000
2,0,1,24503.6,0.612591,40000
1,14,14,14822.7,0.370568,40000
1,13,12,10084.4,0.252109,40000
1,6,10,13936,0.3484,40000
0,19,8,9087.68,0.227192,40000
0,15,6,8269.23,0.206731,40000
0,9,4,10204.8,0.255119,40000
0,4,2,14289.8,0.357245,40000
0,2,0,4275.74,0.106893,40000
