source,destination,link_id,used_rate_c,usage,capacity_c
21,18,71,16708.9,0.417723,40000
21,17,69,3845.92,0.0961479,40000
21,15,65,15396.1,0.384901,40000
21,14,63,2569.05,0.0642263,40000
21,10,57,1434.4,0.0358601,40000
21,6,47,4633.84,0.115846,40000
20,9,55,6348.76,0.158719,40000
20,3,25,5123.32,0.128083,40000
19,8,53,6647.53,0.166188,40000
19,0,9,6897.38,0.176088,39170.1
18,21,70,4207.42,0.105186,40000
18,16,67,1853.43,0.0463357,40000
18,4,37,4025.64,0.117656,34215.4
17,21,68,3694.35,0.0923588,40000
17,5,43,702.796,0.0175699,40000
16,18,66,7799.03,0.194976,40000
16,3,23,1076.7,0.0269175,40000
15,21,64,19167,0.479174,40000
15,0,7,9207.56,0.235066,39170.1
14,21,62,18305.7,0.457644,40000
14,11,61,1258.49,0.0314622,40000
14,4,35,16949,0.495361,34215.4
14,1,15,1678.27,0.0419568,40000
13,6,45,2152.31,0.0538078,40000
13,1,13,8.15435,0.000203859,40000
12,11,59,4333.44,0.108336,40000
12,7,49,450.663,0.0112666,40000
12,5,41,15941.3,0.398533,40000
12,4,33,24060.5,0.703208,34215.4
12,2,19,1631.2,0.0407799,40000
11,14,60,5065.37,0.126634,40000
11,12,58,942.425,0.0235606,40000
10,21,56,4448.14,0.111204,40000
10,4,31,6527.72,0.190783,34215.4
9,20,54,1838.1,0.0459525,40000
9,8,51,7320.75,0.183019,40000
9,0,5,3830.59,0.0977935,39170.1
8,19,52,3552.25,0.0888063,40000
8,9,50,2639.29,0.0659822,40000
7,12,48,96.33,0.00240825,40000
7,4,29,5141.7,0.150274,34215.4
6,21,46,14844.7,0.371118,40000
6,13,44,800.431,0.0200108,40000
6,5,39,2934.26,0.0733565,40000
6,4,27,17562.9,0.513305,34215.4
6,2,17,3634.66,0.0908666,40000
6,1,11,1689.25,0.0422314,40000
5,17,42,8917.27,0.222932,40000
5,12,40,3438.96,0.085974,40000
5,6,38,780.86,0.0195215,40000
4,18,36,24392.1,0.7129,34215.4
4,14,34,4085.33,0.1194,34215.4
4,12,32,1782.65,0.0521008,34215.4
4,10,30,1571.61,0.045933,34215.4
4,7,28,2026.95,0.059241,34215.4
4,6,26,2650.81,0.0774743,34215.4
4,3,21,9177.44,0.268226,34215.4
4,0,3,15900.4,0.405933,39170.1
3,20,24,5663.03,0.141576,40000
3,16,22,5067.76,0.126694,40000
3,4,20,12749.2,0.372615,34215.4
2,12,18,40000,1,40000
2,6,16,40000,1,40000
2,0,1,39170.1,1,39170.1
1,14,14,31730,0.793249,40000
1,13,12,185.158,0.00462895,40000
1,6,10,28876.2,0.721904,40000
0,19,8,13974.7,0.356769,39170.1
0,15,6,19551.5,0.499143,39170.1
0,9,4,16195.5,0.413466,39170.1
0,4,2,27282.2,0.696504,39170.1
0,2,0,6607.3,0.168682,39170.1
