source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
14,12,0,9.97934,34,0.29351,1,1,1
14,29,1,2.64159,9,0.29351,3,4,2
14,10,2,2.64159,9,0.29351,3,4.33333,1
14,0,3,0.58702,2,0.29351,2,4,2
14,35,4,0.58702,2,0.29351,4,4.5,2
14,28,5,0.58702,2,0.29351,2,3.5,3
14,44,6,0.58702,2,0.29351,6,6.16667,2
14,48,7,0.58702,2,0.29351,1,1,1
14,3,8,0.58702,2,0.29351,11,7.27273,5
14,31,9,0.58702,2,0.29351,13,8.69231,4
14,11,10,0.58702,2,0.29351,23,9.26087,4
14,13,11,0.58702,2,0.29351,36,10.1944,3
14,8,12,0.58702,2,0.29351,38,10.5,4
14,43,13,0.58702,2,0.29351,10,6.7,5
14,32,14,0.58702,2,0.29351,10,7.3,4
14,21,15,0.58702,2,0.29351,9,5.66667,4
14,6,16,0.58702,2,0.29351,4,4.25,3
14,27,17,0.58702,2,0.29351,8,6.125,5
14,36,18,0.58702,2,0.29351,2,3.5,2
14,22,19,0.58702,2,0.29351,6,4.33333,4
14,4,20,0.58702,2,0.29351,6,5.16667,3
14,39,21,0.58702,2,0.29351,3,3.33333,3
14,16,22,0.58702,2,0.29351,7,4.42857,4
14,9,23,0.164689,2,0.0823444,34,15.4118,5
14,33,24,0.375472,2,0.187736,68,13.8676,6
14,42,25,0.40939,2,0.204695,33,14.1515,4
14,45,26,0.389487,2,0.194743,68,12.9412,5
14,24,27,0.541263,2,0.270632,58,12.9138,5
14,34,28,0.482115,2,0.241058,95,12.4211,6
14,1,29,0.453099,2,0.22655,79,12.3924,5
14,37,30,0.533452,2,0.266726,109,12.0826,5
14,49,31,0.434127,2,0.217063,64,10.9531,4
12,29,32,22.1996,76,0.2921,1,1,1
12,10,33,7.33775,25,0.29351,3,5,2
12,0,34,0.842028,3,0.280676,3,4,2
12,35,35,1.76106,6,0.29351,3,4.66667,3
12,28,36,0.518943,2,0.259472,3,3.66667,2
12,44,37,0.439707,2,0.219853,12,7.08333,3
12,48,38,1.46755,5,0.29351,2,4,2
12,3,39,1.17404,4,0.29351,12,9.08333,6
12,31,40,0.58702,2,0.29351,28,11.0357,5
12,11,41,0.58702,2,0.29351,35,10.8286,5
12,13,42,0.58702,2,0.29351,51,11.8235,4
12,43,43,0.58702,2,0.29351,11,7.81818,6
12,32,44,0.58702,2,0.29351,12,8.16667,5
12,20,45,0.58702,2,0.29351,12,8.66667,7
12,21,46,3.54668,15,0.236445,10,6.6,5
12,6,47,0.386139,2,0.193069,9,5.88889,4
12,27,48,0.273422,2,0.136711,14,7.5,6
12,38,49,0.377211,2,0.188605,6,4.66667,3
12,15,50,0.255566,2,0.127783,13,8,6
12,7,51,0,2,0,13,8.38462,5
12,36,52,0,2,0,4,5.25,3
12,22,53,0,19,0,11,5.72727,5
12,4,54,0,4,0,14,6.64286,4
12,5,55,0.0301322,2,0.0150661,12,6.33333,4
12,39,56,0.00446403,2,0.00223201,12,5.83333,4
12,25,57,0.308018,2,0.154009,20,9.95,3
12,16,58,0,33,0,9,5.11111,3
12,9,59,0,2,0,17,6.35294,4
12,33,60,0,2,0,47,10.0638,5
12,19,61,0,2,0,28,9.92857,4
12,46,62,0,2,0,4,3.75,3
12,18,63,0,2,0,26,10.1154,4
12,42,64,0,2,0,18,7.61111,4
12,45,65,0,5,0,129,13.4186,5
12,24,66,0,2,0,56,9.875,4
12,47,67,0,2,0,129,13.5504,6
12,17,68,0,2,0,134,14.3731,5
12,34,69,0,4,0,172,13.0407,7
12,1,70,0,2,0,102,11.9608,6
12,37,71,0,2,0,174,12.5747,6
12,49,72,0,2,0,100,11.56,5
12,41,73,0,2,0,167,12.7126,7
29,10,74,3.81563,13,0.29351,6,6.83333,3
29,0,75,2.9351,10,0.29351,3,5.66667,1
29,35,76,0.58702,2,0.29351,8,6.125,4
29,28,77,1.46755,5,0.29351,2,2,1
29,44,78,1.17404,4,0.29351,12,7.08333,2
29,48,79,0.58702,2,0.29351,3,5.33333,2
29,3,80,3.22861,11,0.29351,17,9.47059,6
29,31,81,0.878856,3,0.292952,35,10.3714,6
29,11,82,0.58702,2,0.29351,40,10.6,6
29,13,83,0.58702,2,0.29351,81,11.716,5
29,8,84,0.58702,2,0.29351,60,11.6333,6
29,43,85,0.58702,2,0.29351,12,7.91667,6
29,32,86,0.58702,2,0.29351,13,8.38462,5
29,21,87,1.46755,5,0.29351,8,6.625,5
29,6,88,0.58702,2,0.29351,3,4.66667,4
29,27,89,0.58702,2,0.29351,6,7,6
29,38,90,0.58702,2,0.29351,4,4.75,3
29,7,91,0.58702,2,0.29351,6,7.66667,5
29,36,92,0.58702,2,0.29351,3,5.66667,3
29,22,93,3.52212,12,0.29351,4,5,4
29,4,94,0.58702,2,0.29351,8,6.25,3
29,5,95,0.58702,2,0.29351,5,6,4
29,39,96,0.58702,2,0.29351,5,5.2,4
29,25,97,0.58702,2,0.29351,22,10.5909,4
29,16,98,8.21828,28,0.29351,2,3,2
29,9,99,0.160157,2,0.0800786,6,4.33333,3
29,33,100,0.381675,2,0.190837,22,7.81818,4
29,23,101,0.451983,2,0.225992,7,5.85714,2
29,19,102,0.58702,2,0.29351,20,10.95,3
29,46,103,1.46755,5,0.29351,2,2,2
29,18,104,0.58702,2,0.29351,23,11.7391,3
29,42,105,0.292394,2,0.146197,8,6.5,3
29,45,106,1.06244,7,0.151777,70,12.5714,4
29,24,107,0.34931,2,0.174655,38,10.3684,3
29,47,108,0,2,0,111,13.6216,5
29,30,109,0,2,0,102,13.3922,5
29,17,110,0,2,0,91,14.4835,4
29,34,111,0,3,0,156,12.5705,6
29,1,112,0,2,0,131,12.5649,5
29,26,113,0,2,0,126,14.1032,6
29,37,114,0,3,0,155,12.0323,5
29,2,115,0.58144,2,0.29072,59,11.4576,6
