source,destination,link_id,used_rate,usage,link_capa
49,37,172,14.7971,0.369927,40
49,1,166,13.0083,0.325206,40
49,45,146,12.5932,0.314831,40
49,18,136,0.343452,0.0085863,40
49,13,68,0.84432,0.021108,40
48,36,41,13.6236,0.34059,40
48,38,39,15.5555,0.388888,40
48,0,18,8.92976,0.223244,40
48,14,4,0.114484,0.0028621,40
47,1,151,9.93149,0.248287,40
47,45,142,0.629662,0.0157416,40
46,42,135,19.3192,0.48298,40
46,28,32,4.82264,0.120566,40
46,0,20,0.257589,0.00643973,40
45,49,147,9.63097,0.240774,40
45,30,145,8.52906,0.213227,40
45,47,143,12.3357,0.308391,40
45,24,141,9.45925,0.236481,40
44,19,37,16.3283,0.408207,40
44,4,35,9.58804,0.239701,40
44,28,26,15.9848,0.399621,40
44,10,14,1.20208,0.0300521,40
43,27,79,8.61493,0.215373,40
43,21,77,10.3036,0.257589,40
43,20,75,5.25196,0.131299,40
43,32,73,7.42715,0.185679,40
43,3,46,6.98353,0.174588,40
42,24,139,15.441,0.386026,40
42,46,134,1.15915,0.0289788,40
42,23,128,1.81743,0.0454359,40
41,37,174,5.42368,0.135592,40
41,40,168,1.25932,0.0314831,40
41,34,164,2.9909,0.0747724,40
40,41,169,2.36123,0.0590308,40
40,34,160,0.429315,0.0107329,40
39,22,106,11.0477,0.276193,40
39,38,98,2.74762,0.0686904,40
39,35,24,10.1461,0.253654,40
38,39,99,15.856,0.396401,40
38,36,97,2.66175,0.0665439,40
38,6,88,14.9259,0.373146,40
38,48,38,1.83174,0.0457936,40
37,41,175,8.05682,0.20142,40
37,49,173,2.47572,0.0618929,40
37,2,171,2.57589,0.0643973,40
37,34,162,8.42889,0.210722,40
36,38,96,13.2802,0.332004,40
36,48,40,1.20208,0.0300521,40
35,39,25,8.0425,0.201063,40
35,4,23,11.6201,0.290503,40
35,10,12,10.6184,0.26546,40
34,41,165,4.86557,0.121639,40
34,37,163,7.16956,0.179239,40
34,40,161,2.53296,0.063324,40
34,26,159,4.32177,0.108044,40
34,1,157,5.35213,0.133803,40
33,24,127,8.80096,0.220024,40
33,9,122,2.719,0.0679749,40
32,5,81,13.5091,0.337728,40
32,43,72,3.5347,0.0883674,40
32,31,56,12.9081,0.322702,40
32,3,48,2.36123,0.0590308,40
31,2,59,13.6665,0.341663,40
31,32,57,8.40027,0.210007,40
31,13,55,11.8634,0.296585,40
31,11,53,6.19645,0.154911,40
31,3,42,3.01952,0.0754879,40
30,26,155,12.8651,0.321629,40
30,17,153,4.87988,0.121997,40
30,45,144,1.03036,0.0257589,40
29,28,11,23.7698,0.594244,40
29,0,9,22.0525,0.551312,40
29,12,6,0,0,40
28,46,33,7.87078,0.196769,40
28,23,31,19.3478,0.483695,40
28,16,29,16.5859,0.414647,40
28,44,27,10.7186,0.267964,40
28,29,10,0,0,40
27,15,95,8.35734,0.208933,40
27,21,82,7.49871,0.187468,40
27,43,78,8.48613,0.212153,40
26,34,158,10.6899,0.267249,40
26,30,154,2.89072,0.0722681,40
25,18,115,16.5859,0.414647,40
25,19,113,15.7559,0.393897,40
25,5,110,3.39159,0.0847898,40
25,13,66,11.9779,0.299447,40
25,10,16,0.057242,0.00143105,40
24,17,149,15.6557,0.391392,40
24,45,140,16.2854,0.407134,40
24,42,138,1.00174,0.0250434,40
24,23,130,0.200347,0.00500868,40
24,33,126,2.94796,0.0736991,40
23,24,131,15.4553,0.386384,40
23,42,129,4.10712,0.102678,40
23,9,124,8.18561,0.20464,40
23,28,30,0.057242,0.00143105,40
22,39,107,5.853,0.146325,40
22,5,105,12.1639,0.304098,40
22,4,103,12.4358,0.310896,40
22,6,92,3.52038,0.0880096,40
22,21,84,9.63097,0.240774,40
21,5,87,13.0941,0.327353,40
21,22,85,15.5841,0.389604,40
21,27,83,7.32698,0.183174,40
21,43,76,8.51475,0.212869,40
20,43,74,6.41111,0.160278,40
20,3,50,4.39333,0.109833,40
19,18,133,12.4501,0.311254,40
19,16,118,16.2854,0.407134,40
19,25,112,2.67606,0.0669016,40
19,44,36,0.515178,0.0128795,40
18,49,137,21.1652,0.529131,40
18,19,132,0,0,40
18,16,120,14.5252,0.363129,40
18,25,114,0.400694,0.0100174,40
17,30,152,11.1622,0.279055,40
17,24,148,1.96054,0.0490135,40
16,18,121,11.52,0.287999,40
16,19,119,5.25196,0.131299,40
16,9,117,20.1206,0.503014,40
16,28,28,4.07849,0.101962,40
15,7,101,7.61319,0.19033,40
15,27,94,8.80096,0.220024,40
14,48,5,19.7914,0.494786,40
14,10,3,20.8647,0.521618,40
14,12,1,6.9406,0.173515,40
13,49,69,21.0221,0.525553,40
13,25,67,14.6253,0.365633,40
13,8,65,6.46835,0.161709,40
13,11,60,2.08933,0.0522334,40
13,31,54,3.4059,0.0851475,40
12,29,7,26.9181,0.672952,40
12,14,0,25.1006,0.627516,40
11,8,63,10.461,0.261525,40
11,13,61,11.2337,0.280844,40
11,31,52,2.54727,0.0636818,40
11,3,44,3.97832,0.099458,40
10,25,17,16.0564,0.40141,40
10,44,15,15.1978,0.379944,40
10,35,13,14.1674,0.354185,40
10,14,2,0.343452,0.0085863,40
9,23,125,7.44146,0.186037,40
9,33,123,15.5841,0.389604,40
9,16,116,2.38985,0.0597464,40
8,2,71,11.9063,0.297659,40
8,13,64,6.68301,0.167075,40
8,11,62,1.68864,0.042216,40
7,15,100,8.25716,0.206429,40
7,6,90,6.8118,0.170295,40
6,22,93,13.3088,0.332719,40
6,7,91,12.0638,0.301594,40
6,38,89,3.69211,0.0923028,40
5,25,111,17.2155,0.430388,40
5,4,108,9.33045,0.233261,40
5,22,104,9.54511,0.238628,40
5,21,86,3.46314,0.0865786,40
5,32,80,8.18561,0.20464,40
4,5,109,9.98873,0.249718,40
4,22,102,6.5399,0.163498,40
4,44,34,15.67,0.39175,40
4,35,22,2.16089,0.0540222,40
3,20,51,5.95317,0.148829,40
3,32,49,8.30009,0.207502,40
3,43,47,8.42889,0.210722,40
3,11,45,13.2372,0.33093,40
3,31,43,13.0655,0.326637,40
2,37,170,21.1939,0.529847,40
2,8,70,0.343452,0.0085863,40
2,31,58,0,0,40
1,49,167,1.51691,0.0379228,40
1,34,156,10.9189,0.272973,40
1,47,150,3.83522,0.0958804,40
0,46,21,19.3764,0.484411,40
0,48,19,14.3964,0.359909,40
0,29,8,1.67433,0.0418582,40
