switch_id,used_rules,usage
49,304,0.918429
48,226,0.682779
47,71,0.214502
46,159,0.480363
45,196,0.592145
44,226,0.682779
43,292,0.882175
42,136,0.410876
41,91,0.274924
40,22,0.0664653
39,155,0.468278
38,225,0.679758
37,229,0.691843
36,110,0.332326
35,142,0.429003
34,195,0.589124
33,107,0.323263
32,177,0.534743
31,254,0.767372
30,132,0.398792
29,181,0.546828
28,257,0.776435
27,163,0.492447
26,89,0.268882
25,309,0.933535
24,277,0.836858
23,159,0.480363
22,273,0.824773
21,235,0.70997
20,110,0.332326
19,206,0.622356
18,243,0.734139
17,120,0.362538
16,233,0.703927
15,95,0.287009
14,167,0.504532
13,318,0.960725
12,135,0.407855
11,231,0.697885
10,231,0.697885
9,136,0.410876
8,151,0.456193
7,111,0.335347
6,209,0.63142
5,242,0.731118
4,192,0.58006
3,284,0.858006
2,182,0.549849
1,125,0.377644
0,195,0.589124
