source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
14,12,0,4.87079,34,0.143259,1,1,1,1
14,29,1,1.28933,9,0.143259,2,2.5,2,1
14,10,2,1.28933,9,0.143259,1,1,1,1
14,0,3,0.286517,2,0.143259,1,2,2,1
14,35,4,0.286517,2,0.143259,1,2,2,1
14,28,5,0.286517,2,0.143259,2,3.5,3,1
14,44,6,0.286517,2,0.143259,1,2,2,1
14,48,7,0.286517,2,0.143259,1,1,1,1
14,3,8,0.286517,2,0.143259,5,6,5,1
14,31,9,0.286517,2,0.143259,2,7,4,1
14,11,10,0.286517,2,0.143259,1,4,4,1
14,13,11,0.286517,2,0.143259,1,3,3,1
14,8,12,0.286517,2,0.143259,1,4,4,1
14,43,13,0.286517,2,0.143259,4,6.5,5,2
14,32,14,0.286517,2,0.143259,3,5.66667,4,2
14,21,15,0.286517,2,0.143259,3,5,4,1
14,6,16,0.286517,2,0.143259,1,3,3,1
14,27,17,0.286517,2,0.143259,3,6,5,2
14,36,18,0.286517,2,0.143259,1,2,2,1
14,22,19,0.286517,2,0.143259,1,4,4,1
14,4,20,0.286517,2,0.143259,1,3,3,1
14,39,21,0.286517,2,0.143259,2,3.5,3,1
14,16,22,0.286517,2,0.143259,5,4.4,4,2
14,9,23,0.286517,2,0.143259,2,5.5,5,1
14,33,24,0.286517,2,0.143259,2,6,6,1
14,42,25,0.286517,2,0.143259,1,4,4,1
14,45,26,0.286517,2,0.143259,2,5.5,5,1
14,24,27,0.286517,2,0.143259,2,5,5,2
14,34,28,0.286517,2,0.143259,3,6.33333,6,1
14,1,29,0.286517,2,0.143259,2,5,5,1
14,37,30,0.286517,2,0.143259,2,5.5,5,1
14,49,31,0.286517,2,0.143259,2,4,4,1
12,29,32,10.8877,76,0.143259,1,1,1,1
12,10,33,3.58147,25,0.143259,1,2,2,1
12,0,34,0.429776,3,0.143259,2,2.5,2,1
12,35,35,0.859552,6,0.143259,2,4.5,3,1
12,28,36,0.286517,2,0.143259,2,3.5,2,2
12,44,37,0.286517,2,0.143259,2,3,3,1
12,48,38,0.716293,5,0.143259,1,2,2,1
12,3,39,0.573034,4,0.143259,5,8.8,6,2
12,31,40,0.286517,2,0.143259,3,8.66667,5,1
12,11,41,0.286517,2,0.143259,3,8.66667,5,2
12,13,42,0.286517,2,0.143259,1,4,4,1
12,43,43,0.286517,2,0.143259,5,7.8,6,2
12,32,44,0.286517,2,0.143259,5,7.8,5,2
12,20,45,0.286517,2,0.143259,3,8.66667,7,3
12,21,46,2.14888,15,0.143259,4,6,5,2
12,6,47,0.286517,2,0.143259,2,4.5,4,2
12,27,48,0.286517,2,0.143259,3,7.33333,6,2
12,38,49,0.286517,2,0.143259,2,3.5,3,2
12,15,50,0.286517,2,0.143259,2,6.5,6,1
12,7,51,0.286517,2,0.143259,2,5.5,5,2
12,36,52,0.286517,2,0.143259,2,3.5,3,2
12,22,53,2.72191,19,0.143259,4,5,5,2
12,4,54,0.573034,4,0.143259,3,4,4,1
12,5,55,0.286517,2,0.143259,3,4.66667,4,2
12,39,56,0.286517,2,0.143259,4,5,4,2
12,25,57,0.286517,2,0.143259,2,4,3,2
12,16,58,4.72753,33,0.143259,1,3,3,1
12,9,59,0.286517,2,0.143259,3,5.66667,4,3
12,33,60,0.286517,2,0.143259,3,6,5,2
12,19,61,0.286517,2,0.143259,2,4,4,1
12,46,62,0.286517,2,0.143259,1,3,3,1
12,18,63,0.286517,2,0.143259,3,4.33333,4,1
12,42,64,0.286517,2,0.143259,1,4,4,1
12,45,65,0.716293,5,0.143259,3,6,5,2
12,24,66,0.286517,2,0.143259,3,5,4,2
12,47,67,0.286517,2,0.143259,3,6.66667,6,3
12,17,68,0.286517,2,0.143259,4,6.25,5,2
12,34,69,0.573034,4,0.143259,3,7.33333,7,2
12,1,70,0.286517,2,0.143259,2,7,6,2
12,37,71,0.286517,2,0.143259,3,8.33333,6,1
12,49,72,0.286517,2,0.143259,1,5,5,1
12,41,73,0.286517,2,0.143259,3,8,7,2
29,10,74,1.86236,13,0.143259,3,5.33333,3,2
29,0,75,1.43259,10,0.143259,1,1,1,1
29,35,76,0.286517,2,0.143259,3,5,4,1
29,28,77,0.716293,5,0.143259,1,1,1,1
29,44,78,0.573034,4,0.143259,2,3,2,1
29,48,79,0.286517,2,0.143259,1,2,2,1
29,3,80,1.57584,11,0.143259,3,8.66667,6,2
29,31,81,0.429776,3,0.143259,6,7.66667,6,0
29,11,82,0.286517,2,0.143259,5,8.2,6,1
29,13,83,0.286517,2,0.143259,4,7.25,5,1
29,8,84,0.286517,2,0.143259,5,8,6,1
29,43,85,0.286517,2,0.143259,3,7.66667,6,2
29,32,86,0.286517,2,0.143259,1,5,5,1
29,21,87,0.716293,5,0.143259,3,6.33333,5,2
29,6,88,0.286517,2,0.143259,2,4.5,4,1
29,27,89,0.286517,2,0.143259,2,7.5,6,1
29,38,90,0.286517,2,0.143259,2,3.5,3,2
29,7,91,0.286517,2,0.143259,2,5.5,5,2
29,36,92,0.286517,2,0.143259,1,3,3,1
29,22,93,1.7191,12,0.143259,2,4.5,4,2
29,4,94,0.286517,2,0.143259,1,3,3,1
29,5,95,0.286517,2,0.143259,2,5,4,2
29,39,96,0.286517,2,0.143259,2,4.5,4,2
29,25,97,0.286517,2,0.143259,1,4,4,1
29,16,98,4.01124,28,0.143259,2,3,2,1
29,9,99,0.286517,2,0.143259,3,4.33333,3,2
29,33,100,0.286517,2,0.143259,3,5,4,2
29,23,101,0.286517,2,0.143259,3,3.33333,2,3
29,19,102,0.286517,2,0.143259,2,4,3,2
29,46,103,0.716293,5,0.143259,2,2,2,1
29,18,104,0.286517,2,0.143259,4,4.5,3,1
29,42,105,0.286517,2,0.143259,2,3,3,1
29,45,106,1.00281,7,0.143259,2,4.5,4,2
29,24,107,0.286517,2,0.143259,2,4.5,3,1
29,47,108,0.286517,2,0.143259,2,5.5,5,2
29,30,109,0.286517,2,0.143259,2,6.5,5,1
29,17,110,0.286517,2,0.143259,2,4.5,4,2
29,34,111,0.429776,3,0.143259,3,7,6,2
29,1,112,0.286517,2,0.143259,3,6,5,2
29,26,113,0.286517,2,0.143259,2,6.5,6,2
29,37,114,0.429776,3,0.143259,4,7,5,2
