switch_id,used_rules,usage
49,8331,25.1692
48,5063,15.2961
47,3426,10.3505
46,4278,12.9245
45,8653,26.142
44,8180,24.713
43,11800,35.6495
42,6490,19.6073
41,4303,13
40,2026,6.12085
39,4380,13.2326
38,5193,15.6888
37,7583,22.9094
36,2681,8.0997
35,4790,14.4713
34,8506,25.6979
33,4646,14.0363
32,6601,19.9426
31,8777,26.5166
30,6598,19.9335
29,3310,10
28,7132,21.5468
27,6563,19.8278
26,3970,11.994
25,5760,17.4018
24,11654,35.2085
23,8417,25.429
22,6910,20.8761
21,8839,26.7039
20,4173,12.6073
19,5605,16.9335
18,5489,16.5831
17,5028,15.1903
16,5689,17.1873
15,3902,11.7885
14,2241,6.77039
13,8042,24.2961
12,2161,6.5287
11,7955,24.0332
10,5228,15.7946
9,6771,20.4562
8,3887,11.7432
7,3883,11.7311
6,4727,14.281
5,7925,23.9426
4,7139,21.568
3,10186,30.7734
2,3291,9.9426
1,5291,15.9849
0,3684,11.1299
