switch_id,used_rules,usage
49,2182,6.59215
48,1479,4.46828
47,572,1.7281
46,1085,3.27795
45,1688,5.0997
44,1653,4.99396
43,2770,8.36858
42,1371,4.14199
41,906,2.73716
40,469,1.41692
39,1043,3.15106
38,1546,4.67069
37,1821,5.50151
36,804,2.429
35,961,2.90332
34,1875,5.66465
33,1019,3.07855
32,1502,4.53776
31,2163,6.53474
30,1359,4.10574
29,1081,3.26586
28,1819,5.49547
27,1481,4.47432
26,817,2.46828
25,1490,4.50151
24,2378,7.18429
23,1720,5.19637
22,1561,4.71601
21,2013,6.08157
20,1022,3.08761
19,1201,3.6284
18,1322,3.99396
17,1011,3.05438
16,1402,4.23565
15,954,2.88218
14,762,2.30211
13,2126,6.42296
12,715,2.16012
11,1840,5.55891
10,1180,3.56495
9,1366,4.12689
8,977,2.95166
7,953,2.87915
6,1314,3.96979
5,1703,5.14502
4,1476,4.45921
3,2350,7.0997
2,1084,3.27492
1,1148,3.46828
0,1059,3.1994
