source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
14,12,0,10.5019,34,0.30888,1,1,1,1
14,29,1,2.77992,9,0.30888,3,4,2,3
14,10,2,2.77992,9,0.30888,2,3,1,2
14,0,3,0.61776,2,0.30888,1,2,2,1
14,35,4,0.61776,2,0.30888,4,4.5,2,4
14,28,5,0.61776,2,0.30888,2,3.5,3,2
14,44,6,0.61776,2,0.30888,3,5,2,2
14,48,7,0.61776,2,0.30888,1,1,1,1
14,3,8,0.61776,2,0.30888,10,7.2,5,9
14,31,9,0.61776,2,0.30888,7,8.85714,4,5
14,11,10,0.61776,2,0.30888,10,9.8,4,7
14,13,11,0.61776,2,0.30888,13,10.3846,3,9
14,8,12,0.61776,2,0.30888,15,10.4667,4,10
14,43,13,0.61776,2,0.30888,10,6.7,5,7
14,32,14,0.61776,2,0.30888,8,7.125,4,7
14,21,15,0.61776,2,0.30888,8,5.75,4,8
14,6,16,0.61776,2,0.30888,3,4,3,3
14,27,17,0.61776,2,0.30888,5,6,5,4
14,36,18,0.61776,2,0.30888,1,2,2,1
14,22,19,0.61776,2,0.30888,5,4.4,4,5
14,4,20,0.61776,2,0.30888,4,5,3,3
14,39,21,0.61776,2,0.30888,3,3.33333,3,3
14,16,22,0.61776,2,0.30888,7,4.42857,4,6
14,9,23,0.61776,2,0.30888,12,12.4167,5,7
14,33,24,0.61776,2,0.30888,25,12.16,6,15
14,42,25,0.61776,2,0.30888,11,10,4,5
14,45,26,0.61776,2,0.30888,26,11.5769,5,9
14,24,27,0.61776,2,0.30888,27,11.7407,5,9
14,34,28,0.61776,2,0.30888,26,11.5385,6,11
14,1,29,0.61776,2,0.30888,24,11.5417,5,12
14,37,30,0.61776,2,0.30888,33,11.1212,5,12
14,49,31,0.61776,2,0.30888,34,10.5882,4,17
12,29,32,23.4749,76,0.30888,1,1,1,1
12,10,33,7.722,25,0.30888,1,2,2,1
12,0,34,0.92664,3,0.30888,2,2.5,2,2
12,35,35,1.85328,6,0.30888,3,4.66667,3,3
12,28,36,0.61776,2,0.30888,2,3.5,2,2
12,44,37,0.61776,2,0.30888,8,6.875,3,5
12,48,38,1.5444,5,0.30888,1,2,2,1
12,3,39,1.23552,4,0.30888,12,9.08333,6,11
12,31,40,0.61776,2,0.30888,20,10.75,5,14
12,11,41,0.61776,2,0.30888,17,10.8824,5,14
12,13,42,0.61776,2,0.30888,30,11.5667,4,16
12,43,43,0.61776,2,0.30888,8,8,6,8
12,32,44,0.61776,2,0.30888,11,8.27273,5,8
12,20,45,0.61776,2,0.30888,10,8.7,7,9
12,21,46,4.6332,15,0.30888,10,6.6,5,9
12,6,47,0.61776,2,0.30888,7,5.42857,4,7
12,27,48,0.61776,2,0.30888,14,7.5,6,13
12,38,49,0.61776,2,0.30888,6,4.66667,3,6
12,15,50,0.61776,2,0.30888,11,7.90909,6,10
12,7,51,0.61776,2,0.30888,10,8.1,5,8
12,36,52,0.61776,2,0.30888,3,5,3,3
12,22,53,5.86872,19,0.30888,11,5.72727,5,11
12,4,54,1.23552,4,0.30888,10,6.4,4,8
12,5,55,0.61776,2,0.30888,12,6.25,4,10
12,39,56,0.61776,2,0.30888,9,5.77778,4,8
12,25,57,0.61776,2,0.30888,9,7.11111,3,8
12,16,58,10.193,33,0.30888,9,5.11111,3,8
12,9,59,0.61776,2,0.30888,8,6.25,4,8
12,33,60,0.61776,2,0.30888,26,10.0769,5,15
12,19,61,0.61776,2,0.30888,9,6.77778,4,6
12,46,62,0.61776,2,0.30888,4,3.75,3,4
12,18,63,0.61776,2,0.30888,6,5.33333,4,4
12,42,64,0.61776,2,0.30888,8,5.25,4,8
12,45,65,1.5444,5,0.30888,45,11.7333,5,20
12,24,66,0.61776,2,0.30888,26,9.23077,4,15
12,47,67,0.61776,2,0.30888,56,13.0536,6,17
12,17,68,0.61776,2,0.30888,42,12.8095,5,14
12,34,69,1.23552,4,0.30888,49,12.551,7,19
12,1,70,0.61776,2,0.30888,43,11.0233,6,14
12,37,71,0.61776,2,0.30888,58,11.3621,6,19
12,49,72,0.61776,2,0.30888,40,10.35,5,17
12,41,73,0.61776,2,0.30888,51,12.3137,7,17
29,10,74,4.01544,13,0.30888,3,5.33333,3,3
29,0,75,3.0888,10,0.30888,2,4.5,1,2
29,35,76,0.61776,2,0.30888,5,6,4,5
29,28,77,1.5444,5,0.30888,2,2,1,2
29,44,78,1.23552,4,0.30888,8,6.875,2,8
29,48,79,0.61776,2,0.30888,2,4.5,2,2
29,3,80,3.39768,11,0.30888,9,9.66667,6,8
29,31,81,0.92664,3,0.30888,22,10.2727,6,17
29,11,82,0.61776,2,0.30888,33,10.3939,6,20
29,13,83,0.61776,2,0.30888,44,11.2955,5,24
29,8,84,0.61776,2,0.30888,36,11.3056,6,26
29,43,85,0.61776,2,0.30888,10,7.8,6,9
29,32,86,0.61776,2,0.30888,10,8.6,5,8
29,21,87,1.5444,5,0.30888,8,6.625,5,8
29,6,88,0.61776,2,0.30888,3,4.66667,4,3
29,27,89,0.61776,2,0.30888,6,7,6,6
29,38,90,0.61776,2,0.30888,3,4.33333,3,3
29,7,91,0.61776,2,0.30888,4,6.75,5,4
29,36,92,0.61776,2,0.30888,1,3,3,1
29,22,93,3.70656,12,0.30888,4,5.25,4,4
29,4,94,0.61776,2,0.30888,7,6,3,5
29,5,95,0.61776,2,0.30888,5,6,4,5
29,39,96,0.61776,2,0.30888,2,4.5,4,2
29,25,97,0.61776,2,0.30888,8,6.125,4,8
29,16,98,8.64864,28,0.30888,2,3,2,2
29,9,99,0.61776,2,0.30888,5,4.2,3,4
29,33,100,0.61776,2,0.30888,11,5.18182,4,8
29,23,101,0.61776,2,0.30888,5,3.6,2,5
29,19,102,0.61776,2,0.30888,4,4,3,4
29,46,103,1.5444,5,0.30888,2,2,2,2
29,18,104,0.61776,2,0.30888,4,4.5,3,3
29,42,105,0.61776,2,0.30888,6,4.33333,3,5
29,45,106,2.16216,7,0.30888,26,8.5,4,15
29,24,107,0.61776,2,0.30888,14,5.07143,3,12
29,47,108,0.61776,2,0.30888,45,12.0222,5,16
29,30,109,0.61776,2,0.30888,43,11.9535,5,18
29,17,110,0.61776,2,0.30888,35,11.8286,4,18
29,34,111,0.92664,3,0.30888,49,11.6122,6,15
29,1,112,0.61776,2,0.30888,55,10.9273,5,22
29,26,113,0.61776,2,0.30888,53,13.3774,6,19
29,37,114,0.92664,3,0.30888,53,10.7736,5,25
29,2,115,0.61776,2,0.30888,41,11.4146,6,22
29,49,116,0.61776,2,0.30888,30,9.93333,4,17
29,41,117,0.61776,2,0.30888,65,12.5692,6,19
