source,destination,link_id,used_rate_c,usage,capacity_c
49,37,172,32.278,0.914684,35.2887
49,1,166,16.7403,0.474382,35.2887
49,45,146,22.6588,0.642098,35.2887
49,18,136,1.69888,0.0481423,35.2887
49,13,68,1.85328,0.0548909,33.763
48,36,41,4.94208,0.123552,40
48,38,39,29.6524,0.74131,40
48,0,18,16.8339,0.420848,40
48,14,4,1.23552,0.030888,40
47,1,151,14.8262,0.370656,40
47,45,142,1.23552,0.030888,40
46,42,135,24.4015,0.610038,40
46,28,32,12.6641,0.316602,40
46,0,20,0.61776,0.015444,40
45,49,147,20.0772,0.568942,35.2887
45,30,145,9.88416,0.247104,40
45,47,143,20.0772,0.50193,40
45,24,141,20.695,0.522021,39.6439
44,19,37,30.2702,0.756756,40
44,4,35,13.2818,0.332046,40
44,28,26,17.6062,0.440154,40
44,10,14,1.23552,0.030888,40
43,27,79,4.6332,0.128596,36.0291
43,21,77,22.8571,0.634408,36.0291
43,20,75,1.23552,0.0342923,36.0291
43,32,73,9.2664,0.257192,36.0291
43,3,46,3.66263,0.0929284,39.4135
42,24,139,18.5328,0.467482,39.6439
42,46,134,2.16216,0.054054,40
42,23,128,0.61776,0.015444,40
41,37,174,1.85328,0.046332,40
41,40,168,1.23552,0.030888,40
41,34,164,0,0,40
40,41,169,2.47104,0.061776,40
40,34,160,0,0,40
39,22,106,14.9806,0.37788,39.6439
39,38,98,4.32432,0.108108,40
39,35,24,7.41312,0.185328,40
38,39,99,18.9961,0.474902,40
38,36,97,2.77992,0.069498,40
38,6,88,16.2162,0.405404,40
38,48,38,3.70656,0.092664,40
37,41,175,8.64864,0.216216,40
37,49,173,4.6332,0.131294,35.2887
37,2,171,6.64096,0.166024,40
37,34,162,12.3552,0.30888,40
36,38,96,1.85328,0.046332,40
36,48,40,3.0888,0.07722,40
35,39,25,13.8996,0.34749,40
35,4,23,9.88416,0.247104,40
35,10,12,6.1776,0.15444,40
34,41,165,0.61776,0.015444,40
34,37,163,12.973,0.324324,40
34,40,161,2.77992,0.069498,40
34,26,159,1.85328,0.046332,40
34,1,157,7.722,0.19305,40
33,24,127,13.8996,0.350611,39.6439
33,9,122,2.47104,0.061776,40
32,5,81,20.0772,0.50193,40
32,43,72,8.95752,0.248619,36.0291
32,31,56,17.915,0.447876,40
32,3,48,6.48648,0.164575,39.4135
31,2,59,23.3204,0.58301,40
31,32,57,14.2085,0.355212,40
31,13,55,16.834,0.498593,33.763
31,11,53,3.0888,0.07722,40
31,3,42,3.0888,0.0783691,39.4135
30,26,155,13.5907,0.339768,40
30,17,153,4.01544,0.100386,40
30,45,144,0,0,40
29,28,11,40,1,40
29,0,9,29.3436,0.73359,40
29,12,6,0,0,40
28,46,33,8.33976,0.208494,40
28,23,31,33.359,0.833976,40
28,16,29,32.8958,0.822394,40
28,44,27,15.7529,0.393822,40
28,29,10,0,0,40
27,15,95,5.25096,0.131274,40
27,21,82,7.10424,0.177606,40
27,43,78,2.31656,0.064297,36.0291
26,34,158,9.88416,0.247104,40
26,30,154,0,0,40
25,18,115,26.7944,0.769738,34.8098
25,19,113,18.3783,0.527963,34.8098
25,5,110,18.3784,0.527966,34.8098
25,13,66,17.4362,0.516429,33.763
25,10,16,0.61776,0.0177467,34.8098
24,17,149,20.3861,0.51423,39.6439
24,45,140,29.6525,0.74797,39.6439
24,42,138,2.77992,0.0701222,39.6439
24,23,130,0.61776,0.0155827,39.6439
24,33,126,4.94208,0.124662,39.6439
23,24,131,28.417,0.716805,39.6439
23,42,129,3.39768,0.084942,40
23,9,124,6.79536,0.169884,40
23,28,30,0,0,40
22,39,107,3.39768,0.085705,39.6439
22,5,105,16.3706,0.412942,39.6439
22,4,103,30.888,0.779136,39.6439
22,6,92,10.8108,0.272698,39.6439
22,21,84,7.8764,0.198679,39.6439
21,5,87,18.8417,0.471042,40
21,22,85,33.359,0.841467,39.6439
21,27,83,9.2664,0.23166,40
21,43,76,6.28815,0.17453,36.0291
20,43,74,3.70656,0.102877,36.0291
20,3,50,0.61776,0.0156738,39.4135
19,18,133,6.79536,0.169884,40
19,16,118,36.2934,0.907334,40
19,25,112,3.39768,0.0976069,34.8098
19,44,36,1.23552,0.030888,40
18,49,137,35.2887,1,35.2887
18,19,132,0,0,40
18,16,120,12.8186,0.320464,40
18,25,114,0,0,34.8098
17,30,152,12.973,0.324324,40
17,24,148,0,0,39.6439
16,18,121,22.7027,0.567568,40
16,19,119,7.41312,0.185328,40
16,9,117,32.1235,0.803088,40
16,28,28,11.1197,0.277992,40
15,7,101,4.6332,0.11583,40
15,27,94,2.62544,0.065636,40
14,48,5,27.1814,0.679534,40
14,10,3,37.2809,0.932022,40
14,12,1,10.5019,0.262548,40
13,49,69,33.763,1,33.763
13,25,67,20.8494,0.617521,33.763
13,8,65,3.70656,0.109782,33.763
13,11,60,4.94208,0.146376,33.763
13,31,54,8.03088,0.23786,33.763
12,29,7,40,1,40
12,14,0,38.2856,0.957139,40
11,8,63,4.32432,0.108108,40
11,13,61,21.2688,0.629944,33.763
11,31,52,1.85328,0.046332,40
11,3,44,6.1776,0.156738,39.4135
10,25,17,34.8098,1,34.8098
10,44,15,11.4286,0.285714,40
10,35,13,16.0618,0.401544,40
10,14,2,2.47104,0.061776,40
9,23,125,5.55984,0.138996,40
9,33,123,22.2394,0.555984,40
9,16,116,4.94208,0.123552,40
8,2,71,6.1776,0.15444,40
8,13,64,6.1776,0.18297,33.763
8,11,62,1.23552,0.030888,40
7,15,100,2.31656,0.057914,40
7,6,90,3.70656,0.092664,40
6,22,93,22.2394,0.560978,39.6439
6,7,91,8.49416,0.212354,40
6,38,89,5.86872,0.146718,40
5,25,111,28.7258,0.825222,34.8098
5,4,108,9.57528,0.239382,40
5,22,104,12.973,0.327237,39.6439
5,21,86,9.72976,0.243244,40
5,32,80,16.9884,0.42471,40
4,5,109,11.1197,0.277992,40
4,22,102,4.94208,0.124662,39.6439
4,44,34,32.4324,0.81081,40
4,35,22,1.85328,0.046332,40
3,20,51,3.70656,0.0940429,39.4135
3,32,49,12.973,0.32915,39.4135
3,43,47,15.444,0.391846,39.4135
3,11,45,16.6356,0.422079,39.4135
3,31,43,14.8262,0.376172,39.4135
2,37,170,25.0193,0.625482,40
2,8,70,0.92664,0.023166,40
2,31,58,0.61776,0.015444,40
