source,destination,link_id,used_rate_c,usage,capacity_c
38,36,342,74.9124,0.928352,80.6939
38,36,341,75.5053,0.9357,80.6939
38,32,314,66.4732,0.821341,80.9325
38,32,313,67.3923,0.832698,80.9325
38,30,294,80.5463,1,80.5463
38,30,293,80.5463,1,80.5463
37,36,338,80.6939,1,80.6939
37,36,337,80.6939,1,80.6939
37,35,334,80.6074,1,80.6074
37,35,333,80.6074,1,80.6074
37,33,326,80.4852,1,80.4852
37,33,325,80.4852,1,80.4852
36,38,343,74.5116,0.923385,80.6939
36,38,340,75.5186,0.935865,80.6939
36,37,339,80.6939,1,80.6939
36,37,336,80.6939,1,80.6939
36,33,322,64.5389,0.801873,80.4852
36,33,321,66.3078,0.823851,80.4852
36,32,310,76.4143,0.944173,80.9325
36,32,309,75.8573,0.937291,80.9325
36,31,302,72.4958,0.896071,80.9041
36,31,301,71.7437,0.886774,80.9041
35,37,335,80.6074,1,80.6074
35,37,332,80.6074,1,80.6074
35,34,330,72.6794,0.896702,81.0518
35,34,329,74.1541,0.914897,81.0518
35,20,210,76.7109,0.951346,80.6341
35,20,209,76.8415,0.952966,80.6341
35,17,186,71.1479,0.884462,80.442
35,17,185,69.0861,0.858832,80.442
34,35,331,81.0518,1,81.0518
34,35,328,81.0518,1,81.0518
34,33,318,80.4852,1,80.4852
34,33,317,80.4852,1,80.4852
34,26,258,63.4053,0.781347,81.1487
34,26,257,62.5598,0.770927,81.1487
33,37,327,80.4852,1,80.4852
33,37,324,80.4852,1,80.4852
33,36,323,65.9985,0.820007,80.4852
33,36,320,66.8238,0.830262,80.4852
33,34,319,80.4852,1,80.4852
33,34,316,80.4852,1,80.4852
33,32,306,72.2072,0.892191,80.9325
33,32,305,73.4207,0.907184,80.9325
33,31,298,62.5508,0.773147,80.9041
33,31,297,62.3798,0.771033,80.9041
33,27,274,73.7208,0.914514,80.6119
33,27,273,73.6654,0.913827,80.6119
33,25,254,80.8437,1,80.8437
33,25,253,80.8437,1,80.8437
33,22,230,80.7179,1,80.7179
33,22,229,80.7179,1,80.7179
32,38,315,67.5319,0.834423,80.9325
32,38,312,68.6755,0.848553,80.9325
32,36,311,76.6934,0.947621,80.9325
32,36,308,77.1177,0.952865,80.9325
32,33,307,72.6961,0.898231,80.9325
32,33,304,72.327,0.89367,80.9325
32,30,290,80.5463,1,80.5463
32,30,289,80.5463,1,80.5463
31,36,303,74.706,0.923389,80.9041
31,36,300,74.7425,0.92384,80.9041
31,33,299,58.6307,0.724694,80.9041
31,33,296,58.2926,0.720515,80.9041
31,27,270,80.6119,1,80.6119
31,27,269,80.6119,1,80.6119
30,38,295,80.5463,1,80.5463
30,38,292,80.5463,1,80.5463
30,32,291,80.5463,1,80.5463
30,32,288,80.5463,1,80.5463
30,29,286,63.047,0.773934,81.463
30,29,285,63.3441,0.777582,81.463
30,28,282,81.3248,1,81.3248
30,28,281,81.3248,1,81.3248
30,27,266,63.1549,0.783444,80.6119
30,27,265,63.1214,0.783027,80.6119
30,24,242,80.6953,1,80.6953
30,24,241,80.6953,1,80.6953
30,16,174,80.6661,1,80.6661
30,16,173,80.6661,1,80.6661
29,30,287,67.6285,0.830174,81.463
29,30,284,67.6845,0.830861,81.463
29,28,278,81.3248,1,81.3248
29,28,277,81.3248,1,81.3248
29,27,262,80.6119,1,80.6119
29,27,261,80.6119,1,80.6119
29,25,250,80.8437,1,80.8437
29,25,249,80.8437,1,80.8437
28,30,283,81.024,0.996301,81.3248
28,30,280,81.1862,0.998296,81.3248
28,29,279,81.3248,1,81.3248
28,29,276,81.3248,1,81.3248
28,23,238,80.5486,1,80.5486
28,23,237,80.5486,1,80.5486
27,33,275,80.6119,1,80.6119
27,33,272,80.6119,1,80.6119
27,31,271,80.6119,1,80.6119
27,31,268,80.6119,1,80.6119
27,30,267,62.7395,0.778291,80.6119
