source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
8,33,0,2.40627,2,1.20313,28,3.71429,3
36,15,1,7.2188,6,1.20313,24,3.66667,3
13,36,2,4.81254,4,1.20313,8,3,3
33,14,3,4.77032,4,1.19258,10,3.1,3
4,18,4,4.80198,5,0.960396,16,3,3
3,37,5,2.72919,3,0.909731,103,6.15534,5
15,38,6,10.8282,9,1.20313,39,3.97436,3
28,37,7,12.0313,10,1.20313,45,4.24444,4
28,3,8,3.6094,3,1.20313,21,3.61905,3
4,30,9,4.81254,4,1.20313,77,5.67532,5
30,25,10,7.2188,6,1.20313,4,2,2
27,26,11,9.62507,8,1.20313,27,3.51852,3
22,33,12,2.40627,2,1.20313,2,1,1
8,22,13,3.6094,3,1.20313,17,3.05882,3
30,12,14,7.2188,6,1.20313,46,4.6087,4
33,31,15,2.40627,2,1.20313,2,1,1
11,10,16,4.81254,4,1.20313,2,1,1
26,29,17,6.01567,5,1.20313,12,3.33333,2
30,4,18,5.59352,5,1.1187,68,5.61765,5
1,33,19,4.81254,4,1.20313,90,5.8,5
7,2,20,2.40627,2,1.20313,6,2.33333,2
31,5,21,4.22152,4,1.05538,76,5.42105,5
0,12,22,10.8282,9,1.20313,56,4.07143,3
15,29,23,6.01567,5,1.20313,18,3,3
35,23,24,4.81254,4,1.20313,45,4.62222,4
4,25,25,9.54064,8,1.19258,14,3.42857,3
16,38,26,9.62507,8,1.20313,6,2.33333,2
17,13,27,3.6094,3,1.20313,4,2,2
8,9,28,2.40627,2,1.20313,2,1,1
2,17,29,3.6094,3,1.20313,35,4.31429,4
36,17,30,6.01567,5,1.20313,26,3.73077,3
30,17,31,3.6094,3,1.20313,16,4,4
34,28,32,7.2188,6,1.20313,32,4.3125,4
33,4,33,4.55924,4,1.13981,70,4.87143,4
19,28,34,14.4376,12,1.20313,26,3.5,3
20,31,35,2.40627,2,1.20313,33,4,4
15,10,36,7.2188,6,1.20313,5,2.4,2
20,14,37,2.40627,2,1.20313,16,4,4
