source,destination,link_id,used_rate,usage,link_capa
38,36,342,63.0736,0.39421,160
38,36,341,62.9856,0.39366,160
38,32,314,33.9668,0.212292,160
38,32,313,34.09,0.213063,160
38,30,294,74.2198,0.463874,160
38,30,293,74.2022,0.463764,160
37,36,338,73.6211,0.460132,160
37,36,337,73.6739,0.460462,160
37,35,334,85.5949,0.534968,160
37,35,333,85.5596,0.534748,160
37,33,326,73.3922,0.458701,160
37,33,325,73.4098,0.458811,160
36,38,343,60.9254,0.380784,160
36,38,340,60.9078,0.380674,160
36,37,339,74.6776,0.466735,160
36,37,336,74.6248,0.466405,160
36,33,322,50.4307,0.315192,160
36,33,321,50.5011,0.315632,160
36,32,310,60.8549,0.380343,160
36,32,309,60.8021,0.380013,160
36,31,302,41.9786,0.262366,160
36,31,301,41.8554,0.261596,160
35,37,335,84.0629,0.525393,160
35,37,332,84.0981,0.525613,160
35,34,330,72.7935,0.454959,160
35,34,329,72.8287,0.455179,160
35,20,210,69.5007,0.434379,160
35,20,209,69.5359,0.4346,160
35,17,186,77.988,0.487425,160
35,17,185,78.0056,0.487535,160
34,35,331,74.8185,0.467615,160
34,35,328,74.7832,0.467395,160
34,33,318,83.9925,0.524953,160
34,33,317,84.0101,0.525063,160
34,26,258,65.7501,0.410938,160
34,26,257,65.6797,0.410498,160
33,37,327,74.3783,0.464864,160
33,37,324,74.4487,0.465304,160
33,36,323,51.5929,0.322455,160
33,36,320,51.5929,0.322455,160
33,34,319,85.366,0.533537,160
33,34,316,85.3307,0.533317,160
33,32,306,63.2145,0.39509,160
33,32,305,63.1793,0.39487,160
33,31,298,47.8423,0.299014,160
33,31,297,47.8247,0.298904,160
33,27,274,74.167,0.463543,160
33,27,273,74.1493,0.463433,160
33,25,254,80.7701,0.504813,160
33,25,253,80.8054,0.505033,160
33,22,230,79.8017,0.49876,160
33,22,229,79.8369,0.498981,160
32,38,315,32.7342,0.204589,160
32,38,312,32.6285,0.203928,160
32,36,311,62.7743,0.392339,160
