source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
8,33,0,1.31444,2,0.657218,8,3.125,3,3
36,15,1,3.94331,6,0.657218,8,3,3,6
13,36,2,2.62887,4,0.657218,8,3,3,5
33,14,3,2.62887,4,0.657218,7,3,3,4
4,18,4,3.28609,5,0.657218,9,3,3,5
3,37,5,1.97165,3,0.657218,14,5.42857,5,1
15,38,6,5.91496,9,0.657218,13,3.76923,3,3
28,37,7,6.57218,10,0.657218,15,4.4,4,0
28,3,8,1.97165,3,0.657218,7,3,3,5
4,30,9,2.62887,4,0.657218,14,5.14286,5,1
30,25,10,3.94331,6,0.657218,4,2,2,4
27,26,11,5.25774,8,0.657218,10,3.2,3,3
22,33,12,1.31444,2,0.657218,2,1,1,2
8,22,13,1.97165,3,0.657218,13,3,3,3
30,12,14,3.94331,6,0.657218,12,4.5,4,2
33,31,15,1.31444,2,0.657218,2,1,1,2
11,10,16,2.62887,4,0.657218,2,1,1,2
26,29,17,3.28609,5,0.657218,4,2,2,4
30,4,18,3.28609,5,0.657218,13,5.15385,5,2
1,33,19,2.62887,4,0.657218,15,5.46667,5,1
7,2,20,1.31444,2,0.657218,4,2,2,4
31,5,21,2.62887,4,0.657218,15,5.46667,5,0
0,12,22,5.91496,9,0.657218,9,3.22222,3,4
15,29,23,3.28609,5,0.657218,11,3,3,4
35,23,24,2.62887,4,0.657218,13,4.30769,4,3
4,25,25,5.25774,8,0.657218,6,3,3,5
16,38,26,5.25774,8,0.657218,4,2,2,4
17,13,27,1.97165,3,0.657218,4,2,2,4
8,9,28,1.31444,2,0.657218,2,1,1,2
2,17,29,1.97165,3,0.657218,10,4,4,4
36,17,30,3.28609,5,0.657218,13,3.53846,3,2
30,17,31,1.97165,3,0.657218,11,4,4,4
34,28,32,3.94331,6,0.657218,12,4,4,4
33,4,33,2.62887,4,0.657218,9,4.11111,4,4
19,28,34,7.88661,12,0.657218,11,3.09091,3,2
20,31,35,1.31444,2,0.657218,11,4,4,3
15,10,36,3.94331,6,0.657218,4,2,2,4
20,14,37,1.31444,2,0.657218,11,4,4,4
12,35,38,3.28609,5,0.657218,8,2.625,2,4
31,0,39,2.62887,4,0.657218,14,5,5,1
0,17,40,3.94331,6,0.657218,8,3.25,3,6
8,6,41,1.97165,3,0.657218,4,2,2,4
18,11,42,2.62887,4,0.657218,15,5.4,5,0
16,31,43,1.97165,3,0.657218,7,3,3,5
17,12,44,3.28609,5,0.657218,2,1,1,2
5,35,45,3.28609,5,0.657218,9,2.55556,2,5
13,20,46,1.97165,3,0.657218,7,3,3,3
2,10,47,1.31444,2,0.657218,5,2.2,2,4
24,1,48,3.94331,6,0.657218,4,2,2,3
27,14,49,4.60052,7,0.657218,7,3,3,5
26,1,50,3.28609,5,0.657218,15,6.86667,6,0
15,17,51,3.94331,6,0.657218,12,4,4,3
12,20,52,1.97165,3,0.657218,4,2,2,4
29,7,53,3.28609,5,0.657218,7,3,3,4
38,21,54,1.97165,3,0.657218,13,5,5,2
19,36,55,5.91496,9,0.657218,9,3,3,4
8,7,56,1.97165,3,0.657218,11,4,4,4
2,33,57,1.97165,3,0.657218,14,5,5,1
16,24,58,3.94331,6,0.657218,2,1,1,2
17,35,59,1.97165,3,0.657218,3,1.33333,1,2
13,25,60,3.28609,5,0.657218,2,1,1,2
24,4,61,5.25774,8,0.657218,13,4.69231,4,2
6,29,62,2.62887,4,0.657218,11,4,4,3
1,8,63,1.97165,3,0.657218,13,3.69231,3,2
25,19,64,7.2294,11,0.657218,2,1,1,2
23,3,65,1.31444,2,0.657218,4,2,2,4
26,8,66,2.62887,4,0.657218,8,3.625,3,4
35,10,67,1.97165,3,0.657218,15,5.6,5,1
12,27,68,5.91496,9,0.657218,12,4,4,3
25,30,69,3.28609,5,0.657218,4,2,2,3
24,13,70,3.28609,5,0.657218,13,4.46154,4,2
38,28,71,7.2294,11,0.657218,4,2,2,3
0,37,72,4.60052,7,0.657218,14,5.92857,5,1
37,17,73,3.94331,6,0.657218,8,2.5,2,3
2,22,74,1.97165,3,0.657218,13,4.07692,4,2
