switch_id,used_rules,usage
38,646,0.878912
37,897,1.22041
36,917,1.24762
35,1329,1.80816
34,1006,1.36871
33,1819,2.47483
32,737,1.00272
31,728,0.990476
30,1572,2.13878
29,822,1.11837
28,664,0.903401
27,1511,2.05578
26,1032,1.40408
25,1848,2.51429
24,1251,1.70204
23,1707,2.32245
22,1387,1.88707
21,1076,1.46395
20,1026,1.39592
19,922,1.25442
18,1258,1.71156
17,1680,2.28571
16,1518,2.06531
15,1182,1.60816
14,1210,1.64626
13,1475,2.0068
12,1449,1.97143
11,839,1.1415
10,1309,1.78095
9,2183,2.97007
8,1717,2.33605
7,855,1.16327
6,1206,1.64082
5,1155,1.57143
4,1391,1.89252
3,1292,1.75782
2,938,1.27619
1,866,1.17823
0,924,1.25714
