source,destination,link_id,used_rate_c,usage,capacity_c
38,36,342,45.7035,0.474274,96.3652
38,36,341,38.2248,0.396666,96.3652
38,32,314,21.6053,0.210277,102.747
38,32,313,21.6053,0.210277,102.747
38,30,294,62.323,0.690263,90.2887
38,30,293,70.6327,0.782298,90.2887
37,36,338,51.5203,0.534636,96.3652
37,36,337,55.6752,0.577752,96.3652
37,35,334,65.6469,0.729478,89.9915
37,35,333,66.5225,0.739209,89.9915
37,33,326,45.7035,0.518503,88.1452
37,33,325,54.8442,0.622203,88.1452
36,38,343,45.7035,0.474274,96.3652
36,38,340,44.8725,0.465651,96.3652
36,37,339,48.1964,0.500144,96.3652
36,37,336,51.7956,0.537493,96.3652
36,33,322,46.5345,0.52793,88.1452
36,33,321,40.7177,0.461939,88.1452
36,32,310,37.3938,0.363942,102.747
36,32,309,36.5628,0.355854,102.747
36,31,302,18.2814,0.176933,103.324
36,31,301,16.6195,0.160848,103.324
35,37,335,73.1256,0.812584,89.9915
35,37,332,74.7876,0.831051,89.9915
35,34,330,42.3796,0.447946,94.6087
35,34,329,44.8725,0.474296,94.6087
35,20,210,14.1265,0.150191,94.0569
35,20,209,14.1265,0.150191,94.0569
35,17,186,82.2663,0.937156,87.7829
35,17,185,81.2047,0.925063,87.7829
34,35,331,47.3655,0.500646,94.6087
34,35,328,43.2106,0.45673,94.6087
34,33,318,70.6327,0.801322,88.1452
34,33,317,70.6327,0.801322,88.1452
34,26,258,39.8867,0.423274,94.2338
34,26,257,39.0557,0.414455,94.2338
33,37,327,48.1964,0.546785,88.1452
33,37,324,51.5203,0.584494,88.1452
33,36,323,43.2106,0.490221,88.1452
33,36,320,44.0416,0.499648,88.1452
33,34,319,65.6469,0.744759,88.1452
33,34,316,72.2947,0.820177,88.1452
33,32,306,58.9991,0.574219,102.747
33,32,305,61.7239,0.600739,102.747
33,31,298,20.7743,0.20106,103.324
33,31,297,22.4363,0.217145,103.324
33,27,274,46.5345,0.516903,90.0256
33,27,273,60.661,0.67382,90.0256
33,25,254,74.7876,0.847581,88.2364
33,25,253,75.0195,0.85021,88.2364
33,22,230,73.1256,0.804757,90.8668
33,22,229,73.1256,0.804757,90.8668
32,38,315,17.4504,0.169839,102.747
32,38,312,24.9292,0.242628,102.747
32,36,311,31.8523,0.310008,102.747
32,36,308,40.7177,0.396292,102.747
32,33,307,57.5691,0.560302,102.747
32,33,304,58.9991,0.574219,102.747
32,30,290,65.6469,0.727077,90.2887
32,30,289,59.8301,0.662653,90.2887
31,36,303,19.1124,0.184975,103.324
31,36,300,23.2672,0.225187,103.324
31,33,299,18.2814,0.176933,103.324
31,33,296,18.2814,0.176933,103.324
31,27,270,44.0416,0.489212,90.0256
31,27,269,38.2248,0.424599,90.0256
30,38,295,61.492,0.68106,90.2887
30,38,292,59.8301,0.662653,90.2887
30,32,291,67.5841,0.748533,90.2887
30,32,288,56.7815,0.628888,90.2887
30,29,286,39.0557,0.373776,104.49
30,29,285,57.3371,0.548734,104.49
30,28,282,34.9009,0.314247,111.062
30,28,281,40.7177,0.366622,111.062
30,27,266,42.3796,0.470751,90.0256
30,27,265,44.0416,0.489212,90.0256
30,24,242,92.5133,1,92.5133
30,24,241,92.5133,1,92.5133
30,16,174,73.1256,0.813254,89.9174
30,16,173,78.9424,0.877944,89.9174
29,30,287,35.1762,0.336647,104.49
29,30,284,37.6691,0.360505,104.49
29,28,278,38.2248,0.344176,111.062
29,28,277,39.8867,0.35914,111.062
29,27,262,30.746,0.341525,90.0256
29,27,261,33.6068,0.373302,90.0256
29,25,250,80.6044,0.913504,88.2364
29,25,249,79.7734,0.904087,88.2364
28,30,283,39.0557,0.351658,111.062
28,30,280,39.8867,0.35914,111.062
28,29,279,40.7177,0.366622,111.062
28,29,276,44.0416,0.39655,111.062
28,23,238,57.3371,0.644374,88.9812
