switch_id,used_rules,usage
38,1466,1.99456
37,2126,2.89252
36,2164,2.94422
35,3310,4.5034
34,2380,3.2381
33,3977,5.41088
32,1660,2.2585
31,1628,2.21497
30,3225,4.38776
29,1568,2.13333
28,1314,1.78776
27,3300,4.4898
26,2433,3.3102
25,3937,5.35646
24,2717,3.6966
23,3641,4.95374
22,3073,4.18095
21,2742,3.73061
20,2459,3.34558
19,2102,2.85986
18,3020,4.10884
17,4145,5.63946
16,3332,4.53333
15,2597,3.53333
14,2902,3.9483
13,3582,4.87347
12,3684,5.01224
11,1976,2.68844
10,2980,4.05442
9,5302,7.21361
8,4348,5.91565
7,2110,2.87075
6,2804,3.81497
5,2816,3.83129
4,3560,4.84354
3,3189,4.33878
2,2437,3.31565
1,2393,3.25578
0,2528,3.43946
