switch_id,used_rules,usage
38,1006,1.36871
37,1452,1.97551
36,1454,1.97823
35,2191,2.98095
34,1635,2.22449
33,2850,3.87755
32,1176,1.6
31,1145,1.55782
30,2404,3.27075
29,1219,1.6585
28,1023,1.39184
27,2375,3.23129
26,1711,2.32789
25,2897,3.9415
24,1959,2.66531
23,2685,3.65306
22,2198,2.99048
21,1827,2.48571
20,1634,2.22313
19,1504,2.04626
18,2051,2.79048
17,2775,3.77551
16,2441,3.32109
15,1906,2.5932
14,1995,2.71429
13,2405,3.27211
12,2437,3.31565
11,1370,1.86395
10,2128,2.89524
9,3627,4.93469
8,2876,3.91293
7,1414,1.92381
6,1987,2.7034
5,1911,2.6
4,2347,3.1932
3,2125,2.89116
2,1599,2.17551
1,1524,2.07347
0,1653,2.24898
