source,destination,link_id,used_rate,usage,link_capa
38,36,342,45.7035,0.285647,160
38,36,341,43.2106,0.270066,160
38,32,314,21.6053,0.135033,160
38,32,313,21.6053,0.135033,160
38,30,294,67.3088,0.42068,160
38,30,293,70.6327,0.441454,160
37,36,338,57.3371,0.358357,160
37,36,337,55.6752,0.34797,160
37,35,334,66.4778,0.415486,160
37,35,333,68.1398,0.425874,160
37,33,326,52.3513,0.327196,160
37,33,325,54.8442,0.342776,160
36,38,343,45.7035,0.285647,160
36,38,340,44.8725,0.280453,160
36,37,339,53.1823,0.332389,160
36,37,336,49.8584,0.311615,160
36,33,322,46.5345,0.290841,160
36,33,321,40.7177,0.254485,160
36,32,310,43.2106,0.270066,160
36,32,309,36.5628,0.228518,160
36,31,302,22.4363,0.140227,160
36,31,301,19.9434,0.124646,160
35,37,335,73.1256,0.457035,160
35,37,332,74.7876,0.467422,160
35,34,330,44.8725,0.280453,160
35,34,329,44.8725,0.280453,160
35,20,210,14.1265,0.0882909,160
35,20,209,14.1265,0.0882909,160
35,17,186,82.2663,0.514165,160
35,17,185,82.2663,0.514165,160
34,35,331,45.7035,0.285647,160
34,35,328,46.5345,0.290841,160
34,33,318,73.9566,0.462229,160
34,33,317,75.6185,0.472616,160
34,26,258,39.8867,0.249292,160
34,26,257,39.0557,0.244098,160
33,37,327,49.8584,0.311615,160
33,37,324,54.8442,0.342776,160
33,36,323,43.2106,0.270066,160
33,36,320,44.0416,0.27526,160
33,34,319,76.4495,0.477809,160
33,34,316,73.9566,0.462229,160
33,32,306,58.9991,0.368744,160
33,32,305,63.1539,0.394712,160
33,31,298,19.1124,0.119452,160
33,31,297,20.7743,0.12984,160
33,27,274,62.323,0.389519,160
33,27,273,63.1539,0.394712,160
33,25,254,74.7876,0.467422,160
33,25,253,78.1115,0.488197,160
33,22,230,73.1256,0.457035,160
33,22,229,73.9566,0.462229,160
32,38,315,17.4504,0.109065,160
32,38,312,24.9292,0.155807,160
32,36,311,34.9009,0.21813,160
32,36,308,40.7177,0.254485,160
32,33,307,60.661,0.379131,160
32,33,304,58.9991,0.368744,160
32,30,290,73.1256,0.457035,160
32,30,289,65.6469,0.410293,160
31,36,303,23.2672,0.14542,160
31,36,300,23.2672,0.14542,160
31,33,299,18.2814,0.114259,160
31,33,296,18.2814,0.114259,160
31,27,270,47.3655,0.296034,160
31,27,269,45.7035,0.285647,160
30,38,295,68.1398,0.425874,160
30,38,292,64.8159,0.405099,160
30,32,291,62.323,0.389519,160
30,32,288,67.3088,0.42068,160
30,29,286,61.492,0.384325,160
30,29,285,65.6469,0.410293,160
30,28,282,42.3796,0.264873,160
30,28,281,40.7177,0.254485,160
30,27,266,58.9991,0.368744,160
30,27,265,59.8301,0.373938,160
30,24,242,127.97,0.799812,160
30,24,241,129.632,0.810199,160
30,16,174,73.1256,0.457035,160
30,16,173,78.9424,0.49339,160
29,30,287,57.3371,0.358357,160
29,30,284,54.8442,0.342776,160
29,28,278,38.2248,0.238905,160
29,28,277,39.8867,0.249292,160
29,27,262,30.746,0.192163,160
29,27,261,34.9009,0.21813,160
29,25,250,93.8999,0.586875,160
29,25,249,93.069,0.581681,160
28,30,283,39.0557,0.244098,160
28,30,280,39.8867,0.249292,160
28,29,279,42.3796,0.264873,160
28,29,276,44.0416,0.27526,160
28,23,238,63.1539,0.394712,160
28,23,237,59.8301,0.373938,160
27,33,275,68.1398,0.425874,160
27,33,272,64.8159,0.405099,160
27,31,271,48.1964,0.301228,160
27,31,268,48.1964,0.301228,160
27,30,267,61.492,0.384325,160
27,30,264,57.3371,0.358357,160
27,29,263,31.577,0.197356,160
27,29,260,28.2531,0.176582,160
27,23,234,73.9566,0.462229,160
27,23,233,71.4637,0.446648,160
27,22,226,39.8867,0.249292,160
27,22,225,37.3938,0.233711,160
26,34,259,40.7177,0.254485,160
