source,destination,link_id,used_rate,usage,link_capa
34,32,159,160.114,0.266856,600
34,29,155,350.957,0.584929,600
34,26,147,350.236,0.583727,600
34,21,135,31.6809,0.0528015,600
34,16,111,79.1158,0.13186,600
33,16,109,464.955,0.774926,600
33,12,95,199.066,0.331776,600
33,10,85,66.4913,0.110819,600
33,2,25,0,0,600
32,34,158,446.627,0.744379,600
32,30,157,446.626,0.744376,600
32,29,153,446.626,0.744376,600
32,28,149,66.3662,0.11061,600
32,24,141,238.713,0.397854,600
32,21,133,308.286,0.513809,600
32,6,55,3.40726,0.00567877,600
32,0,5,0,0,600
31,25,143,454.491,0.757484,600
31,23,139,210.612,0.35102,600
31,7,63,4.61232,0.00768719,600
30,32,156,100.078,0.166797,600
30,29,151,336.074,0.560123,600
30,20,131,336.07,0.560116,600
30,0,3,0.0220773,3.67955e-05,600
29,34,154,288.964,0.481607,600
29,32,152,32.0654,0.0534424,600
29,30,150,227.28,0.3788,600
29,26,145,284.126,0.473543,600
29,20,129,209.203,0.348671,600
28,32,148,546.722,0.911204,600
28,22,137,133.078,0.221797,600
28,18,123,239.088,0.39848,600
28,11,91,118.625,0.197708,600
28,9,81,245.811,0.409684,600
28,8,73,110.999,0.184999,600
28,6,53,387.815,0.646359,600
28,4,41,349.576,0.582626,600
28,1,17,356.013,0.593355,600
27,17,119,390.925,0.651541,600
27,15,103,408.279,0.680465,600
27,5,45,92.5223,0.154204,600
27,3,33,431.021,0.718368,600
26,34,146,277.797,0.462995,600
26,29,144,320.59,0.534317,600
26,20,127,320.583,0.534304,600
26,17,117,186.06,0.3101,600
26,16,107,190.939,0.318232,600
25,31,142,449.28,0.748801,600
25,17,115,546.704,0.911173,600
25,14,99,448.889,0.748148,600
25,5,43,344.947,0.574911,600
25,3,31,65.3985,0.108997,600
24,32,140,452.802,0.75467,600
24,6,51,277.585,0.462642,600
24,4,39,185.944,0.309907,600
24,0,1,423.919,0.706532,600
23,31,138,463.231,0.772052,600
23,19,125,359.847,0.599745,600
23,11,89,359.746,0.599577,600
23,9,79,225.332,0.375553,600
23,7,61,157.4,0.262334,600
22,28,136,372.913,0.621522,600
22,18,121,372.884,0.621473,600
22,13,97,74.5219,0.124203,600
22,11,87,257.482,0.429137,600
22,8,71,128.758,0.214597,600
21,34,134,464.827,0.774711,600
21,32,132,462.757,0.771261,600
21,17,113,446.346,0.74391,600
21,16,105,446.686,0.744477,600
21,6,49,219.579,0.365965,600
21,1,15,14.8617,0.0247695,600
20,30,130,224.925,0.374876,600
20,29,128,230.062,0.383437,600
20,26,126,284.144,0.473573,600
19,23,124,372.505,0.620841,600
19,8,69,258.198,0.43033,600
18,28,122,310.749,0.517915,600
18,22,120,309.87,0.516449,600
18,4,37,349.778,0.582963,600
17,27,118,440.269,0.733782,600
17,26,116,471.693,0.786154,600
17,25,114,459.548,0.765914,600
17,21,112,463.246,0.772077,600
17,15,101,405.75,0.676249,600
17,3,29,444.201,0.740335,600
17,2,23,405.716,0.676194,600
16,34,110,462.42,0.7707,600
16,33,108,269.777,0.449629,600
16,26,106,462.45,0.770749,600
16,21,104,298.706,0.497843,600
16,12,93,121.615,0.202691,600
15,27,102,449.785,0.749641,600
15,17,100,443.84,0.739734,600
15,10,83,421.406,0.702343,600
15,2,21,336.418,0.560696,600
14,25,98,467.323,0.778872,600
14,9,77,410.268,0.68378,600
14,7,59,409.46,0.682434,600
14,3,27,462.24,0.7704,600
14,1,13,398.996,0.664993,600
13,22,96,294.651,0.491085,600
13,8,67,279.447,0.465745,600
12,33,94,350.33,0.583883,600
12,16,92,464.952,0.774919,600
12,2,19,175.033,0.291721,600
11,28,90,372.939,0.621565,600
11,23,88,381.446,0.635743,600
11,22,86,310.158,0.516931,600
11,9,75,372.906,0.62151,600
11,8,65,307.088,0.511813,600
10,33,84,422.878,0.704796,600
10,15,82,372.777,0.621295,600
9,28,80,387.86,0.646433,600
9,23,78,383.315,0.638859,600
9,14,76,367.247,0.612078,600
9,11,74,384.542,0.640904,600
9,7,57,374.519,0.624199,600
9,6,47,388.386,0.64731,600
9,1,11,356.065,0.593441,600
8,28,72,372.922,0.621537,600
8,22,70,294.577,0.490962,600
8,19,68,374.95,0.624916,600
8,13,66,214.448,0.357413,600
8,11,64,289.229,0.482049,600
7,31,62,463.235,0.772059,600
7,23,60,389.661,0.649434,600
7,14,58,232.974,0.388291,600
7,9,56,380.594,0.634324,600
6,32,54,546.719,0.911198,600
6,28,52,363.03,0.60505,600
6,24,50,546.728,0.911213,600
6,21,48,546.713,0.911188,600
6,9,46,262.247,0.437078,600
6,4,35,132.254,0.220423,600
6,1,9,244.263,0.407105,600
5,27,44,546.743,0.911238,600
5,25,42,488.138,0.813564,600
4,28,40,363.063,0.605105,600
4,24,38,546.741,0.911234,600
4,18,36,362.951,0.604918,600
4,6,34,387.468,0.645779,600
3,27,32,546.724,0.911207,600
3,25,30,456.406,0.760676,600
3,17,28,546.704,0.911173,600
3,14,26,460.836,0.76806,600
3,1,7,460.891,0.768152,600
2,33,24,429.766,0.716277,600
2,17,22,443.853,0.739755,600
2,15,20,374.126,0.623543,600
2,12,18,429.764,0.716274,600
1,28,16,407.409,0.679015,600
1,21,14,546.726,0.91121,600
1,14,12,362.265,0.603774,600
1,9,10,405.337,0.675562,600
1,6,8,407.457,0.679095,600
1,3,6,462.238,0.770397,600
0,32,4,451.943,0.753238,600
0,30,2,457.247,0.762078,600
0,24,0,370.137,0.616895,600
