source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,41.2935,10,4.12935,3,3,3
0,2,1,8.25869,2,4.12935,2,4.5,4
0,3,2,37.1641,9,4.12935,5,4.2,4
0,4,3,28.9054,7,4.12935,1,2,2
0,5,4,16.5174,4,4.12935,2,5,5
0,6,5,8.25869,2,4.12935,2,2,2
0,7,6,24.7761,6,4.12935,4,4.25,4
0,8,7,12.388,3,4.12935,2,4,3
0,9,8,16.5174,4,4.12935,4,3.25,3
0,10,9,37.1641,9,4.12935,6,5.83333,5
0,11,10,24.7761,6,4.12935,4,4,3
0,12,11,28.9054,7,4.12935,7,4.85714,4
0,13,12,8.25869,2,4.12935,3,4.33333,4
0,14,13,20.6467,5,4.12935,3,4,4
0,15,14,16.5174,4,4.12935,1,4,4
0,16,15,20.6467,5,4.12935,9,4,3
0,17,16,33.0348,8,4.12935,1,3,3
0,18,17,24.7761,6,4.12935,1,3,3
0,19,18,16.5174,4,4.12935,2,5,4
0,20,19,28.9054,7,4.12935,3,2.66667,2
0,21,20,24.7761,6,4.12935,1,2,2
0,22,21,24.7761,6,4.12935,2,3.5,3
0,23,22,20.6467,5,4.12935,5,4.8,4
0,24,23,4.12935,1,4.12935,1,1,1
0,25,24,28.9054,7,4.12935,6,5.16667,4
0,26,25,8.25869,2,4.12935,6,3.33333,3
0,27,26,28.9054,7,4.12935,1,4,4
0,28,27,37.1641,9,4.12935,3,2.66667,2
0,29,28,20.6467,5,4.12935,3,2.33333,2
0,30,29,33.0348,8,4.12935,3,2,1
0,31,30,20.6467,5,4.12935,4,5.5,5
0,32,31,16.5174,4,4.12935,1,1,1
0,33,32,33.0348,8,4.12935,16,5.3125,4
0,34,33,24.7761,6,4.12935,6,3.5,2
1,2,34,16.5174,4,4.12935,4,4,3
1,3,35,41.2935,10,4.12935,2,1.5,1
1,4,36,28.9054,7,4.12935,2,2,2
1,5,37,12.388,3,4.12935,3,3.33333,3
1,6,38,16.5174,4,4.12935,1,1,1
1,7,39,8.25869,2,4.12935,2,2,2
1,8,40,33.0348,8,4.12935,2,2.5,2
1,9,41,41.2935,10,4.12935,1,1,1
1,10,42,28.9054,7,4.12935,4,4.5,4
1,11,43,4.12935,1,4.12935,2,2.5,2
1,12,44,16.5174,4,4.12935,11,5.27273,3
1,13,45,8.25869,2,4.12935,5,4,3
1,14,46,28.9054,7,4.12935,1,1,1
1,15,47,8.17611,2,4.08805,6,3.83333,3
1,16,48,37.1641,9,4.12935,2,2.5,2
1,17,49,36.9783,9,4.1087,6,3.33333,2
1,18,50,24.7761,6,4.12935,1,2,2
1,19,51,28.9054,7,4.12935,1,3,3
1,20,52,37.1641,9,4.12935,24,4.875,4
1,21,53,4.12935,1,4.12935,2,1.5,1
1,22,54,8.25869,2,4.12935,2,2.5,2
1,23,55,28.9054,7,4.12935,1,2,2
1,24,56,28.9054,7,4.12935,3,2.66667,2
1,25,57,12.388,3,4.12935,2,2.5,2
1,26,58,8.25869,2,4.12935,23,4.86957,3
1,27,59,11.8512,3,3.95041,6,3.5,2
1,28,60,28.9054,7,4.12935,2,1.5,1
1,29,61,16.5174,4,4.12935,26,4.5,3
1,30,62,16.5174,4,4.12935,25,4.76,3
1,31,63,16.5174,4,4.12935,3,3,3
1,32,64,28.9054,7,4.12935,9,3.11111,2
1,33,65,30.8875,8,3.86094,16,5.6875,3
1,34,66,33.0348,8,4.12935,19,4.42105,2
2,3,67,24.7761,6,4.12935,3,2.66667,2
2,4,68,12.5119,6,2.08532,18,6.33333,4
2,5,69,33.0348,8,4.12935,2,3,3
2,6,70,33.7574,9,3.75082,15,5.4,3
2,7,71,4.33581,2,2.16791,7,4.85714,4
2,8,72,13.971,7,1.99585,21,7.14286,5
2,9,73,8.89951,5,1.7799,14,5.07143,4
2,10,74,12.388,3,4.12935,2,2,2
2,11,75,6.95107,2,3.47553,23,6.47826,5
2,12,76,37.1641,9,4.12935,2,1.5,1
2,13,77,6.04261,2,3.0213,36,8.11111,6
2,14,78,15.9102,5,3.18205,12,4.33333,3
2,15,79,24.7761,6,4.12935,1,1,1
2,16,80,16.5174,4,4.12935,4,2.5,2
2,17,81,24.7761,6,4.12935,2,1.5,1
2,18,82,10.1582,3,3.38606,42,7.33333,5
2,19,83,13.7645,4,3.44112,16,7.0625,5
2,20,84,8.25869,2,4.12935,10,4.8,3
2,21,85,33.0348,8,4.12935,3,2.66667,2
2,22,86,7.13,2,3.565,30,7.56667,5
2,23,87,13.627,4,3.40674,25,6.04,4
2,24,88,33.0348,8,4.12935,4,4.75,4
2,25,89,37.1641,9,4.12935,7,3.42857,2
2,26,90,33.0348,8,4.12935,9,3.77778,2
2,27,91,33.0348,8,4.12935,3,2.33333,2
2,28,92,27.7974,7,3.97105,23,5.73913,4
2,29,93,16.5174,4,4.12935,9,4.33333,3
2,30,94,37.1641,9,4.12935,10,5,4
2,31,95,9.2071,3,3.06903,10,4.8,3
2,32,96,37.1641,9,4.12935,4,3.75,3
2,33,97,12.388,3,4.12935,2,1.5,1
2,34,98,12.388,3,4.12935,5,3.6,3
