switch_id,used_rules,usage
34,604,2.03367
33,436,1.46801
32,1153,3.88215
31,292,0.983165
30,705,2.37374
29,719,2.42088
28,1272,4.28283
27,536,1.80471
26,502,1.69024
25,654,2.20202
24,746,2.51178
23,598,2.01347
22,870,2.92929
21,522,1.75758
20,389,1.30976
19,398,1.34007
18,474,1.59596
17,922,3.10438
16,426,1.43434
15,562,1.89226
14,817,2.75084
13,517,1.74074
12,378,1.27273
11,616,2.07407
10,245,0.824916
9,847,2.85185
8,750,2.52525
7,439,1.47811
6,1014,3.41414
5,255,0.858586
4,647,2.17845
3,838,2.82155
2,628,2.11448
1,735,2.47475
0,413,1.39057
