source,destination,link_id,used_rate_c,usage,capacity_c
34,32,159,124.697,0.32646,381.969
34,29,155,160.23,0.293755,545.455
34,26,147,123.467,0.222927,553.846
34,21,135,20.9118,0.0353161,592.131
34,16,111,108.249,0.186292,581.073
33,16,109,320.987,0.552404,581.073
33,12,95,25.1293,0.0437675,574.154
33,10,85,16.2022,0.0282193,574.154
33,2,25,0,0,449.748
32,34,158,298.248,0.780817,381.969
32,30,157,297.299,0.604742,491.613
32,29,153,298.318,0.546916,545.455
32,28,149,105.367,0.286594,367.654
32,24,141,134.503,0.293509,458.259
32,21,133,171.582,0.28977,592.131
32,6,55,14.0583,0.0350061,401.596
32,0,5,0,0,381.969
31,25,143,242.682,0.544924,445.351
31,23,139,149.546,0.296782,503.89
31,7,63,18.5922,0.0317997,584.665
30,32,156,77.2857,0.157209,491.613
30,29,151,155.485,0.285056,545.455
30,20,131,154.817,0.314917,491.613
30,0,3,0,0,491.613
29,34,154,128.001,0.234669,545.455
29,32,152,49.6611,0.0910453,545.455
29,30,150,85.053,0.15593,545.455
29,26,145,140.794,0.254212,553.846
29,20,129,55.7413,0.102192,545.455
28,32,148,367.654,1,367.654
28,22,137,121.183,0.297586,407.22
28,18,123,170.949,0.291476,586.495
28,11,91,43.5809,0.0896702,486.013
28,9,81,168.067,0.38284,439.002
28,8,73,91.9767,0.214426,428.944
28,6,53,237.867,0.592304,401.596
28,4,41,152.041,0.311322,488.372
28,1,17,162.128,0.354224,457.699
27,17,119,219.451,0.559894,391.95
27,15,103,244.58,0.498337,490.792
27,5,45,76.4774,0.152333,502.041
27,3,33,227.78,0.56215,405.195
26,34,146,139.705,0.252245,553.846
26,29,144,178.576,0.322429,553.846
26,20,127,178.822,0.322873,553.846
26,17,117,102.099,0.260489,391.95
26,16,107,75.1067,0.129255,581.073
25,31,142,279.023,0.626524,445.351
25,17,115,353.673,0.90234,391.95
25,14,99,225.707,0.533716,422.897
25,5,43,142.235,0.319378,445.351
25,3,31,0.0702917,0.000173476,405.195
24,32,140,295.717,0.645305,458.259
24,6,51,189.752,0.472495,401.596
24,4,39,104.137,0.213233,488.372
24,0,1,253.823,0.553886,458.259
23,31,138,298.951,0.593285,503.89
23,19,125,179.736,0.356697,503.89
23,11,89,155.345,0.319631,486.013
23,9,79,171.934,0.391647,439.002
23,7,61,134.679,0.230352,584.665
22,28,136,230.311,0.565568,407.22
22,18,121,207.571,0.353918,586.495
22,13,97,68.183,0.128301,531.429
22,11,87,150.741,0.310158,486.013
22,8,71,58.2367,0.135768,428.944
21,34,134,320.284,0.540901,592.131
21,32,132,282.924,0.477806,592.131
21,17,113,256.811,0.655212,391.95
21,16,105,297.65,0.512243,581.073
21,6,49,152.498,0.379729,401.596
21,1,15,57.2526,0.125088,457.699
20,30,130,73.4548,0.149416,491.613
20,29,128,90.852,0.166562,545.455
20,26,126,141.427,0.255354,553.846
19,23,124,212.316,0.421354,503.89
19,8,69,114.681,0.267357,428.944
18,28,122,192.67,0.32851,586.495
18,22,120,159.492,0.271941,586.495
18,4,37,206.236,0.422292,488.372
17,27,118,212.316,0.541691,391.95
17,26,116,347.171,0.885752,391.95
17,25,114,271.572,0.692873,391.95
17,21,112,317.121,0.809084,391.95
17,15,101,247.743,0.504782,490.792
17,3,29,249.992,0.616969,405.195
17,2,23,253.472,0.563587,449.748
16,34,110,289.953,0.498997,581.073
16,33,108,172.601,0.297039,581.073
16,26,106,288.899,0.497182,581.073
16,21,104,222.192,0.382383,581.073
16,12,93,129.161,0.22228,581.073
15,27,102,282.291,0.575175,490.792
15,17,100,274.243,0.558776,490.792
15,10,83,236.496,0.481867,490.792
15,2,21,171.16,0.380569,449.748
14,25,98,305.136,0.721539,422.897
14,9,77,249.957,0.569377,439.002
14,7,59,229.924,0.393258,584.665
14,3,27,298.142,0.7358,405.195
14,1,13,233.614,0.510411,457.699
13,22,96,196.641,0.370023,531.429
13,8,67,176.784,0.412137,428.944
12,33,94,153.904,0.268053,574.154
12,16,92,321.725,0.553675,581.073
12,2,19,106,0.235687,449.748
11,28,90,223.914,0.460717,486.013
11,23,88,232.525,0.478434,486.013
11,22,86,171.231,0.352317,486.013
11,9,75,190.28,0.433437,439.002
11,8,65,160.511,0.374201,428.944
10,33,84,254.105,0.442572,574.154
10,15,82,201.737,0.411044,490.792
9,28,80,235.126,0.535592,439.002
9,23,78,217.729,0.495963,439.002
9,14,76,237.621,0.541276,439.002
9,11,74,226.164,0.515177,439.002
9,7,57,219.767,0.375886,584.665
9,6,47,254.737,0.634311,401.596
9,1,11,210.875,0.460729,457.699
8,28,72,236.215,0.550691,428.944
8,22,70,156.118,0.363959,428.944
8,19,68,215.971,0.503496,428.944
8,13,66,117.036,0.272846,428.944
8,11,64,181.563,0.423281,428.944
7,31,62,298.88,0.5112,584.665
7,23,60,242.049,0.413997,584.665
7,14,58,196.887,0.336752,584.665
7,9,56,208.696,0.35695,584.665
6,32,54,368.785,0.918299,401.596
6,28,52,181.107,0.450967,401.596
6,24,50,360.491,0.897645,401.596
6,21,48,363.197,0.904384,401.596
6,9,46,186.168,0.463569,401.596
6,4,35,102.731,0.210355,488.372
6,1,9,147.437,0.322126,457.699
5,27,44,353.989,0.7051,502.041
5,25,42,259.06,0.581699,445.351
4,28,40,212.316,0.434742,488.372
4,24,38,362.248,0.741747,488.372
4,18,36,182.864,0.374436,488.372
4,6,34,231.927,0.474899,488.372
3,27,32,355.852,0.878224,405.195
3,25,30,232.947,0.574901,405.195
3,17,28,354.868,0.875795,405.195
3,14,26,258.146,0.637092,405.195
3,1,7,277.09,0.605397,457.699
2,33,24,271.642,0.603988,449.748
2,17,22,281.483,0.625869,449.748
2,15,20,210.383,0.46778,449.748
2,12,18,269.006,0.598127,449.748
1,28,16,250.941,0.548267,457.699
1,21,14,365.025,0.797521,457.699
1,14,12,216.182,0.472324,457.699
1,9,10,202.862,0.443221,457.699
1,6,8,252.664,0.55203,457.699
1,3,6,302.606,0.661146,457.699
0,32,4,276.106,0.722849,381.969
0,30,2,317.156,0.645134,491.613
0,24,0,225.179,0.49138,458.259
