source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,23.0703,10,2.30703,3,3,3,2
0,2,1,4.61405,2,2.30703,2,4.5,4,2
0,3,2,20.7632,9,2.30703,4,4,4,3
0,4,3,16.1492,7,2.30703,1,2,2,1
0,5,4,9.2281,4,2.30703,2,5,5,1
0,6,5,4.61405,2,2.30703,2,2,2,2
0,7,6,13.8422,6,2.30703,3,4,4,3
0,8,7,6.92108,3,2.30703,2,4,3,2
0,9,8,9.2281,4,2.30703,3,3,3,2
0,10,9,20.7632,9,2.30703,7,6,5,3
0,11,10,13.8422,6,2.30703,2,3.5,3,2
0,12,11,16.1492,7,2.30703,5,4.6,4,4
0,13,12,4.61405,2,2.30703,3,4.33333,4,2
0,14,13,11.5351,5,2.30703,2,4,4,1
0,15,14,9.2281,4,2.30703,1,4,4,1
0,16,15,11.5351,5,2.30703,4,3.75,3,4
0,17,16,18.4562,8,2.30703,1,3,3,1
0,18,17,13.8422,6,2.30703,1,3,3,1
0,19,18,9.2281,4,2.30703,2,5,4,2
0,20,19,16.1492,7,2.30703,1,2,2,1
0,21,20,13.8422,6,2.30703,1,2,2,1
0,22,21,13.8422,6,2.30703,2,3.5,3,2
0,23,22,11.5351,5,2.30703,1,4,4,1
0,24,23,2.30703,1,2.30703,1,1,1,1
0,25,24,16.1492,7,2.30703,3,4.66667,4,3
0,26,25,4.61405,2,2.30703,2,3,3,2
0,27,26,16.1492,7,2.30703,1,4,4,1
0,28,27,20.7632,9,2.30703,2,2.5,2,2
0,29,28,11.5351,5,2.30703,1,2,2,1
0,30,29,18.4562,8,2.30703,1,1,1,1
0,31,30,11.5351,5,2.30703,2,5,5,2
0,32,31,9.2281,4,2.30703,1,1,1,1
0,33,32,18.4562,8,2.30703,6,5.16667,4,5
0,34,33,13.8422,6,2.30703,2,2.5,2,2
1,2,34,9.2281,4,2.30703,1,3,3,1
1,3,35,23.0703,10,2.30703,2,1.5,1,2
1,4,36,16.1492,7,2.30703,2,2,2,2
1,5,37,6.92108,3,2.30703,1,3,3,1
1,6,38,9.2281,4,2.30703,1,1,1,1
1,7,39,4.61405,2,2.30703,2,2,2,2
