switch_id,used_rules,usage
34,234,0.787879
33,237,0.79798
32,492,1.65657
31,189,0.636364
30,272,0.915825
29,245,0.824916
28,540,1.81818
27,243,0.818182
26,242,0.814815
25,346,1.16498
24,291,0.979798
23,269,0.905724
22,352,1.18519
21,242,0.814815
20,137,0.461279
19,178,0.599327
18,208,0.700337
17,462,1.55556
16,250,0.841751
15,279,0.939394
14,359,1.20875
13,203,0.683502
12,169,0.569024
11,281,0.946128
10,111,0.373737
9,343,1.15488
8,327,1.10101
7,212,0.713805
6,416,1.40067
5,134,0.451178
4,238,0.801347
3,402,1.35354
2,314,1.05724
1,332,1.11785
0,174,0.585859
