switch_id,used_rules,usage
34,179,0.602694
33,157,0.52862
32,319,1.07407
31,134,0.451178
30,192,0.646465
29,158,0.531987
28,354,1.19192
27,170,0.572391
26,186,0.626263
25,233,0.784512
24,202,0.680135
23,177,0.59596
22,217,0.73064
21,196,0.659933
20,101,0.340067
19,99,0.333333
18,129,0.434343
17,309,1.0404
16,210,0.707071
15,194,0.653199
14,235,0.791246
13,159,0.535354
12,121,0.407407
11,202,0.680135
10,92,0.309764
9,246,0.828283
8,215,0.723906
7,146,0.491582
6,276,0.929293
5,95,0.319865
4,160,0.538721
3,272,0.915825
2,184,0.619529
1,235,0.791246
0,130,0.43771
