source,destination,link_id,used_rate,usage,link_capa
34,32,159,56,0.0933333,600
34,29,155,29,0.0483333,600
34,26,147,38,0.0633333,600
34,21,135,7,0.0116667,600
34,16,111,71,0.118333,600
33,16,109,91,0.151667,600
33,12,95,5,0.00833333,600
33,10,85,32,0.0533333,600
33,2,25,0,0,600
32,34,158,148,0.246667,600
32,30,157,106,0.176667,600
32,29,153,136,0.226667,600
32,28,149,72,0.12,600
32,24,141,42,0.07,600
32,21,133,64,0.106667,600
32,6,55,12,0.02,600
32,0,5,0,0,600
31,25,143,101,0.168333,600
31,23,139,70,0.116667,600
31,7,63,11,0.0183333,600
30,32,156,24,0.04,600
30,29,151,20,0.0333333,600
30,20,131,30,0.05,600
30,0,3,3,0.005,600
29,34,154,34,0.0566667,600
29,32,152,10,0.0166667,600
29,30,150,36,0.06,600
29,26,145,58,0.0966667,600
29,20,129,14,0.0233333,600
28,32,148,286,0.476667,600
28,22,137,72,0.12,600
28,18,123,43,0.0716667,600
28,11,91,31,0.0516667,600
28,9,81,26,0.0433333,600
28,8,73,51,0.085,600
28,6,53,33,0.055,600
28,4,41,14,0.0233333,600
28,1,17,69,0.115,600
27,17,119,69,0.115,600
27,15,103,60,0.1,600
27,5,45,8,0.0133333,600
27,3,33,32,0.0533333,600
26,34,146,30,0.05,600
26,29,144,84,0.14,600
26,20,127,83,0.138333,600
26,17,117,52,0.0866667,600
26,16,107,31,0.0516667,600
25,31,142,142,0.236667,600
25,17,115,138,0.23,600
25,14,99,49,0.0816667,600
25,5,43,30,0.05,600
25,3,31,0,0,600
24,32,140,68,0.113333,600
24,6,51,46,0.0766667,600
24,4,39,19,0.0316667,600
24,0,1,5,0.00833333,600
23,31,138,124,0.206667,600
23,19,125,77,0.128333,600
23,11,89,32,0.0533333,600
23,9,79,44,0.0733333,600
23,7,61,8,0.0133333,600
22,28,136,124,0.206667,600
22,18,121,24,0.04,600
22,13,97,36,0.06,600
22,11,87,35,0.0583333,600
22,8,71,7,0.0116667,600
21,34,134,104,0.173333,600
21,32,132,79,0.131667,600
21,17,113,80,0.133333,600
21,16,105,128,0.213333,600
21,6,49,68,0.113333,600
21,1,15,37,0.0616667,600
20,30,130,37,0.0616667,600
20,29,128,25,0.0416667,600
20,26,126,37,0.0616667,600
19,23,124,65,0.108333,600
19,8,69,48,0.08,600
18,28,122,52,0.0866667,600
18,22,120,40,0.0666667,600
18,4,37,27,0.045,600
17,27,118,48,0.08,600
17,26,116,197,0.328333,600
17,25,114,160,0.266667,600
17,21,112,131,0.218333,600
17,15,101,48,0.08,600
17,3,29,31,0.0516667,600
17,2,23,66,0.11,600
16,34,110,99,0.165,600
16,33,108,127,0.211667,600
16,26,106,73,0.121667,600
16,21,104,73,0.121667,600
16,12,93,36,0.06,600
15,27,102,60,0.1,600
15,17,100,93,0.155,600
15,10,83,36,0.06,600
15,2,21,21,0.035,600
14,25,98,82,0.136667,600
14,9,77,71,0.118333,600
14,7,59,34,0.0566667,600
14,3,27,64,0.106667,600
14,1,13,55,0.0916667,600
13,22,96,86,0.143333,600
13,8,67,39,0.065,600
12,33,94,6,0.01,600
12,16,92,94,0.156667,600
12,2,19,27,0.045,600
11,28,90,69,0.115,600
11,23,88,84,0.14,600
11,22,86,46,0.0766667,600
11,9,75,30,0.05,600
11,8,65,16,0.0266667,600
10,33,84,89,0.148333,600
10,15,82,47,0.0783333,600
9,28,80,67,0.111667,600
9,23,78,64,0.106667,600
9,14,76,76,0.126667,600
9,11,74,46,0.0766667,600
9,7,57,50,0.0833333,600
9,6,47,91,0.151667,600
9,1,11,39,0.065,600
8,28,72,139,0.231667,600
8,22,70,12,0.02,600
8,19,68,59,0.0983333,600
8,13,66,26,0.0433333,600
8,11,64,27,0.045,600
7,31,62,72,0.12,600
7,23,60,40,0.0666667,600
7,14,58,47,0.0783333,600
7,9,56,59,0.0983333,600
6,32,54,108,0.18,600
6,28,52,51,0.085,600
6,24,50,57,0.095,600
6,21,48,122,0.203333,600
6,9,46,81,0.135,600
6,4,35,52,0.0866667,600
6,1,9,30,0.05,600
5,27,44,84,0.14,600
5,25,42,86,0.143333,600
4,28,40,61,0.101667,600
4,24,38,74,0.123333,600
4,18,36,53,0.0883333,600
4,6,34,66,0.11,600
3,27,32,123,0.205,600
3,25,30,34,0.0566667,600
3,17,28,86,0.143333,600
3,14,26,31,0.0516667,600
3,1,7,94,0.156667,600
2,33,24,70,0.116667,600
2,17,22,144,0.24,600
2,15,20,35,0.0583333,600
2,12,18,33,0.055,600
1,28,16,107,0.178333,600
1,21,14,130,0.216667,600
1,14,12,42,0.07,600
1,9,10,47,0.0783333,600
1,6,8,59,0.0983333,600
1,3,6,107,0.178333,600
0,32,4,125,0.208333,600
0,30,2,27,0.045,600
0,24,0,45,0.075,600
