source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
16,6,0,7.90625,642,0.012315,4,2,2
2,21,1,3.82997,311,0.012315,89,6,6
28,14,2,43.3982,3524,0.012315,4,2,2
10,28,3,3.91618,318,0.012315,108,7.83333,5
37,0,4,4.0147,326,0.012315,16,4,4
0,2,5,11.9825,973,0.012315,8,3,3
38,24,6,5.48019,445,0.012315,32,5,5
18,11,7,18.827,2023,0.0093065,77,6.24675,6
19,13,8,5.38167,437,0.012315,29,4.44828,4
32,6,9,2.20439,179,0.012315,16,4,4
1,18,10,70.1494,10114,0.00693587,115,9.89565,9
26,30,11,10.7756,875,0.012315,8,3,3
8,17,12,2.54921,207,0.012315,31,5,5
19,38,13,3.38663,275,0.012315,112,9.52679,9
15,9,14,12.6106,1024,0.012315,4,2,2
13,15,15,14.6918,1193,0.012315,2,1,1
4,36,16,2.40143,195,0.012315,2,1,1
16,9,17,4.1009,333,0.012315,53,4.69811,3
7,6,18,86.5254,7026,0.012315,2,1,1
6,28,19,8.62052,700,0.012315,95,5.94737,5
9,7,20,10.6402,864,0.012315,16,4,4
5,28,21,0.788162,64,0.012315,83,6.49398,6
19,15,22,6.65012,540,0.012315,19,4.31579,4
5,23,23,1.82262,148,0.012315,8,3,3
9,26,24,12.7979,1076,0.011894,116,8.78448,5
6,31,25,10.5293,855,0.012315,2,1,1
28,35,26,1.81031,147,0.012315,106,8.66038,8
9,34,27,6.05899,492,0.012315,16,4,4
8,23,28,5.18463,421,0.012315,18,4,4
11,29,29,3.30043,268,0.012315,16,4,4
22,24,30,11.5183,1351,0.00852579,103,7.5534,6
0,7,31,3.95312,321,0.012315,32,5,5
37,19,32,3.14507,360,0.0087363,114,8.83333,8
4,17,33,1.34234,109,0.012315,54,6,6
20,25,34,21.9577,1783,0.012315,2,1,1
1,8,35,10.6894,868,0.012315,80,5.275,5
6,24,36,18.1031,1470,0.012315,10,3,3
15,23,37,17.5243,1423,0.012315,16,3,3
29,34,38,2.91866,237,0.012315,96,7.55208,7
5,35,39,0.775847,63,0.012315,17,4,4
1,29,40,14.2239,1155,0.012315,99,7.40404,7
22,14,41,32.8442,2667,0.012315,16,3,3
33,23,42,1.81031,147,0.012315,58,6,6
11,38,43,5.93584,482,0.012315,17,4,4
9,13,44,7.25355,589,0.012315,12,2.66667,2
38,11,45,5.93584,482,0.012315,16,4,4
10,38,46,2.98024,242,0.012315,33,5,5
23,17,47,15.6031,1267,0.012315,17,4,4
9,38,48,4.54425,369,0.012315,77,6.06494,6
31,20,49,2.22902,181,0.012315,31,3.3871,2
2,1,50,239.712,19465,0.012315,2,1,1
24,34,51,5.94816,483,0.012315,85,7,7
3,11,52,4.11322,334,0.012315,11,2.63636,2
8,12,53,12.0195,976,0.012315,16,3,3
5,27,54,1.11477,119,0.00936784,77,6.87013,6
13,6,55,8.68209,705,0.012315,17,3.05882,3
0,9,56,3.30043,268,0.012315,8,3,3
30,13,57,3.57136,290,0.012315,8,3,3
7,25,58,22.6473,1839,0.012315,48,4.66667,4
5,4,59,0.665012,54,0.012315,8,3,3
3,2,60,17.4627,1418,0.012315,4,2,2
28,9,61,6.97031,566,0.012315,103,8.34951,4
28,20,62,6.18214,502,0.012315,4,2,2
28,2,63,6.26835,509,0.012315,112,9.72321,9
1,26,64,34.8146,2827,0.012315,113,9.42478,9
7,11,65,9.86434,801,0.012315,4,2,2
6,0,66,4.72897,384,0.012315,16,4,4
21,18,67,9.26932,1376,0.00673643,92,6.38043,5
12,1,68,70.8484,5753,0.012315,68,6.23529,6
28,33,69,0.985202,80,0.012315,103,7.94175,6
27,12,70,61.2083,5335,0.011473,26,5.11538,2
8,32,71,0.541861,44,0.012315,8,3,3
27,22,72,39.913,3241,0.012315,4,2,2
18,37,73,21.9249,2289,0.00957836,110,8.13636,8
18,29,74,50.2084,4077,0.012315,5,2.4,2
36,22,75,2.76359,286,0.00966291,108,9.48148,9
38,1,76,369.87,30034,0.012315,2,1,1
6,34,77,8.87914,721,0.012315,16,4,4
7,9,78,10.6402,864,0.012315,17,4,4
8,19,79,1.58317,169,0.00936784,96,6.75,6
29,30,80,4.37183,355,0.012315,16,4,4
27,21,81,3.02129,312,0.00968361,57,5.7193,5
27,28,82,34.1742,2775,0.012315,16,3,3
16,29,83,7.83236,636,0.012315,4,2,2
27,14,84,87.1288,7075,0.012315,7,2.42857,1
8,21,85,1.74873,142,0.012315,14,3,3
37,36,86,7.0442,572,0.012315,4,2,2
35,32,87,0.788162,64,0.012315,24,3.66667,3
