switch_id,used_rules,usage
38,3435,4.63563
37,7491,10.1093
36,4463,6.02294
35,5702,7.69501
34,3742,5.04993
33,9611,12.9703
32,8854,11.9487
31,12874,17.3738
30,5580,7.53036
29,7115,9.60189
28,3655,4.93252
27,8738,11.7922
26,3421,4.61673
25,8854,11.9487
24,5110,6.89609
23,7724,10.4238
22,3537,4.77328
21,12014,16.2132
20,10715,14.4602
19,5648,7.62213
18,4248,5.73279
17,6652,8.97706
16,8569,11.5641
15,10859,14.6545
14,10542,14.2267
13,9292,12.5398
12,11532,15.5628
11,11944,16.1188
10,11075,14.946
9,10944,14.7692
8,6209,8.37922
7,9126,12.3158
6,16812,22.6883
5,8243,11.1242
4,14226,19.1984
3,5023,6.77868
2,3747,5.05668
1,3009,4.06073
0,4618,6.23212
