source,destination,link_id,used_rate_c,usage,capacity_c
38,37,242,166.879,0.29902,558.086
38,1,240,238.403,0.357495,666.871
38,37,239,166.425,0.298207,558.086
38,1,9,239.336,0.358894,666.871
37,38,243,166.146,0.297707,558.086
37,38,238,165.696,0.2969,558.086
37,5,236,275.413,0.499944,550.888
37,3,234,151.364,0.256328,590.51
37,5,39,275.399,0.499918,550.888
37,3,23,151.383,0.256359,590.51
36,4,232,121.486,0.228808,530.951
36,3,230,65.3092,0.110598,590.51
36,2,228,175.119,0.276726,632.825
36,4,33,121.427,0.228696,530.951
36,3,21,66.6251,0.112826,590.51
36,2,15,173.707,0.274495,632.825
35,34,226,134.4,0.211223,636.293
35,4,224,140.417,0.264464,530.951
35,2,222,160.042,0.252901,632.825
35,34,221,134.263,0.211008,636.293
35,4,31,140.717,0.265028,530.951
35,2,13,160.144,0.253062,632.825
34,35,227,133.957,0.210528,636.293
34,35,220,133.436,0.209708,636.293
34,0,218,107.6,0.17807,604.259
34,0,3,107.466,0.177848,604.259
33,32,216,225.497,0.410046,549.931
33,4,214,154.51,0.291007,530.951
33,0,212,102.12,0.169,604.259
33,32,211,225.367,0.409809,549.931
33,4,29,154.691,0.291348,530.951
33,0,1,103.852,0.171867,604.259
32,33,217,215.747,0.392317,549.931
32,33,210,210.275,0.382366,549.931
32,9,208,239.049,0.44248,540.248
32,9,65,238.428,0.441331,540.248
31,21,206,140.352,0.25989,540.045
31,16,204,174.975,0.318613,549.175
31,15,202,226.106,0.418647,540.087
31,6,200,261.771,0.496538,527.192
31,21,153,139.609,0.258513,540.045
31,16,117,174.981,0.318625,549.175
31,15,109,225.787,0.418057,540.087
31,6,49,261.774,0.496544,527.192
30,24,198,144.344,0.241662,597.296
30,23,196,72.549,0.127652,568.335
30,20,194,105.607,0.193675,545.28
30,24,169,144.701,0.24226,597.296
30,23,165,72.3074,0.127227,568.335
30,20,145,93.3126,0.171128,545.28
29,17,192,436.717,0.770927,566.484
29,13,190,452.293,0.827262,546.735
29,17,125,433.51,0.765265,566.484
29,13,95,452.041,0.8268,546.735
28,25,188,412.058,0.743857,553.948
28,17,186,431.6,0.761893,566.484
28,25,175,419.449,0.757199,553.948
28,17,123,444.294,0.784301,566.484
27,19,184,237.038,0.405608,584.401
27,18,182,266.01,0.422153,630.128
27,14,180,540.915,1,540.915
27,19,137,235.292,0.40262,584.401
27,18,133,253.979,0.403059,630.128
27,14,101,540.915,1,540.915
26,25,178,384.01,0.693224,553.948
26,18,176,630.128,1,630.128
26,25,173,392.695,0.708902,553.948
26,18,131,630.128,1,630.128
25,28,189,425.054,0.767317,553.948
25,26,179,370.987,0.669714,553.948
25,28,174,418.033,0.754643,553.948
25,26,172,371.846,0.671264,553.948
25,20,170,444.115,0.814471,545.28
25,20,143,443.276,0.812933,545.28
24,30,199,132.369,0.221615,597.296
24,30,168,136.938,0.229262,597.296
24,21,166,140.973,0.26104,540.045
24,21,151,141.439,0.261903,540.045
23,30,197,74.3073,0.130746,568.335
23,30,164,74.2415,0.13063,568.335
23,21,162,177.194,0.32811,540.045
23,20,160,145.062,0.266032,545.28
23,16,158,146.337,0.266467,549.175
23,21,149,177.333,0.328366,540.045
23,20,141,146.097,0.26793,545.28
23,16,115,146.076,0.265991,549.175
22,19,156,179.874,0.307792,584.401
22,18,154,280.978,0.445906,630.128
22,19,135,179.581,0.30729,584.401
22,18,129,294.077,0.466695,630.128
21,31,207,141.838,0.262641,540.045
21,24,167,137.114,0.253894,540.045
21,23,163,177.817,0.329263,540.045
21,31,152,141.275,0.261599,540.045
21,24,150,138.198,0.255901,540.045
21,23,148,178.766,0.33102,540.045
21,7,146,261.9,0.47523,551.101
21,7,55,261.474,0.474458,551.101
20,30,195,109.004,0.199905,545.28
20,25,171,436.616,0.800719,545.28
20,23,161,144.755,0.265468,545.28
20,30,144,108.681,0.199312,545.28
20,25,142,436.148,0.79986,545.28
20,23,140,144.83,0.265606,545.28
20,16,138,197.413,0.359472,549.175
20,16,113,197.65,0.359904,549.175
19,27,185,221.013,0.378188,584.401
19,22,157,181.778,0.31105,584.401
19,27,136,220.532,0.377365,584.401
19,22,134,180.069,0.308126,584.401
18,27,183,249.783,0.396401,630.128
18,26,177,630.128,1,630.128
18,22,155,321.481,0.510185,630.128
18,27,132,253.023,0.401542,630.128
18,26,130,630.128,1,630.128
18,22,128,307.349,0.487757,630.128
18,17,126,566.484,1,566.484
18,17,121,566.484,1,566.484
17,29,193,438.532,0.774131,566.484
17,28,187,426.935,0.753659,566.484
17,18,127,566.484,1,566.484
17,29,124,439.143,0.775209,566.484
17,28,122,437.378,0.772093,566.484
17,18,120,566.484,1,566.484
17,14,118,270.014,0.49918,540.915
17,14,99,268.514,0.496407,540.915
16,31,205,173.964,0.316774,549.175
16,23,159,148.102,0.269681,549.175
16,20,139,197.9,0.360359,549.175
16,31,116,174.107,0.317034,549.175
16,23,114,147.522,0.268625,549.175
16,20,112,198.927,0.36223,549.175
16,13,110,271.068,0.495793,546.735
16,13,93,271.043,0.495748,546.735
15,31,203,226.698,0.419744,540.087
15,31,108,226.307,0.41902,540.087
15,13,106,234.988,0.429803,546.735
15,12,104,227.392,0.42354,536.884
15,10,102,273.963,0.506692,540.69
15,13,91,235.544,0.430819,546.735
15,12,87,225.262,0.419573,536.884
15,10,73,275.75,0.509997,540.69
14,27,181,540.915,1,540.915
14,17,119,271.661,0.502225,540.915
14,27,100,540.915,1,540.915
14,17,98,273.512,0.505648,540.915
14,12,96,488.555,0.909982,536.884
14,12,85,491.071,0.91467,536.884
13,29,191,449.789,0.822682,546.735
13,16,111,273.107,0.499524,546.735
13,15,107,243.99,0.446268,546.735
13,29,94,450.883,0.824682,546.735
13,16,92,272.095,0.497672,546.735
13,15,90,243.706,0.445748,546.735
13,12,88,208.487,0.388328,536.884
13,12,83,206.848,0.385276,536.884
12,15,105,229.646,0.427739,536.884
12,14,97,497.906,0.927399,536.884
12,13,89,212.428,0.395668,536.884
12,15,86,228.959,0.426459,536.884
12,14,84,488.366,0.90963,536.884
12,13,82,212.947,0.396634,536.884
12,9,80,290.835,0.538337,540.248
12,9,63,294.108,0.544395,540.248
11,10,78,171.022,0.316303,540.69
11,6,76,146.68,0.278229,527.192
11,4,74,276.769,0.521271,530.951
11,10,71,170.82,0.31593,540.69
11,6,47,146.882,0.278612,527.192
11,4,27,276.959,0.521627,530.951
10,15,103,264.015,0.488293,540.69
10,11,79,177.211,0.32775,540.69
10,15,72,263.695,0.487701,540.69
10,11,70,177.908,0.329039,540.69
10,9,68,114.508,0.211954,540.248
10,8,66,149.554,0.261599,571.693
10,9,61,115.108,0.213065,540.248
10,8,59,149.572,0.261629,571.693
9,32,209,228.152,0.42231,540.248
9,12,81,303.166,0.561161,540.248
9,10,69,116.391,0.21544,540.248
9,32,64,224.484,0.415519,540.248
9,12,62,302.878,0.560627,540.248
9,10,60,116.596,0.215819,540.248
8,10,67,153.229,0.268027,571.693
8,10,58,153.14,0.267871,571.693
8,6,56,156.438,0.296738,527.192
8,6,45,156.525,0.296903,527.192
7,21,147,262.163,0.475707,551.101
7,21,54,262.219,0.475809,551.101
7,6,52,143.303,0.271823,527.192
7,5,50,156.641,0.284342,550.888
7,6,43,142.817,0.270901,527.192
7,5,37,156.689,0.28443,550.888
6,31,201,261.088,0.495243,527.192
6,11,77,142.52,0.270338,527.192
6,8,57,159.846,0.303202,527.192
6,7,53,144.536,0.274161,527.192
6,31,48,260.076,0.493323,527.192
6,11,46,142.562,0.270417,527.192
6,8,44,160.361,0.304179,527.192
6,7,42,145.11,0.27525,527.192
6,5,40,129.16,0.234458,550.888
6,5,35,129.496,0.235067,550.888
5,37,237,276.87,0.502588,550.888
5,7,51,155.209,0.281744,550.888
5,6,41,129.634,0.235318,550.888
5,37,38,276.553,0.502014,550.888
5,7,36,155.602,0.282457,550.888
5,6,34,128.929,0.234039,550.888
4,36,233,123.319,0.23226,530.951
4,35,225,141.106,0.265761,530.951
4,33,215,156.305,0.294387,530.951
4,11,75,274.874,0.517701,530.951
4,36,32,122.168,0.230093,530.951
4,35,30,141.036,0.265629,530.951
4,33,28,156.781,0.295284,530.951
4,11,26,274.057,0.516163,530.951
4,3,24,149.897,0.253843,590.51
4,3,19,150.161,0.25429,590.51
3,37,235,149.237,0.252726,590.51
3,36,231,65.757,0.111356,590.51
3,4,25,150.642,0.255105,590.51
3,37,22,149.437,0.253065,590.51
3,36,20,65.6779,0.111222,590.51
3,4,18,150.51,0.254882,590.51
3,1,16,238.291,0.357327,666.871
3,1,7,238.673,0.357899,666.871
2,36,229,173.183,0.273666,632.825
2,35,223,160.058,0.252927,632.825
2,36,14,173.569,0.274276,632.825
2,35,12,160.389,0.25345,632.825
2,1,10,214.889,0.322235,666.871
2,1,5,210.97,0.316358,666.871
1,38,241,236.612,0.354809,666.871
1,3,17,236.333,0.354391,666.871
1,2,11,210.535,0.315705,666.871
1,38,8,246.418,0.369513,666.871
1,3,6,237.153,0.355621,666.871
1,2,4,213.512,0.32017,666.871
0,34,219,96.539,0.159764,604.259
0,33,213,113.104,0.187178,604.259
0,34,2,97.746,0.161762,604.259
0,33,0,113.763,0.188268,604.259
