source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
16,6,0,4.98814,642,0.00776969,4,2,2,4
2,21,1,2.41637,311,0.00776969,14,6,6,2
28,14,2,27.3804,3524,0.00776969,4,2,2,4
10,28,3,2.47076,318,0.00776969,15,6.06667,5,0
37,0,4,2.53292,326,0.00776969,8,4,4,4
0,2,5,7.5599,973,0.00776969,7,3,3,5
38,24,6,3.45751,445,0.00776969,12,5,5,3
18,11,7,15.7181,2023,0.00776969,14,6,6,1
19,13,8,3.39535,437,0.00776969,13,4.46154,4,2
32,6,9,1.39077,179,0.00776969,10,4,4,5
1,18,10,78.5826,10114,0.00776969,15,9.33333,9,0
26,30,11,6.79847,875,0.00776969,7,3,3,6
8,17,12,1.60832,207,0.00776969,12,5,5,2
19,38,13,2.13666,275,0.00776969,15,9.13333,9,0
15,9,14,7.95616,1024,0.00776969,4,2,2,4
13,15,15,9.26923,1193,0.00776969,2,1,1,2
4,36,16,1.51509,195,0.00776969,2,1,1,2
16,9,17,2.58731,333,0.00776969,13,4.23077,3,2
7,6,18,54.5898,7026,0.00776969,2,1,1,2
6,28,19,5.43878,700,0.00776969,11,5.09091,5,3
9,7,20,6.71301,864,0.00776969,9,4,4,4
5,28,21,0.49726,64,0.00776969,12,6,6,3
19,15,22,4.19563,540,0.00776969,11,4,4,3
5,23,23,1.14991,148,0.00776969,7,3,3,6
9,26,24,8.36018,1076,0.00776969,15,7.13333,5,0
6,31,25,6.64308,855,0.00776969,2,1,1,2
28,35,26,1.14214,147,0.00776969,15,8.13333,8,0
9,34,27,3.82269,492,0.00776969,9,4,4,5
8,23,28,3.27104,421,0.00776969,9,4,4,5
11,29,29,2.08228,268,0.00776969,9,4,4,5
22,24,30,10.4968,1351,0.00776969,14,7.28571,6,1
0,7,31,2.49407,321,0.00776969,12,5,5,4
37,19,32,2.79709,360,0.00776969,13,8.23077,8,2
4,17,33,0.846896,109,0.00776969,12,6,6,3
20,25,34,13.8533,1783,0.00776969,2,1,1,2
