source,destination,link_id,used_rate,usage,link_capa
38,37,242,124.274,0.123288,1008
38,1,240,188.631,0.187133,1008
38,37,239,124.694,0.123704,1008
38,1,9,183.735,0.182277,1008
37,38,243,122.647,0.121674,1008
37,38,238,123.132,0.122155,1008
37,5,236,211.359,0.209682,1008
37,3,234,106.908,0.106059,1008
37,5,39,211.324,0.209647,1008
37,3,23,106.593,0.105747,1008
36,4,232,84.4825,0.083812,1008
36,3,230,42.917,0.0425764,1008
36,2,228,126.682,0.125676,1008
36,4,33,85.184,0.084508,1008
36,3,21,40.5486,0.0402268,1008
36,2,15,127.325,0.126315,1008
35,34,226,90.8409,0.09012,1008
35,4,224,105.167,0.104332,1008
35,2,222,112.832,0.111936,1008
35,34,221,91.259,0.0905347,1008
35,4,31,104.576,0.103746,1008
35,2,13,112.907,0.112011,1008
34,35,227,90.8392,0.0901183,1008
34,35,220,90.0565,0.0893418,1008
34,0,218,70.3243,0.0697662,1008
34,0,3,70.4646,0.0699054,1008
33,32,216,163.201,0.161906,1008
33,4,214,118.18,0.117242,1008
33,0,212,73.276,0.0726944,1008
33,32,211,162.815,0.161523,1008
33,4,29,118.031,0.117094,1008
33,0,1,74.3943,0.0738039,1008
32,33,217,160.257,0.158985,1008
32,33,210,159.155,0.157891,1008
32,9,208,172.907,0.171535,1008
32,9,65,173.125,0.171751,1008
31,21,206,97.8308,0.0970543,1008
31,16,204,133.605,0.132545,1008
31,15,202,168.867,0.167527,1008
31,6,200,194.761,0.193215,1008
31,21,153,99.2715,0.0984836,1008
31,16,117,133.778,0.132716,1008
31,15,109,169.03,0.167688,1008
31,6,49,194.932,0.193385,1008
30,24,198,98.0632,0.097285,1008
30,23,196,37.4358,0.0371386,1008
30,20,194,71.6856,0.0711167,1008
30,24,169,96.608,0.0958413,1008
30,23,165,37.4184,0.0371214,1008
30,20,145,68.7838,0.0682379,1008
29,17,192,319.988,0.317449,1008
29,13,190,330.048,0.327428,1008
29,17,125,320.25,0.317709,1008
29,13,95,330.062,0.327443,1008
28,25,188,281.334,0.279101,1008
28,17,186,310.66,0.308194,1008
28,25,175,281.445,0.279211,1008
28,17,123,331.022,0.328395,1008
27,19,184,171.658,0.170296,1008
27,18,182,206.005,0.20437,1008
27,14,180,403.791,0.400586,1008
27,19,137,171.318,0.169958,1008
27,18,133,206.134,0.204498,1008
27,14,101,404.585,0.401374,1008
26,25,178,323.735,0.321165,1008
26,18,176,498.315,0.49436,1008
26,25,173,312.555,0.310074,1008
26,18,131,551.451,0.547074,1008
25,28,189,294.571,0.292233,1008
25,26,179,305.991,0.303562,1008
25,28,174,305.853,0.303425,1008
25,26,172,302.517,0.300116,1008
25,20,170,329.398,0.326784,1008
25,20,143,330.069,0.32745,1008
24,30,199,97.7815,0.0970054,1008
24,30,168,98.4749,0.0976933,1008
24,21,166,94.7887,0.0940364,1008
24,21,151,94.072,0.0933254,1008
23,30,197,39.2354,0.038924,1008
23,30,164,39.6789,0.039364,1008
23,21,162,130.806,0.129768,1008
23,20,160,108.965,0.108101,1008
23,16,158,100,0.0992066,1008
23,21,149,130.779,0.129741,1008
23,20,141,109.176,0.10831,1008
23,16,115,100.933,0.100132,1008
22,19,156,130.242,0.129208,1008
22,18,154,252.042,0.250041,1008
22,19,135,130.308,0.129274,1008
22,18,129,242.214,0.240291,1008
21,31,207,96.9738,0.0962042,1008
21,24,167,95.2409,0.094485,1008
21,23,163,131.439,0.130396,1008
21,31,152,96.9454,0.096176,1008
21,24,150,95.2049,0.0944493,1008
21,23,148,131.146,0.130105,1008
21,7,146,195.779,0.194225,1008
21,7,55,194.906,0.193359,1008
20,30,195,67.2178,0.0666844,1008
20,25,171,334.967,0.332308,1008
20,23,161,108.089,0.107231,1008
20,30,144,67.6063,0.0670697,1008
20,25,142,334.363,0.331709,1008
20,23,140,108.239,0.10738,1008
20,16,138,158.658,0.157399,1008
20,16,113,158.293,0.157037,1008
19,27,185,168.704,0.167365,1008
19,22,157,132.367,0.131316,1008
19,27,136,168.667,0.167328,1008
19,22,134,133.789,0.132727,1008
18,27,183,215.82,0.214107,1008
18,26,177,544.623,0.540301,1008
18,22,155,252.697,0.250691,1008
18,27,132,209.254,0.207594,1008
18,26,130,532.925,0.528696,1008
18,22,128,235.953,0.234081,1008
18,17,126,413.268,0.409988,1008
18,17,121,419.137,0.415811,1008
17,29,193,322.725,0.320164,1008
17,28,187,307.977,0.305533,1008
17,18,127,430.077,0.426663,1008
17,29,124,323.088,0.320523,1008
17,28,122,296.06,0.29371,1008
17,18,120,437.44,0.433969,1008
17,14,118,198.311,0.196737,1008
17,14,99,192.136,0.190612,1008
16,31,205,132.912,0.131857,1008
16,23,159,103.194,0.102375,1008
16,20,139,159.478,0.158212,1008
16,31,116,132.5,0.131449,1008
16,23,114,102.613,0.101798,1008
16,20,112,159.875,0.158606,1008
16,13,110,204.676,0.203052,1008
16,13,93,205.209,0.203581,1008
15,31,203,170.344,0.168992,1008
15,31,108,171.669,0.170307,1008
15,13,106,178.966,0.177545,1008
15,12,104,164.195,0.162891,1008
15,10,102,203.911,0.202292,1008
15,13,91,179.12,0.177698,1008
15,12,87,164.508,0.163203,1008
15,10,73,203.333,0.201719,1008
14,27,181,400.893,0.397712,1008
14,17,119,196.794,0.195232,1008
14,27,100,400.153,0.396977,1008
14,17,98,196.695,0.195134,1008
14,12,96,389.6,0.386508,1008
14,12,85,391.468,0.388361,1008
13,29,191,327.67,0.325069,1008
13,16,111,207.694,0.206045,1008
13,15,107,184.21,0.182748,1008
13,29,94,326.866,0.324272,1008
13,16,92,207.498,0.205851,1008
13,15,90,183.198,0.181744,1008
13,12,88,161.37,0.16009,1008
13,12,83,163.314,0.162018,1008
12,15,105,164.047,0.162745,1008
12,14,97,389.702,0.386609,1008
12,13,89,166.345,0.165025,1008
12,15,86,162.63,0.16134,1008
12,14,84,387.079,0.384007,1008
12,13,82,167.394,0.166066,1008
12,9,80,231.236,0.2294,1008
12,9,63,231.141,0.229306,1008
11,10,78,135.057,0.133985,1008
11,6,76,104.452,0.103623,1008
11,4,74,212.145,0.210461,1008
11,10,71,135.051,0.133979,1008
11,6,47,105.011,0.104178,1008
