source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
16,6,0,5.02574,642,0.00782825,4,2,2,4
2,21,1,2.43459,311,0.00782825,65,6,6,64
28,14,2,27.5868,3524,0.00782825,4,2,2,4
10,28,3,2.48938,318,0.00782825,317,7.41009,5,154
37,0,4,2.55201,326,0.00782825,16,4,4,16
0,2,5,7.61689,973,0.00782825,8,3,3,8
38,24,6,3.48357,445,0.00782825,32,5,5,32
18,11,7,15.8365,2023,0.00782825,234,6.50855,6,109
19,13,8,3.42095,437,0.00782825,146,5.43151,4,87
32,6,9,1.40126,179,0.00782825,17,4,4,16
1,18,10,79.1749,10114,0.00782825,688,10.0538,9,30
26,30,11,6.84972,875,0.00782825,8,3,3,8
8,17,12,1.62045,207,0.00782825,33,5,5,32
19,38,13,2.15277,275,0.00782825,658,10.1976,9,56
15,9,14,8.01613,1024,0.00782825,5,2,2,4
13,15,15,9.3391,1193,0.00782825,2,1,1,2
4,36,16,1.52651,195,0.00782825,2,1,1,2
16,9,17,2.60681,333,0.00782825,52,4.46154,3,47
7,6,18,55.0013,7026,0.00782825,6,1.66667,1,6
6,28,19,5.47977,700,0.00782825,164,6.14024,5,98
9,7,20,6.76361,864,0.00782825,19,4,4,16
5,28,21,0.501008,64,0.00782825,190,6.66316,6,164
19,15,22,4.22725,540,0.00782825,209,6.77512,4,60
5,23,23,1.15858,148,0.00782825,8,3,3,8
9,26,24,8.4232,1076,0.00782825,521,8.49136,5,134
6,31,25,6.69315,855,0.00782825,2,1,1,2
28,35,26,1.15075,147,0.00782825,426,8.87324,8,167
9,34,27,3.8515,492,0.00782825,16,4,4,16
8,23,28,3.29569,421,0.00782825,27,4,4,21
11,29,29,2.09797,268,0.00782825,16,4,4,16
22,24,30,10.576,1351,0.00782825,419,7.84964,6,178
0,7,31,2.51287,321,0.00782825,42,5.2381,5,35
37,19,32,2.81817,360,0.00782825,642,9.47664,8,66
4,17,33,0.853279,109,0.00782825,65,6,6,64
20,25,34,13.9578,1783,0.00782825,2,1,1,2
1,8,35,6.79492,868,0.00782825,167,5.45509,5,109
6,24,36,11.5075,1470,0.00782825,16,3,3,16
15,23,37,11.1396,1423,0.00782825,16,3,3,16
29,34,38,1.8553,237,0.00782825,316,7.7057,7,208
5,35,39,0.49318,63,0.00782825,48,4.66667,4,48
1,29,40,9.04163,1155,0.00782825,296,7.67905,7,148
22,14,41,20.8779,2667,0.00782825,37,4.13514,3,27
33,23,42,1.15075,147,0.00782825,220,6.4,6,146
11,38,43,3.77322,482,0.00782825,32,4,4,27
9,13,44,4.61084,589,0.00782825,12,2.66667,2,12
38,11,45,3.77322,482,0.00782825,32,4,4,32
10,38,46,1.89444,242,0.00782825,33,5,5,32
23,17,47,9.91839,1267,0.00782825,34,4.44118,4,19
9,38,48,2.88862,369,0.00782825,127,6,6,123
31,20,49,1.41691,181,0.00782825,5,2.2,2,4
2,1,50,152.377,19465,0.00782825,2,1,1,2
24,34,51,3.78104,483,0.00782825,200,7.105,7,136
3,11,52,2.61464,334,0.00782825,4,2,2,4
8,12,53,7.64037,976,0.00782825,16,3,3,16
5,27,54,0.931562,119,0.00782825,446,8.01794,6,95
13,6,55,5.51892,705,0.00782825,32,3.5,3,28
0,9,56,2.09797,268,0.00782825,8,3,3,8
30,13,57,2.27019,290,0.00782825,8,3,3,8
7,25,58,14.3962,1839,0.00782825,74,4.78378,4,63
5,4,59,0.422725,54,0.00782825,8,3,3,8
3,2,60,11.1005,1418,0.00782825,4,2,2,4
28,9,61,4.43079,566,0.00782825,404,8.2599,4,185
28,20,62,3.92978,502,0.00782825,4,2,2,4
28,2,63,3.98458,509,0.00782825,563,9.85968,9,132
1,26,64,22.1305,2827,0.00782825,648,9.6466,9,64
7,11,65,6.27043,801,0.00782825,4,2,2,4
6,0,66,3.00605,384,0.00782825,18,4.22222,4,16
21,18,67,10.7717,1376,0.00782825,296,6.4223,5,152
12,1,68,45.0359,5753,0.00782825,319,6.79937,6,188
28,33,69,0.62626,80,0.00782825,520,9.12308,6,132
27,12,70,41.7637,5335,0.00782825,310,8.02581,2,55
8,32,71,0.344443,44,0.00782825,8,3,3,8
27,22,72,25.3714,3241,0.00782825,4,2,2,4
18,37,73,17.9189,2289,0.00782825,562,8.34698,8,120
18,29,74,31.9158,4077,0.00782825,45,4.93333,2,29
36,22,75,2.23888,286,0.00782825,632,9.75949,9,80
38,1,76,235.114,30034,0.00782825,2,1,1,2
6,34,77,5.64417,721,0.00782825,19,4.31579,4,16
7,9,78,6.76361,864,0.00782825,16,4,4,16
8,19,79,1.32297,169,0.00782825,401,7.62344,6,138
29,30,80,2.77903,355,0.00782825,16,4,4,16
27,21,81,2.44241,312,0.00782825,255,6.90196,5,75
27,28,82,21.7234,2775,0.00782825,49,4.36735,3,31
16,29,83,4.97877,636,0.00782825,4,2,2,4
27,14,84,55.3849,7075,0.00782825,36,4.33333,1,24
8,21,85,1.11161,142,0.00782825,16,3,3,16
37,36,86,4.47776,572,0.00782825,4,2,2,4
35,32,87,0.501008,64,0.00782825,24,3.66667,3,23
22,15,88,6.52093,833,0.00782825,232,6.53017,5,130
20,34,89,1.15075,147,0.00782825,292,8.21233,7,128
30,18,90,23.3673,2985,0.00782825,286,7.22727,4,121
17,10,91,3.24872,415,0.00782825,45,4,4,38
21,26,92,3.13913,401,0.00782825,48,4.66667,4,48
16,33,93,0.360099,46,0.00782825,63,5,5,55
35,26,94,2.61464,334,0.00782825,251,8.15139,8,180
0,3,95,1.3308,170,0.00782825,8,3,3,8
23,35,96,2.22322,284,0.00782825,168,6.30952,6,112
24,0,97,2.05883,263,0.00782825,221,7.36199,7,143
20,28,98,3.92978,502,0.00782825,4,2,2,4
31,6,99,6.69315,855,0.00782825,2,1,1,2
16,12,100,13.128,1677,0.00782825,12,2.66667,2,12
