source,destination,link_id,used_rate,usage,link_capa
38,37,242,169.09,0.167748,1008
38,1,240,235.114,0.233248,1008
38,37,239,168.01,0.166676,1008
38,1,9,212.412,0.210726,1008
37,38,243,139.797,0.138687,1008
37,38,238,152.111,0.150903,1008
37,5,236,245.69,0.24374,1008
37,3,234,113.698,0.112795,1008
37,5,39,245.995,0.244043,1008
37,3,23,113.369,0.112469,1008
36,4,232,63.855,0.0633482,1008
36,3,230,34.2251,0.0339535,1008
36,2,228,132.274,0.131224,1008
36,4,33,72.6931,0.0721162,1008
36,3,21,37.4817,0.0371842,1008
36,2,15,137.12,0.136031,1008
35,34,226,85.3279,0.0846507,1008
35,4,224,97.0077,0.0962378,1008
35,2,222,96.2327,0.0954689,1008
35,34,221,82.0401,0.0813889,1008
35,4,31,107.897,0.10704,1008
35,2,13,100.1,0.0993054,1008
34,35,227,78.4704,0.0778476,1008
34,35,220,82.361,0.0817074,1008
34,0,218,60.3323,0.0598535,1008
34,0,3,60.348,0.059869,1008
33,32,216,169.685,0.168338,1008
33,4,214,125.182,0.124188,1008
33,0,212,68.7712,0.0682254,1008
33,32,211,162.507,0.161217,1008
33,4,29,124.947,0.123955,1008
33,0,1,52.6372,0.0522194,1008
32,33,217,154.655,0.153427,1008
32,33,210,168.66,0.167321,1008
32,9,208,181.341,0.179902,1008
32,9,65,171.971,0.170606,1008
31,21,206,102.229,0.101418,1008
31,16,204,162.554,0.161264,1008
31,15,202,192.551,0.191023,1008
31,6,200,232.162,0.23032,1008
31,21,153,80.1456,0.0795095,1008
31,16,117,162.468,0.161178,1008
31,15,109,185.24,0.18377,1008
31,6,49,224.123,0.222344,1008
30,24,198,94.2834,0.0935352,1008
30,23,196,40.5425,0.0402207,1008
30,20,194,72.9906,0.0724113,1008
30,24,169,111.318,0.110434,1008
30,23,165,38.7264,0.038419,1008
30,20,145,109.431,0.108563,1008
29,17,192,262.497,0.260414,1008
29,13,190,295.141,0.292798,1008
29,17,125,251.788,0.24979,1008
29,13,95,284.635,0.282376,1008
28,25,188,112.132,0.111242,1008
28,17,186,195.542,0.19399,1008
28,25,175,150.075,0.148884,1008
28,17,123,206.157,0.204521,1008
27,19,184,133.417,0.132358,1008
27,18,182,260.837,0.258767,1008
27,14,180,346.251,0.343503,1008
27,19,137,157.888,0.156635,1008
27,18,133,237.924,0.236036,1008
27,14,101,342.877,0.340156,1008
26,25,178,521.127,0.516991,1008
26,18,176,761.736,0.75569,1008
26,25,173,539.194,0.534915,1008
26,18,131,1001.57,0.993621,1008
25,28,189,154.397,0.153171,1008
25,26,179,641.329,0.636239,1008
25,28,174,148.298,0.147121,1008
25,26,172,430.538,0.427121,1008
25,20,170,368.147,0.365225,1008
25,20,143,382.363,0.379328,1008
24,30,199,121.455,0.120491,1008
24,30,168,109.134,0.108267,1008
24,21,166,92.6317,0.0918965,1008
24,21,151,82.7681,0.0821112,1008
23,30,197,25.8645,0.0256593,1008
23,30,164,37.3642,0.0370677,1008
23,21,162,155.892,0.154655,1008
23,20,160,153.363,0.152146,1008
23,16,158,93.7824,0.0930381,1008
23,21,149,156.127,0.154888,1008
23,20,141,154.263,0.153039,1008
23,16,115,91.387,0.0906617,1008
22,19,156,123.929,0.122945,1008
22,18,154,411.531,0.408265,1008
22,19,135,129.346,0.12832,1008
22,18,129,282.036,0.279798,1008
21,31,207,82.7211,0.0820646,1008
21,24,167,99.7084,0.0989171,1008
21,23,163,146.944,0.145778,1008
21,31,152,85.5471,0.0848682,1008
21,24,150,100.679,0.0998801,1008
21,23,148,143.327,0.14219,1008
21,7,146,222.455,0.22069,1008
21,7,55,234.401,0.232541,1008
20,30,195,86.7996,0.0861107,1008
20,25,171,390.857,0.387755,1008
20,23,161,164.98,0.163671,1008
20,30,144,86.6744,0.0859865,1008
20,25,142,411.688,0.40842,1008
