switch_id,used_rules,usage
38,7262,9.80027
37,19333,26.0904
36,11714,15.8084
35,13720,18.5155
34,11549,15.5857
33,18786,25.3522
32,17931,24.1984
31,20233,27.305
30,10173,13.7287
29,15114,20.3968
28,7086,9.56275
27,17240,23.2659
26,7490,10.108
25,17838,24.0729
24,10297,13.8961
23,12833,17.3185
22,8951,12.0796
21,21085,28.4548
20,21022,28.3698
19,11613,15.6721
18,11601,15.6559
17,15246,20.5749
16,18544,25.0256
15,19994,26.9825
14,19846,26.7827
13,18822,25.4008
12,21358,28.8232
11,17141,23.1323
10,20097,27.1215
9,20625,27.834
8,9252,12.4858
7,19142,25.8327
6,22873,30.8677
5,20251,27.3293
4,21815,29.4399
3,14871,20.0688
2,11189,15.0999
1,6265,8.45479
0,12042,16.251
