source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
17,2,0,0.937036,48,0.0195216,101,6.88119,6
16,6,1,1.65913,76,0.0218306,2,1,1
3,9,2,0.349289,16,0.0218306,57,5,4
2,21,3,0.785901,36,0.0218306,31,4.51613,4
25,23,4,19.5266,912,0.0214108,26,3.69231,2
12,2,5,14.8448,680,0.0218306,79,5.93671,5
9,23,6,0.785901,36,0.0218306,24,4.33333,4
15,6,7,1.39716,64,0.0218306,16,2.8125,2
14,5,8,0.813815,44,0.0184958,74,5.67568,5
17,4,9,0.764071,40,0.0191018,84,6.22619,5
1,0,10,5.23934,240,0.0218306,12,2.66667,2
18,11,11,1.12374,80,0.0140468,97,6.7732,5
4,18,12,0.134342,64,0.0020991,99,8.08081,6
2,24,13,1.22251,56,0.0218306,41,5.41463,5
1,18,14,1.19703,220,0.00544104,101,8.27723,6
24,21,15,2.53235,116,0.0218306,2,1,1
12,24,16,2.09574,96,0.0218306,28,4.5,4
1,4,17,1.74645,80,0.0218306,4,2,2
15,9,18,0.960546,44,0.0218306,12,2.33333,2
13,10,19,1.39716,64,0.0218306,9,2.55556,2
12,3,20,0.611257,28,0.0218306,72,5.69444,5
15,20,21,1.13519,52,0.0218306,8,3,3
12,9,22,3.92951,180,0.0218306,2,1,1
5,8,23,0.785901,36,0.0218306,17,3.23529,2
13,15,24,3.05628,140,0.0218306,2,1,1
11,7,25,0.960546,44,0.0218306,4,2,2
16,9,26,0.960546,44,0.0218306,8,3,3
7,6,27,10.7407,492,0.0218306,2,1,1
13,18,28,2.74577,144,0.0190679,34,3.67647,3
19,13,29,1.30984,60,0.0218306,12,3.33333,2
23,7,30,4.80273,220,0.0218306,4,2,2
19,3,31,0.103275,12,0.00860629,92,7.51087,6
2,23,32,0.873224,40,0.0218306,68,5.82353,5
5,20,33,0.873224,40,0.0218306,22,3.68182,3
16,7,34,1.65913,76,0.0218306,7,2.42857,2
19,8,35,0.518896,24,0.0216207,50,4.88,4
14,22,36,1.83377,84,0.0218306,11,3.27273,3
6,14,37,0,56,0,40,4.625,4
8,18,38,1.09909,68,0.016163,88,5.92045,5
4,6,39,8.47027,388,0.0218306,17,3.05882,2
13,19,40,1.30984,60,0.0218306,11,3.27273,2
14,0,41,0.725447,36,0.0201513,97,7.29897,6
14,7,42,1.30984,60,0.0218306,40,5.25,5
5,23,43,0.873224,40,0.0218306,8,3,3
24,6,44,1.5718,72,0.0218306,8,3,3
14,9,45,1.13519,52,0.0218306,4,2,2
24,8,46,0.873224,40,0.0218306,38,4.76316,4
8,9,47,0.611257,28,0.0218306,4,2,2
1,15,48,1.22251,56,0.0218306,73,5.05479,4
19,4,49,0.120908,16,0.00755674,96,7.58333,6
12,23,50,4.62809,212,0.0218306,15,3.46667,3
22,24,51,0.368943,80,0.00461179,55,5.58182,5
7,0,52,0.960546,44,0.0218306,18,4.11111,4
0,21,53,0.611257,28,0.0218306,33,5.0303,5
11,8,54,1.30984,60,0.0218306,8,2,2
20,21,55,1.04787,48,0.0218306,9,2.55556,2
4,17,56,0.176324,40,0.0044081,82,6.7561,5
10,23,57,0.960546,44,0.0218306,33,4.42424,4
6,24,58,1.5718,72,0.0218306,8,3,3
15,23,59,1.22251,56,0.0218306,13,3.38462,3
10,6,60,2.18306,100,0.0218306,8,2,2
6,11,61,1.39716,64,0.0218306,2,1,1
10,8,62,4.45344,204,0.0218306,2,1,1
25,4,63,0.599502,28,0.0214108,95,6.95789,5
24,14,64,1.5718,72,0.0218306,37,5.16216,5
16,15,65,2.61967,120,0.0218306,4,2,2
19,9,66,0.698579,32,0.0218306,28,4,4
11,20,67,0.611257,28,0.0218306,8,3,3
25,12,68,15.4561,708,0.0218306,16,3,3
4,25,69,0.376158,28,0.0134342,95,7.02105,5
18,12,70,18.2479,844,0.0216207,47,4.51064,4
23,6,71,22.4418,1028,0.0218306,15,2.73333,2
22,14,72,1.83377,84,0.0218306,8,3,3
21,16,73,1.65913,76,0.0218306,10,2.6,2
2,20,74,0.873224,40,0.0218306,70,6.11429,5
21,8,75,1.74645,80,0.0218306,26,4.5,3
9,21,76,0.611257,28,0.0218306,61,5.2459,5
11,23,77,0.611257,28,0.0218306,24,3.66667,3
9,13,78,1.22251,56,0.0218306,4,2,2
19,16,79,0.545765,52,0.0104955,33,4.15152,3
2,7,80,1.22251,56,0.0218306,27,3.96296,3
14,24,81,0.764788,72,0.0106221,40,5.175,5
16,2,82,0.960546,44,0.0218306,35,4.6,4
3,19,83,0.0982377,12,0.00818647,94,7.58511,6
20,3,84,0.349289,16,0.0218306,44,4.63636,4
7,12,85,2.18306,100,0.0218306,46,4.65217,4
4,2,86,4.01683,184,0.0218306,6,1.66667,1
20,8,87,0.698579,32,0.0218306,35,4.14286,3
20,22,88,0.937325,72,0.0130184,10,3.5,3
2,1,89,24.6249,1128,0.0218306,2,1,1
9,1,90,1.22251,56,0.0218306,48,5.02083,5
24,0,91,0.960546,44,0.0218306,51,6,6
8,23,92,0.785901,36,0.0218306,45,4.2,3
8,5,93,0.785901,36,0.0218306,12,3.25,2
3,11,94,1.39716,64,0.0218306,12,2.66667,2
4,9,95,0.611257,28,0.0218306,22,4.86364,3
10,15,96,4.2788,196,0.0218306,2,1,1
1,22,97,0.76575,76,0.0100757,100,8.48,7
8,25,98,1.13519,52,0.0218306,46,4.73913,4
16,12,99,2.61967,120,0.0218306,4,2,2
13,6,100,1.39716,64,0.0218306,26,3.38462,2
9,7,101,0.960546,44,0.0218306,27,4,4
11,15,102,0.611257,28,0.0218306,6,2.33333,2
24,5,103,1.22251,56,0.0218306,8,3,3
22,16,104,0.930347,64,0.0145367,31,4,4
7,25,105,1.44418,80,0.0180522,37,5.78378,4
1,7,106,3.23093,148,0.0218306,11,2.63636,2
5,4,107,0.698579,32,0.0218306,5,2.2,2
3,2,108,1.22251,56,0.0218306,11,2.36364,2
20,12,109,2.3577,108,0.0218306,8,3,3
2,22,110,0.101596,44,0.00230901,101,9.18812,8
21,11,111,0.611257,28,0.0218306,8,3,3
20,10,112,0.960546,44,0.0218306,24,4.08333,4
2,12,113,14.8448,680,0.0218306,79,6.06329,5
23,0,114,0.698579,32,0.0218306,54,5.94444,5
15,10,115,4.2788,196,0.0218306,4,1.5,1
10,22,116,0.95131,44,0.0216207,73,5.67123,5
12,0,117,1.22251,56,0.0218306,78,6.21795,5
12,20,118,2.3577,108,0.0218306,8,3,3
9,19,119,0.698579,32,0.0218306,31,4,4
5,21,120,0.873224,40,0.0218306,4,2,2
8,13,121,0.960546,44,0.0218306,4,2,2
21,3,122,0.349289,16,0.0218306,10,3.2,3
10,0,123,0.698579,32,0.0218306,39,5.38462,3
0,13,124,0.873224,40,0.0218306,78,6.12821,5
12,22,125,2.03528,96,0.0212009,36,4.16667,4
23,19,126,0.99749,48,0.020781,40,4.325,4
25,11,127,0.873224,40,0.0218306,37,4.67568,4
19,0,128,0.352648,28,0.0125946,101,8.66337,7
7,11,129,0.960546,44,0.0218306,4,2,2
4,14,130,0.0604539,32,0.00188919,73,5.9726,5
9,3,131,0.349289,16,0.0218306,57,5.08772,4
5,1,132,2.27038,104,0.0218306,2,1,1
9,10,133,1.83377,84,0.0218306,2,1,1
5,15,134,0.785901,36,0.0218306,16,3.5,3
21,18,135,1.74645,80,0.0218306,22,4.45455,4
14,6,136,1.22251,56,0.0218306,23,4.30435,4
11,4,137,4.2788,196,0.0218306,14,3.71429,1
15,22,138,1.04787,48,0.0218306,28,4.42857,4
17,19,139,2.09574,96,0.0218306,2,1,1
4,7,140,0.698579,32,0.0218306,9,3.11111,3
12,15,141,3.05628,140,0.0218306,2,1,1
6,10,142,2.18306,100,0.0218306,8,2,2
12,1,143,3.92951,180,0.0218306,68,5.75,5
2,13,144,1.04787,48,0.0218306,88,5.76136,5
9,6,145,0.873224,40,0.0218306,16,3,3
9,4,146,0.611257,28,0.0218306,50,5.84,3
7,18,147,2.47273,124,0.0199414,47,5.59574,5
4,19,148,0.0940395,16,0.00587747,96,7.36458,6
5,22,149,0.436612,40,0.0109153,93,7.21505,6
1,2,150,24.6249,1128,0.0218306,2,1,1
10,25,151,1.5718,72,0.0218306,53,4.69811,4
25,8,152,1.13519,52,0.0218306,45,4.77778,4
6,9,153,0.873224,40,0.0218306,16,3,3
23,14,154,1.39716,64,0.0218306,17,4,4
3,7,155,1.30984,60,0.0218306,5,2.2,2
6,0,156,0.873224,40,0.0218306,40,4.4,3
22,18,157,14.6702,672,0.0218306,2,1,1
7,9,158,0.960546,44,0.0218306,27,4,4
19,18,159,8.12098,372,0.0218306,5,1.6,1
19,12,160,1.65913,76,0.0218306,16,3,3
9,17,161,1.13519,52,0.0218306,16,3,3
18,9,162,1.11672,76,0.0146937,78,5.29487,5
17,3,163,0.415621,20,0.020781,91,6.40659,5
18,20,164,3.23093,148,0.0218306,4,2,2
20,15,165,1.13519,52,0.0218306,8,3,3
2,8,166,1.13519,52,0.0218306,53,4.64151,4
0,16,167,0.785901,36,0.0218306,56,5.26786,4
0,24,168,0.960546,44,0.0218306,58,6,6
10,12,169,16.7659,768,0.0218306,8,2,2
22,25,170,3.05628,140,0.0218306,4,2,2
1,10,171,1.30984,60,0.0218306,40,4.15,4
22,15,172,1.04787,48,0.0218306,38,4.57895,4
20,0,173,0.698579,32,0.0218306,86,6.69767,5
17,10,174,1.13519,52,0.0218306,31,3.74194,3
24,18,175,6.19989,284,0.0218306,16,4,4
11,22,176,0.221664,32,0.00692702,61,6.21311,6
6,1,177,21.8306,1000,0.0218306,21,2.90476,2
19,1,178,0.53485,52,0.0102856,101,7.88119,6
8,6,179,4.89005,224,0.0218306,6,2.33333,1
16,24,180,1.83377,84,0.0218306,8,2.5,2
17,13,181,4.2788,196,0.0218306,8,2.5,1
3,6,182,3.92951,180,0.0218306,10,2.7,2
3,8,183,0.261967,12,0.0218306,28,3.78571,3
1,11,184,3.49289,160,0.0218306,34,3.58824,3
22,19,185,4.71541,216,0.0218306,2,1,1
3,13,186,0.436612,20,0.0218306,82,5.36585,4
22,10,187,0.960546,44,0.0218306,59,5.54237,5
5,3,188,1.13519,52,0.0218306,2,1,1
13,3,189,0.436612,20,0.0218306,77,5.58442,4
8,14,190,0.785901,36,0.0218306,15,3.46667,3
1,3,191,8.55759,392,0.0218306,2,1,1
21,9,192,0.611257,28,0.0218306,50,5.18,5
0,17,193,0.293873,40,0.00734683,62,6.27419,6
20,17,194,2.00841,92,0.0218306,12,2.66667,2
23,10,195,0.960546,44,0.0218306,32,4.34375,4
6,2,196,12.0505,552,0.0218306,56,4.125,3
15,12,197,3.05628,140,0.0218306,2,1,1
0,22,198,0.187026,60,0.0031171,102,9,8
9,24,199,0.960546,44,0.0218306,33,5.06061,5
10,3,200,0.523934,24,0.0218306,69,4.46377,3
25,20,201,9.78011,448,0.0218306,2,1,1
23,11,202,0.611257,28,0.0218306,16,3.5,3
13,2,203,1.04787,48,0.0218306,89,6.60674,5
25,9,204,1.22251,56,0.0218306,31,4,4
