source,destination,link_id,used_rate_c,usage,capacity_c
25,20,166,33.4394,1,33.4394
25,18,164,33.4584,1,33.4584
25,17,162,24.0242,0.736841,32.6043
25,20,139,33.4394,1,33.4394
25,18,127,33.4584,1,33.4584
25,17,121,25.9982,0.797385,32.6043
24,23,160,20.6543,0.622615,33.1734
24,21,158,9.85993,0.296303,33.2765
24,23,157,21.3419,0.643344,33.1734
24,21,145,10.21,0.306823,33.2765
23,24,161,20.6034,0.621081,33.1734
23,24,156,21.5736,0.650328,33.1734
23,21,154,22.071,0.66326,33.2765
23,20,152,28.4688,0.851353,33.4394
23,16,150,28.841,0.872404,33.0592
23,21,143,22.0771,0.663444,33.2765
23,20,137,28.6856,0.857838,33.4394
23,16,113,28.6684,0.867184,33.0592
22,19,148,15.3276,0.465529,32.9252
22,18,146,16.6378,0.497267,33.4584
22,19,133,15.9164,0.48341,32.9252
22,18,125,16.42,0.490757,33.4584
21,24,159,10.194,0.306343,33.2765
21,23,155,22.7254,0.682925,33.2765
21,24,144,10.1848,0.306066,33.2765
21,23,142,22.8577,0.686901,33.2765
21,7,140,31.0716,0.948003,32.7758
21,7,53,30.7594,0.938477,32.7758
20,25,167,33.4394,1,33.4394
20,23,153,25.7159,0.769029,33.4394
20,25,138,33.4394,1,33.4394
20,23,136,27.096,0.8103,33.4394
20,16,134,17.0497,0.515733,33.0592
20,16,111,19.9571,0.603679,33.0592
19,22,149,15.1731,0.460836,32.9252
19,22,132,15.6607,0.475644,32.9252
19,18,130,19.431,0.580751,33.4584
19,17,128,32.6043,1,32.6043
19,18,123,20.0587,0.59951,33.4584
19,17,119,32.6043,1,32.6043
18,25,165,33.4584,1,33.4584
18,22,147,16.8683,0.504158,33.4584
18,19,131,18.7584,0.560647,33.4584
18,25,126,33.4584,1,33.4584
18,22,124,16.9885,0.507749,33.4584
18,19,122,19.1625,0.572727,33.4584
17,25,163,26.8161,0.822471,32.6043
17,19,129,32.6043,1,32.6043
17,25,120,28.6125,0.877568,32.6043
17,19,118,32.6043,1,32.6043
17,14,116,29.0227,0.878309,33.0439
17,13,114,32.7115,1,32.7115
17,14,97,29.3387,0.887872,33.0439
17,13,93,32.7115,1,32.7115
16,23,151,29.8182,0.901964,33.0592
16,20,135,14.2268,0.430343,33.0592
16,23,112,29.8262,0.902207,33.0592
16,20,110,19.0056,0.574897,33.0592
16,13,108,32.7115,1,32.7115
16,6,106,23.9172,0.735343,32.5253
16,13,91,32.7115,1,32.7115
16,6,47,25.1595,0.773538,32.5253
15,13,104,24.3697,0.744988,32.7115
15,12,102,23.2529,0.70962,32.7682
15,10,100,25.9829,0.794039,32.7225
15,8,98,23.4404,0.714275,32.817
15,13,89,23.8347,0.728634,32.7115
15,12,85,22.584,0.689206,32.7682
15,10,71,26.5087,0.810108,32.7225
15,8,59,23.5093,0.716374,32.817
14,17,117,33.0439,1,33.0439
14,17,96,32.3076,0.977719,33.0439
14,12,94,32.7682,1,32.7682
14,12,83,32.7682,1,32.7682
13,17,115,32.7115,1,32.7115
13,16,109,32.7115,1,32.7115
13,15,105,24.4932,0.748763,32.7115
13,17,92,32.7115,1,32.7115
13,16,90,32.7115,1,32.7115
13,15,88,25.0774,0.766625,32.7115
13,12,86,24.5922,0.750492,32.7682
13,12,81,25.1572,0.767734,32.7682
12,15,103,22.6476,0.691146,32.7682
12,14,95,32.7682,1,32.7682
12,13,87,24.9088,0.760154,32.7682
12,15,84,22.8375,0.696943,32.7682
12,14,82,32.7682,1,32.7682
12,13,80,25.4039,0.775262,32.7682
12,9,78,24.2824,0.725499,33.47
12,9,63,24.8455,0.742323,33.47
11,10,76,32.7225,1,32.7225
11,6,74,16.6668,0.512427,32.5253
11,4,72,32.8238,1,32.8238
11,10,69,32.7225,1,32.7225
11,6,45,19.0488,0.585662,32.5253
11,4,29,32.8238,1,32.8238
10,15,101,25.6652,0.78433,32.7225
10,11,77,32.7225,1,32.7225
10,15,70,25.5348,0.780345,32.7225
10,11,68,32.7225,1,32.7225
10,9,66,24.581,0.734419,33.47
10,8,64,12.4737,0.380097,32.817
10,9,61,24.1762,0.722324,33.47
10,8,57,13.0723,0.39834,32.817
9,12,79,26.5889,0.79441,33.47
9,10,67,22.7743,0.680441,33.47
9,12,62,26.8362,0.8018,33.47
9,10,60,23.2797,0.69554,33.47
8,15,99,23.6538,0.720779,32.817
8,10,65,12.9607,0.394937,32.817
8,15,58,23.8332,0.726244,32.817
8,10,56,12.8759,0.392353,32.817
8,6,54,32.5253,1,32.5253
8,6,43,32.5253,1,32.5253
7,21,141,31.4967,0.960975,32.7758
7,21,52,31.8416,0.971496,32.7758
7,6,50,31.3123,0.962707,32.5253
7,5,48,32.5303,1,32.5303
7,6,41,31.0511,0.954676,32.5253
7,5,37,32.5303,1,32.5303
6,16,107,24.7802,0.761875,32.5253
6,11,75,18.2048,0.559713,32.5253
6,8,55,32.5253,1,32.5253
6,7,51,31.9125,0.981158,32.5253
6,16,46,24.3331,0.74813,32.5253
6,11,44,18.1526,0.558107,32.5253
6,8,42,32.5253,1,32.5253
6,7,40,31.5024,0.968551,32.5253
6,5,38,32.5303,1,32.5303
6,5,35,32.5303,1,32.5303
5,7,49,32.5303,1,32.5303
5,6,39,32.5303,1,32.5303
5,7,36,32.4548,0.997679,32.5303
5,6,34,32.5303,1,32.5303
