source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
17,2,0,0.938422,48,0.0195505,55,6.90909,6,1
16,6,1,1.48584,76,0.0195505,2,1,1,2
3,9,2,0.312807,16,0.0195505,37,5.10811,4,13
2,21,3,0.703817,36,0.0195505,27,4.62963,4,12
25,23,4,17.83,912,0.0195505,20,3.45,2,7
12,2,5,13.2943,680,0.0195505,49,5.69388,5,7
9,23,6,0.703817,36,0.0195505,16,4,4,13
15,6,7,1.25123,64,0.0195505,10,2.6,2,4
14,5,8,0.86022,44,0.0195505,40,5.525,5,11
17,4,9,0.782018,40,0.0195505,52,6.25,5,4
1,0,10,4.69211,240,0.0195505,9,2.55556,2,7
18,11,11,1.56404,80,0.0195505,51,6.52941,5,4
4,18,12,1.25123,64,0.0195505,56,7.82143,6,0
2,24,13,1.09483,56,0.0195505,39,5.48718,5,13
1,18,14,4.3011,220,0.0195505,55,8.25455,6,1
24,21,15,2.26785,116,0.0195505,2,1,1,2
12,24,16,1.87684,96,0.0195505,16,4,4,15
1,4,17,1.56404,80,0.0195505,4,2,2,4
15,9,18,0.86022,44,0.0195505,8,2,2,8
13,10,19,1.25123,64,0.0195505,5,2.2,2,4
12,3,20,0.547413,28,0.0195505,39,5.61538,5,12
15,20,21,1.01662,52,0.0195505,10,3.2,3,8
12,9,22,3.51908,180,0.0195505,2,1,1,2
5,8,23,0.703817,36,0.0195505,10,2.6,2,8
13,15,24,2.73706,140,0.0195505,2,1,1,2
11,7,25,0.86022,44,0.0195505,4,2,2,4
16,9,26,0.86022,44,0.0195505,8,3,3,8
7,6,27,9.61883,492,0.0195505,2,1,1,2
13,18,28,2.81527,144,0.0195505,23,3.43478,3,14
19,13,29,1.17303,60,0.0195505,6,2.66667,2,4
23,7,30,4.3011,220,0.0195505,4,2,2,4
19,3,31,0.234606,12,0.0195505,50,7.08,6,5
2,23,32,0.782018,40,0.0195505,47,5.80851,5,8
5,20,33,0.782018,40,0.0195505,20,3.75,3,13
16,7,34,1.48584,76,0.0195505,9,2.55556,2,5
19,8,35,0.469211,24,0.0195505,35,4.8,4,16
14,22,36,1.64224,84,0.0195505,8,3,3,8
6,14,37,1.09483,56,0.0195505,25,4.4,4,15
8,18,38,1.32943,68,0.0195505,49,5.87755,5,6
4,6,39,7.58558,388,0.0195505,17,3.11765,2,11
13,19,40,1.17303,60,0.0195505,5,2.4,2,4
14,0,41,0.703817,36,0.0195505,52,7.01923,6,4
14,7,42,1.17303,60,0.0195505,30,5.2,5,19
5,23,43,0.782018,40,0.0195505,8,3,3,8
24,6,44,1.40763,72,0.0195505,8,3,3,8
14,9,45,1.01662,52,0.0195505,4,2,2,4
24,8,46,0.782018,40,0.0195505,22,4.31818,4,13
8,9,47,0.547413,28,0.0195505,4,2,2,4
1,15,48,1.09483,56,0.0195505,40,4.925,4,10
19,4,49,0.312807,16,0.0195505,55,7.23636,6,1
12,23,50,4.1447,212,0.0195505,8,3,3,8
22,24,51,1.56404,80,0.0195505,45,5.57778,5,10
7,0,52,0.86022,44,0.0195505,16,4,4,16
0,21,53,0.547413,28,0.0195505,28,5,5,14
11,8,54,1.17303,60,0.0195505,8,2,2,8
20,21,55,0.938422,48,0.0195505,7,2.42857,2,4
4,17,56,0.782018,40,0.0195505,48,6.08333,5,7
10,23,57,0.86022,44,0.0195505,22,4.27273,4,16
6,24,58,1.40763,72,0.0195505,8,3,3,8
15,23,59,1.09483,56,0.0195505,8,3,3,8
10,6,60,1.95505,100,0.0195505,8,2,2,6
6,11,61,1.25123,64,0.0195505,2,1,1,2
10,8,62,3.98829,204,0.0195505,2,1,1,2
25,4,63,0.547413,28,0.0195505,51,6.76471,5,5
24,14,64,1.40763,72,0.0195505,26,5,5,17
16,15,65,2.34606,120,0.0195505,4,2,2,4
19,9,66,0.625615,32,0.0195505,21,4,4,14
11,20,67,0.547413,28,0.0195505,8,3,3,8
25,12,68,13.8417,708,0.0195505,11,3,3,10
4,25,69,0.547413,28,0.0195505,50,6.76,5,5
18,12,70,16.5006,844,0.0195505,36,4.41667,4,11
23,6,71,20.0979,1028,0.0195505,10,2.6,2,6
22,14,72,1.64224,84,0.0195505,8,3,3,8
21,16,73,1.48584,76,0.0195505,6,2.33333,2,4
2,20,74,0.782018,40,0.0195505,44,6.20455,5,9
21,8,75,1.56404,80,0.0195505,13,3.92308,3,8
9,21,76,0.547413,28,0.0195505,35,5,5,15
11,23,77,0.547413,28,0.0195505,22,3.63636,3,18
9,13,78,1.09483,56,0.0195505,4,2,2,4
19,16,79,1.01662,52,0.0195505,20,3.75,3,10
2,7,80,1.09483,56,0.0195505,23,3.91304,3,11
14,24,81,1.40763,72,0.0195505,29,5,5,15
16,2,82,0.86022,44,0.0195505,21,4.28571,4,13
3,19,83,0.234606,12,0.0195505,50,7.46,6,6
20,3,84,0.312807,16,0.0195505,36,4.63889,4,17
7,12,85,1.95505,100,0.0195505,25,4.36,4,15
4,2,86,3.59728,184,0.0195505,6,1.66667,1,6
20,8,87,0.625615,32,0.0195505,28,3.89286,3,14
20,22,88,1.40763,72,0.0195505,8,3,3,8
2,1,89,22.0529,1128,0.0195505,2,1,1,2
9,1,90,1.09483,56,0.0195505,37,5.08108,5,13
24,0,91,0.86022,44,0.0195505,35,6,6,19
8,23,92,0.703817,36,0.0195505,30,3.96667,3,15
8,5,93,0.703817,36,0.0195505,9,2.66667,2,5
3,11,94,1.25123,64,0.0195505,11,2.72727,2,11
4,9,95,0.547413,28,0.0195505,10,3.6,3,8
10,15,96,3.83189,196,0.0195505,2,1,1,2
1,22,97,1.48584,76,0.0195505,56,8.41071,7,0
8,25,98,1.01662,52,0.0195505,38,4.89474,4,11
16,12,99,2.34606,120,0.0195505,4,2,2,4
13,6,100,1.25123,64,0.0195505,18,3.11111,2,9
9,7,101,0.86022,44,0.0195505,21,4,4,14
11,15,102,0.547413,28,0.0195505,4,2,2,4
24,5,103,1.09483,56,0.0195505,8,3,3,8
22,16,104,1.25123,64,0.0195505,28,4,4,20
7,25,105,1.56404,80,0.0195505,24,4.875,4,12
1,7,106,2.89347,148,0.0195505,9,2.55556,2,6
5,4,107,0.625615,32,0.0195505,4,2,2,4
3,2,108,1.09483,56,0.0195505,10,2.3,2,6
20,12,109,2.11145,108,0.0195505,8,3,3,8
2,22,110,0.86022,44,0.0195505,56,9.08929,8,0
21,11,111,0.547413,28,0.0195505,8,3,3,8
20,10,112,0.86022,44,0.0195505,20,4,4,13
2,12,113,13.2943,680,0.0195505,47,5.7234,5,9
23,0,114,0.625615,32,0.0195505,37,5.94595,5,14
15,10,115,3.83189,196,0.0195505,3,1.33333,1,2
10,22,116,0.86022,44,0.0195505,43,5.48837,5,10
12,0,117,1.09483,56,0.0195505,50,5.84,5,6
12,20,118,2.11145,108,0.0195505,8,3,3,8
9,19,119,0.625615,32,0.0195505,26,4,4,15
5,21,120,0.782018,40,0.0195505,4,2,2,4
8,13,121,0.86022,44,0.0195505,5,2.2,2,4
21,3,122,0.312807,16,0.0195505,8,3,3,8
10,0,123,0.625615,32,0.0195505,18,4.66667,3,9
