source,destination,link_id,used_rate,usage,link_capa
25,20,166,27.2951,0.426486,64
25,18,164,21.1148,0.329919,64
25,17,162,18.5181,0.289346,64
25,20,139,27.5543,0.430537,64
25,18,127,21.8152,0.340862,64
25,17,121,18.1816,0.284087,64
24,23,160,12.5379,0.195905,64
24,21,158,4.61134,0.0720522,64
24,23,157,12.6971,0.198392,64
24,21,145,4.54767,0.0710574,64
23,24,161,12.5152,0.19555,64
23,24,156,12.9245,0.201945,64
23,21,154,13.6339,0.21303,64
23,20,152,18.3408,0.286574,64
23,16,150,15.8714,0.24799,64
23,21,143,13.6794,0.213741,64
23,20,137,18.4044,0.287569,64
23,16,113,15.7168,0.245574,64
22,19,148,8.76336,0.136928,64
22,18,146,7.58097,0.118453,64
22,19,133,8.87705,0.138704,64
22,18,125,7.02615,0.109784,64
21,24,159,4.47491,0.0699204,64
21,23,155,13.3292,0.208269,64
21,24,144,4.47946,0.0699915,64
21,23,142,14.4798,0.226247,64
21,7,140,17.6131,0.275205,64
21,7,53,17.454,0.272718,64
20,25,167,27.759,0.433734,64
20,23,153,18.4908,0.288919,64
20,25,138,27.6271,0.431673,64
20,23,136,18.2043,0.284443,64
20,16,134,12.9609,0.202513,64
20,16,111,12.9654,0.202585,64
19,22,149,9.12718,0.142612,64
19,22,132,8.81793,0.13778,64
19,18,130,12.0923,0.188942,64
19,17,128,21.897,0.342141,64
19,18,123,12.3015,0.19221,64
19,17,119,21.7333,0.339583,64
18,25,165,21.2422,0.331909,64
18,22,147,7.19442,0.112413,64
18,19,131,12.256,0.1915,64
18,25,126,22.1244,0.345694,64
18,22,124,7.10801,0.111063,64
18,19,122,12.0059,0.187591,64
17,25,163,17.6995,0.276555,64
17,19,129,22.2108,0.347044,64
17,25,120,18.027,0.281671,64
17,19,118,21.8561,0.341502,64
17,14,116,19.7824,0.3091,64
17,13,114,25.0304,0.3911,64
17,14,97,19.6187,0.306541,64
17,13,93,24.5438,0.383497,64
16,23,151,15.7395,0.24593,64
16,20,135,13.8613,0.216583,64
16,23,112,15.6076,0.243869,64
16,20,110,12.5516,0.196118,64
16,13,108,19.6232,0.306613,64
16,6,106,20.0871,0.31386,64
16,13,91,19.5004,0.304694,64
16,6,47,20.1371,0.314642,64
15,13,104,15.8714,0.24799,64
15,12,102,13.8522,0.216441,64
15,10,100,15.1938,0.237403,64
15,8,98,15.7077,0.245432,64
15,13,89,15.9987,0.24998,64
15,12,85,13.7385,0.214664,64
15,10,71,14.9436,0.233494,64
15,8,59,15.7577,0.246214,64
14,17,117,19.9461,0.311658,64
14,17,96,20.0916,0.313931,64
14,12,94,22.47,0.351094,64
14,12,83,22.4519,0.35081,64
13,17,115,24.3664,0.380725,64
13,16,109,19.5504,0.305476,64
13,15,105,16.6672,0.260425,64
13,17,92,24.0344,0.375538,64
13,16,90,19.6005,0.306257,64
13,15,88,15.6895,0.245148,64
13,12,86,11.9376,0.186526,64
13,12,81,11.6875,0.182617,64
12,15,103,14.3934,0.224897,64
12,14,95,22.5337,0.352089,64
12,13,87,11.4419,0.17878,64
12,15,84,14.1978,0.221841,64
12,14,82,23.0249,0.359763,64
12,13,80,11.5238,0.180059,64
12,9,78,14.8754,0.232429,64
12,9,63,15.0391,0.234987,64
11,10,76,20.942,0.327219,64
11,6,74,6.02112,0.09408,64
11,4,72,22.6383,0.353724,64
11,10,69,20.8238,0.325372,64
11,6,45,6.12571,0.0957143,64
11,4,29,22.5337,0.352089,64
10,15,101,14.8345,0.231789,64
10,11,77,20.6373,0.322458,64
10,15,70,14.8936,0.232713,64
10,11,68,20.9466,0.32729,64
10,9,66,13.5111,0.211111,64
10,8,64,4.97515,0.0777368,64
10,9,61,14.6299,0.228592,64
10,8,57,4.91603,0.076813,64
9,12,79,14.8845,0.232571,64
9,10,67,13.6294,0.212959,64
9,12,62,16.0078,0.250122,64
9,10,60,13.5339,0.211467,64
8,15,99,15.1483,0.236692,64
8,10,65,5.05701,0.0790158,64
8,15,58,15.2392,0.238113,64
8,10,56,5.22073,0.0815739,64
8,6,54,20.51,0.320469,64
8,6,43,20.3099,0.317342,64
7,21,141,18.0679,0.282311,64
7,21,52,17.2902,0.27016,64
7,6,50,16.1715,0.25268,64
7,5,48,15.5303,0.242661,64
7,6,41,15.976,0.249625,64
7,5,37,15.0664,0.235413,64
6,16,107,20.6373,0.322458,64
6,11,75,6.48953,0.101399,64
6,8,55,20.037,0.313079,64
6,7,51,16.3898,0.256091,64
6,16,46,19.8051,0.309455,64
6,11,44,5.91652,0.0924456,64
6,8,42,20.0916,0.313931,64
6,7,40,16.0442,0.25069,64
6,5,38,19.7051,0.307892,64
6,5,35,19.6277,0.306684,64
5,7,49,15.1528,0.236763,64
5,6,39,19.9597,0.311871,64
5,7,36,15.4484,0.241382,64
5,6,34,19.4458,0.303841,64
5,3,32,14.5253,0.226957,64
5,1,30,16.5308,0.258294,64
5,3,21,14.7208,0.230013,64
5,1,9,16.6035,0.25943,64
4,11,73,22.7338,0.355216,64
4,11,28,22.3609,0.349389,64
4,3,26,8.60419,0.134441,64
4,2,24,14.407,0.22511,64
4,0,22,10.587,0.165422,64
4,3,19,8.38136,0.130959,64
4,2,15,13.5521,0.211751,64
4,0,3,10.9281,0.170751,64
3,5,33,14.689,0.229515,64
3,4,27,8.38591,0.13103,64
3,5,20,14.5525,0.227384,64
3,4,18,8.23583,0.128685,64
3,1,16,8.6997,0.135933,64
3,1,7,8.69515,0.135862,64
2,4,25,14.0659,0.21978,64
2,4,14,14.4298,0.225465,64
2,1,12,13.2792,0.207488,64
2,0,10,7.23989,0.113123,64
2,1,5,13.7249,0.214451,64
2,0,1,7.24899,0.113265,64
1,5,31,16.7309,0.26142,64
1,3,17,8.54507,0.133517,64
1,2,13,13.6112,0.212675,64
1,5,8,16.4853,0.257583,64
1,3,6,8.48141,0.132522,64
1,2,4,13.6794,0.213741,64
0,4,23,10.6461,0.166345,64
0,2,11,7.37632,0.115255,64
0,4,2,10.6188,0.165919,64
0,2,0,7.36268,0.115042,64
