source,destination,link_id,used_rate_c,usage,capacity_c
25,20,166,41.6744,1,41.6744
25,18,164,22.626,0.459439,49.2471
25,17,162,16.2533,0.431846,37.6369
25,20,139,41.6744,1,41.6744
25,18,127,38.587,0.783539,49.2471
25,17,121,17.2472,0.458254,37.6369
24,23,160,15.0256,0.372596,40.3267
24,21,158,5.08647,0.124,41.0199
24,23,157,17.3057,0.429138,40.3267
24,21,145,5.2034,0.126851,41.0199
23,24,161,12.091,0.299826,40.3267
23,24,156,19.2935,0.478431,40.3267
23,21,154,9.82215,0.239448,41.0199
23,20,152,22.3922,0.537312,41.6744
23,16,150,20.8136,0.549089,37.9057
23,21,143,12.5116,0.305011,41.0199
23,20,137,18.8843,0.453138,41.6744
23,16,113,19.7028,0.519783,37.9057
22,19,148,6.7235,0.16077,41.8206
22,18,146,8.12666,0.165018,49.2471
22,19,133,7.30815,0.17475,41.8206
22,18,125,10.7576,0.218441,49.2471
21,24,159,5.43726,0.132552,41.0199
21,23,155,11.2253,0.273655,41.0199
21,24,144,5.43726,0.132552,41.0199
21,23,142,11.5176,0.280782,41.0199
21,7,140,15.6687,0.394583,39.7094
21,7,53,15.3763,0.387222,39.7094
20,25,167,41.6744,1,41.6744
20,23,153,21.9716,0.527221,41.6744
20,25,138,41.6744,1,41.6744
20,23,136,22.8014,0.547132,41.6744
20,16,134,26.1576,0.690069,37.9057
20,16,111,19.7264,0.520406,37.9057
19,22,149,7.95127,0.190128,41.8206
19,22,132,7.8928,0.18873,41.8206
19,18,130,14.4409,0.293234,49.2471
19,17,128,22.2168,0.590293,37.6369
19,18,123,15.7856,0.320539,49.2471
19,17,119,22.5091,0.59806,37.6369
18,25,165,41.101,0.834588,49.2471
18,22,147,10.8745,0.220816,49.2471
18,19,131,12.3362,0.250495,49.2471
18,25,126,23.5851,0.478913,49.2471
18,22,124,6.66503,0.135339,49.2471
18,19,122,16.6626,0.338346,49.2471
17,25,163,14.3824,0.382137,37.6369
17,19,129,21.3398,0.566992,37.6369
17,25,120,19.352,0.514176,37.6369
17,19,118,26.4263,0.702138,37.6369
17,14,116,18.5335,0.423865,43.7249
17,13,114,25.7832,0.691574,37.2819
17,14,97,15.9025,0.363695,43.7249
17,13,93,25.9001,0.69471,37.2819
16,23,151,20.9654,0.553094,37.9057
16,20,135,22.2055,0.585809,37.9057
16,23,112,12.4531,0.328528,37.9057
16,20,110,27.175,0.716911,37.9057
16,13,108,23.4445,0.628846,37.2819
16,6,106,37.0906,1,37.0906
16,13,91,22.1583,0.594345,37.2819
16,6,47,37.0906,1,37.0906
15,13,104,13.8563,0.371662,37.2819
15,12,102,17.1888,0.435298,39.4874
15,10,100,14.6163,0.378957,38.5698
15,8,98,16.3703,0.385616,42.4523
15,13,89,14.0901,0.377935,37.2819
15,12,85,17.2472,0.436778,39.4874
15,10,71,17.715,0.459296,38.5698
15,8,59,11.9854,0.282326,42.4523
14,17,117,16.721,0.382415,43.7249
14,17,96,17.8904,0.409157,43.7249
14,12,94,18.8258,0.476754,39.4874
14,12,83,18.7089,0.473793,39.4874
13,17,115,27.4202,0.735483,37.2819
13,16,109,21.5152,0.577095,37.2819
13,15,105,13.6224,0.365389,37.2819
13,17,92,27.3617,0.733915,37.2819
13,16,90,21.4567,0.575527,37.2819
13,15,88,13.2716,0.35598,37.2819
13,12,86,16.1949,0.410127,39.4874
13,12,81,17.598,0.445662,39.4874
12,15,103,13.3301,0.337578,39.4874
12,14,95,19.352,0.49008,39.4874
12,13,87,21.5152,0.544862,39.4874
12,15,84,18.8843,0.478235,39.4874
12,14,82,18.3581,0.46491,39.4874
12,13,80,11.693,0.296121,39.4874
12,9,78,17.4811,0.39323,44.4551
12,9,63,12.3362,0.277497,44.4551
11,10,76,20.8136,0.539635,38.5698
11,6,74,12.3946,0.334172,37.0906
11,4,72,32.1795,0.821171,39.1873
11,10,69,21.0475,0.545698,38.5698
11,6,45,18.7561,0.505683,37.0906
11,4,29,36.3654,0.927989,39.1873
10,15,101,19.352,0.501739,38.5698
10,11,77,21.4567,0.556309,38.5698
10,15,70,15.961,0.413821,38.5698
10,11,68,21.2813,0.551761,38.5698
10,9,66,11.9854,0.269606,44.4551
10,8,64,5.90499,0.139097,42.4523
10,9,61,11.9269,0.268291,44.4551
10,8,57,6.19731,0.145983,42.4523
9,12,79,13.6224,0.30643,44.4551
9,10,67,15.3763,0.345885,44.4551
9,12,62,13.5639,0.305115,44.4551
9,10,60,11.1669,0.251194,44.4551
8,15,99,14.4409,0.340168,42.4523
8,10,65,7.83434,0.184545,42.4523
8,15,58,14.207,0.334659,42.4523
8,10,56,5.49573,0.129457,42.4523
8,6,54,17.1888,0.463427,37.0906
8,6,43,21.1059,0.569038,37.0906
7,21,141,16.0195,0.403417,39.7094
7,21,52,16.0195,0.403417,39.7094
7,6,50,11.9854,0.323138,37.0906
7,5,48,8.24359,0.217782,37.8526
7,6,41,11.693,0.315257,37.0906
7,5,37,8.47745,0.22396,37.8526
6,16,107,37.0906,1,37.0906
6,11,75,15.3179,0.412986,37.0906
6,8,55,20.8721,0.562733,37.0906
6,7,51,11.1084,0.299494,37.0906
6,16,46,36.1202,0.973839,37.0906
6,11,44,18.0309,0.486132,37.0906
6,8,42,18.9427,0.510716,37.0906
6,7,40,13.5639,0.365698,37.0906
6,5,38,25.8067,0.68177,37.8526
6,5,35,28.3556,0.749107,37.8526
5,7,49,8.65285,0.228594,37.8526
5,6,39,31.7466,0.838691,37.8526
5,7,36,8.0682,0.213148,37.8526
5,6,34,25.0231,0.661068,37.8526
5,3,32,5.05159,0.110965,45.5241
5,1,30,26.3678,0.530998,49.657
5,3,21,5.43726,0.119437,45.5241
5,1,9,24.3215,0.48979,49.657
4,11,73,29.6891,0.75762,39.1873
4,11,28,35.313,0.901134,39.1873
4,3,26,6.84043,0.15026,45.5241
4,2,24,20.4628,0.343415,59.5862
4,0,22,9.2375,0.153875,60.0323
4,3,19,6.89889,0.151544,45.5241
4,2,15,18.2063,0.305545,59.5862
4,0,3,10.2899,0.171406,60.0323
3,5,33,6.31424,0.138701,45.5241
3,4,27,6.5481,0.143838,45.5241
3,5,20,4.91108,0.107879,45.5241
3,4,18,6.25578,0.137417,45.5241
3,1,16,5.2034,0.104787,49.657
3,1,7,6.5481,0.131867,49.657
2,4,25,21.866,0.366964,59.5862
2,4,14,14.4296,0.242164,59.5862
2,1,12,17.598,0.354391,49.657
2,0,10,3.50791,0.0584337,60.0323
2,1,5,16.838,0.339085,49.657
2,0,1,8.59438,0.143163,60.0323
1,5,31,23.8538,0.480371,49.657
1,3,17,6.89889,0.138931,49.657
1,2,13,19.2935,0.388535,49.657
1,5,8,28.7064,0.578093,49.657
1,3,6,4.85261,0.0977225,49.657
1,2,4,15.201,0.306119,49.657
0,4,23,9.12057,0.151928,60.0323
0,2,11,3.50791,0.0584337,60.0323
0,4,2,10.1729,0.169458,60.0323
0,2,0,7.95127,0.13245,60.0323
