source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
17,2,0,0.701582,48,0.0146163,7,6.42857,6
16,6,1,1.11084,76,0.0146163,2,1,1
3,9,2,0.233861,16,0.0146163,5,4,4
2,21,3,0.526187,36,0.0146163,7,4,4
25,23,4,13.3301,912,0.0146163,3,2,2
12,2,5,9.93908,680,0.0146163,7,5.57143,5
9,23,6,0.526187,36,0.0146163,5,4,4
15,6,7,0.935443,64,0.0146163,3,2,2
14,5,8,0.643117,44,0.0146163,6,5,5
17,4,9,0.584652,40,0.0146163,6,5.5,5
1,0,10,3.50791,240,0.0146163,3,2,2
18,11,11,1.1693,80,0.0146163,7,5.42857,5
4,18,12,0,64,0,7,7.14286,6
2,24,13,0.818513,56,0.0146163,6,5,5
1,18,14,3.21559,220,0.0146163,7,7,6
24,21,15,1.69549,116,0.0146163,1,1,1
12,24,16,1.40316,96,0.0146163,5,4,4
1,4,17,1.1693,80,0.0146163,4,2,2
15,9,18,0.643117,44,0.0146163,4,2,2
13,10,19,0.935443,64,0.0146163,3,2,2
12,3,20,0.409256,28,0.0146163,7,5,5
15,20,21,0.760048,52,0.0146163,5,3,3
12,9,22,2.63093,180,0.0146163,2,1,1
5,8,23,0.526187,36,0.0146163,4,2,2
13,15,24,2.04628,140,0.0146163,2,1,1
11,7,25,0.643117,44,0.0146163,3,2,2
16,9,26,0.643117,44,0.0146163,4,3,3
7,6,27,7.19122,492,0.0146163,2,1,1
13,18,28,2.10475,144,0.0146163,5,3,3
19,13,29,0.876978,60,0.0146163,3,2,2
23,7,30,3.21559,220,0.0146163,4,2,2
19,3,31,0.175396,12,0.0146163,7,6.57143,6
2,23,32,0.584652,40,0.0146163,3,5,5
5,20,33,0.584652,40,0.0146163,7,3.71429,3
16,7,34,1.11084,76,0.0146163,4,2,2
19,8,35,0.350791,24,0.0146163,7,4.42857,4
14,22,36,1.22777,84,0.0146163,3,3,3
6,14,37,0.818513,56,0.0146163,5,4,4
8,18,38,0.993908,68,0.0146163,6,5.16667,5
4,6,39,5.67112,388,0.0146163,5,2.4,2
13,19,40,0.876978,60,0.0146163,3,2,2
14,0,41,0.526187,36,0.0146163,7,6,6
14,7,42,0.876978,60,0.0146163,7,5,5
5,23,43,0.584652,40,0.0146163,5,3,3
24,6,44,1.05237,72,0.0146163,4,3,3
14,9,45,0.760048,52,0.0146163,3,2,2
24,8,46,0.584652,40,0.0146163,6,4,4
8,9,47,0.409256,28,0.0146163,4,2,2
1,15,48,0.818513,56,0.0146163,5,4,4
19,4,49,0.233861,16,0.0146163,6,6.5,6
12,23,50,3.09866,212,0.0146163,6,3,3
22,24,51,1.1693,80,0.0146163,7,5.14286,5
7,0,52,0.643117,44,0.0146163,4,4,4
0,21,53,0.409256,28,0.0146163,4,5,5
11,8,54,0.876978,60,0.0146163,5,2,2
20,21,55,0.701582,48,0.0146163,4,2,2
4,17,56,0.584652,40,0.0146163,7,5.28571,5
10,23,57,0.643117,44,0.0146163,6,4,4
6,24,58,1.05237,72,0.0146163,4,3,3
15,23,59,0.818513,56,0.0146163,4,3,3
10,6,60,1.46163,100,0.0146163,3,2,2
6,11,61,0.935443,64,0.0146163,2,1,1
10,8,62,2.98173,204,0.0146163,2,1,1
25,4,63,0.409256,28,0.0146163,7,5.28571,5
24,14,64,1.05237,72,0.0146163,7,5,5
16,15,65,1.75396,120,0.0146163,3,2,2
19,9,66,0.467722,32,0.0146163,5,4,4
11,20,67,0.409256,28,0.0146163,4,3,3
25,12,68,10.3483,708,0.0146163,5,3,3
4,25,69,0,28,0,7,5.57143,5
18,12,70,12.3362,844,0.0146163,6,4,4
23,6,71,15.0256,1028,0.0146163,5,2.2,2
22,14,72,1.22777,84,0.0146163,6,3,3
21,16,73,1.11084,76,0.0146163,4,2,2
2,20,74,0.584652,40,0.0146163,7,5.71429,5
21,8,75,1.1693,80,0.0146163,5,3,3
9,21,76,0.409256,28,0.0146163,7,5,5
11,23,77,0.409256,28,0.0146163,4,3,3
9,13,78,0.818513,56,0.0146163,3,2,2
19,16,79,0.760048,52,0.0146163,4,3,3
2,7,80,0.818513,56,0.0146163,5,3,3
14,24,81,1.05237,72,0.0146163,7,5,5
16,2,82,0.643117,44,0.0146163,4,4,4
3,19,83,0.175396,12,0.0146163,6,6.66667,6
20,3,84,0.233861,16,0.0146163,6,4.66667,4
7,12,85,1.46163,100,0.0146163,6,4,4
4,2,86,2.6894,184,0.0146163,2,1,1
20,8,87,0.467722,32,0.0146163,5,3,3
20,22,88,1.05237,72,0.0146163,4,3,3
2,1,89,16.4872,1128,0.0146163,2,1,1
9,1,90,0.818513,56,0.0146163,7,5,5
24,0,91,0.643117,44,0.0146163,6,6,6
8,23,92,0.526187,36,0.0146163,4,3,3
8,5,93,0.526187,36,0.0146163,4,2,2
3,11,94,0.935443,64,0.0146163,3,2,2
4,9,95,0.409256,28,0.0146163,4,3,3
10,15,96,2.86479,196,0.0146163,2,1,1
1,22,97,1.11084,76,0.0146163,7,7.42857,7
8,25,98,0.760048,52,0.0146163,6,4.33333,4
16,12,99,1.75396,120,0.0146163,4,2,2
13,6,100,0.935443,64,0.0146163,3,2.33333,2
9,7,101,0.643117,44,0.0146163,5,4,4
11,15,102,0.409256,28,0.0146163,3,2,2
24,5,103,0.818513,56,0.0146163,4,3,3
22,16,104,0.935443,64,0.0146163,7,4,4
7,25,105,1.1693,80,0.0146163,6,4,4
1,7,106,2.16321,148,0.0146163,5,2.2,2
5,4,107,0.467722,32,0.0146163,3,2,2
3,2,108,0.818513,56,0.0146163,4,2,2
20,12,109,1.57856,108,0.0146163,5,3,3
2,22,110,0.643117,44,0.0146163,7,8.42857,8
21,11,111,0.409256,28,0.0146163,4,3,3
20,10,112,0.643117,44,0.0146163,6,4,4
