source,destination,link_id,used_rate_c,usage,capacity_c
15,13,97,270.906,0.512014,529.098
15,8,79,436.156,0.833686,523.166
14,13,95,529.098,1,529.098
14,12,93,349.27,0.671253,520.325
14,11,89,484.131,0.923121,524.45
14,9,85,524.194,1,524.194
14,8,77,523.166,1,523.166
14,6,69,515.408,1,515.408
14,4,51,493.235,0.941045,524.135
14,1,25,526.978,1,526.978
14,0,15,422.79,0.808165,523.148
13,15,96,451.103,0.852588,529.098
13,14,94,529.098,1,529.098
13,12,91,520.325,1,520.325
13,9,83,524.194,1,524.194
13,8,75,523.166,1,523.166
13,6,67,515.408,1,515.408
12,14,92,520.325,1,520.325
12,13,90,520.325,1,520.325
12,11,87,338.632,0.64569,524.45
12,6,65,515.408,1,515.408
12,4,49,357.266,0.681629,524.135
12,1,23,396.963,0.753281,526.978
12,0,13,473.488,0.905074,523.148
11,14,88,473.898,0.903609,524.45
11,12,86,429.562,0.819072,524.45
11,6,63,515.408,1,515.408
11,4,47,413.946,0.78977,524.135
11,1,21,448.086,0.850293,526.978
11,0,11,523.148,1,523.148
10,9,81,495.414,0.945098,524.194
10,8,73,523.166,1,523.166
10,3,45,361.017,0.683318,528.329
10,2,35,503.64,0.897195,561.35
9,14,84,524.194,1,524.194
9,13,82,524.194,1,524.194
9,10,80,524.194,1,524.194
9,8,71,523.166,1,523.166
9,6,61,338.315,0.656401,515.408
9,3,43,528.329,1,528.329
8,15,78,507.952,0.97092,523.166
8,14,76,523.166,1,523.166
8,13,74,523.166,1,523.166
8,10,72,523.166,1,523.166
8,9,70,523.166,1,523.166
8,6,59,515.408,1,515.408
8,3,41,528.329,1,528.329
7,6,57,515.408,1,515.408
7,5,55,431.564,0.795344,542.614
7,3,39,528.329,1,528.329
7,2,33,561.35,1,561.35
7,0,9,523.148,1,523.148
6,14,68,515.408,1,515.408
6,13,66,515.408,1,515.408
6,12,64,515.408,1,515.408
6,11,62,515.408,1,515.408
6,9,60,515.408,1,515.408
6,8,58,515.408,1,515.408
6,7,56,515.408,1,515.408
6,5,53,509.919,0.939746,542.614
6,3,37,528.329,1,528.329
6,2,31,561.35,1,561.35
6,0,7,523.148,1,523.148
5,7,54,467.091,0.860818,542.614
5,6,52,542.614,1,542.614
5,2,29,561.35,1,561.35
5,1,19,526.978,1,526.978
5,0,5,523.148,1,523.148
4,14,50,524.135,1,524.135
4,12,48,428.474,0.817487,524.135
4,11,46,339.499,0.647732,524.135
4,1,17,464.004,0.880499,526.978
4,0,3,409.993,0.783703,523.148
3,10,44,238.058,0.450586,528.329
3,9,42,528.329,1,528.329
3,8,40,528.329,1,528.329
3,7,38,528.329,1,528.329
3,6,36,528.329,1,528.329
3,2,27,498.679,0.888357,561.35
2,10,34,561.35,1,561.35
2,7,32,561.35,1,561.35
2,6,30,561.35,1,561.35
2,5,28,561.35,1,561.35
2,3,26,561.35,1,561.35
1,14,24,519.042,0.98494,526.978
1,12,22,526.978,1,526.978
1,11,20,526.978,1,526.978
1,5,18,526.978,1,526.978
1,4,16,526.978,1,526.978
1,0,1,523.148,1,523.148
0,14,14,523.148,1,523.148
0,12,12,523.148,1,523.148
0,11,10,523.148,1,523.148
0,7,8,523.148,1,523.148
0,6,6,523.148,1,523.148
0,5,4,523.148,1,523.148
0,4,2,523.148,1,523.148
0,1,0,523.148,1,523.148
