source,destination,link_id,used_rate,usage,link_capa
15,13,97,263.87,0.26387,1000
15,8,79,207.543,0.207543,1000
14,13,95,392.085,0.392085,1000
14,12,93,143.398,0.143398,1000
14,11,89,212.705,0.212705,1000
14,9,85,398.841,0.398841,1000
14,8,77,404.914,0.404914,1000
14,6,69,359.443,0.359443,1000
14,4,51,220.828,0.220828,1000
14,1,25,262.807,0.262807,1000
14,0,15,233.961,0.233961,1000
13,15,96,286.416,0.286416,1000
13,14,94,356.407,0.356407,1000
13,12,91,363.466,0.363466,1000
13,9,83,175.357,0.175357,1000
13,8,75,223.637,0.223637,1000
13,6,67,239.123,0.239123,1000
12,14,92,173.307,0.173307,1000
12,13,90,398.234,0.398234,1000
12,11,87,149.547,0.149547,1000
12,6,65,369.995,0.369995,1000
12,4,49,166.779,0.166779,1000
12,1,23,231.456,0.231456,1000
12,0,13,187.199,0.187199,1000
11,14,88,239.426,0.239426,1000
11,12,86,174.522,0.174522,1000
11,6,63,381.002,0.381002,1000
11,4,47,69.1558,0.0691558,1000
11,1,21,181.278,0.181278,1000
11,0,11,228.95,0.22895,1000
10,9,81,281.102,0.281102,1000
10,8,73,261.441,0.261441,1000
10,3,45,92.233,0.092233,1000
10,2,35,215.818,0.215818,1000
9,14,84,360.202,0.360202,1000
9,13,82,134.744,0.134744,1000
9,10,80,307.216,0.307216,1000
9,8,71,141.5,0.1415,1000
9,6,61,261.441,0.261441,1000
9,3,43,317.16,0.31716,1000
8,15,78,219.917,0.219917,1000
8,14,76,368.932,0.368932,1000
8,13,74,196.991,0.196991,1000
8,10,72,291.046,0.291046,1000
8,9,70,133.529,0.133529,1000
8,6,59,282.089,0.282089,1000
8,3,41,301.674,0.301674,1000
7,6,57,280.115,0.280115,1000
7,5,55,263.263,0.263263,1000
7,3,39,349.043,0.349043,1000
7,2,33,306.381,0.306381,1000
7,0,9,363.998,0.363998,1000
6,14,68,319.893,0.319893,1000
6,13,66,267.21,0.26721,1000
6,12,64,332.722,0.332722,1000
6,11,62,345.627,0.345627,1000
6,9,60,296.588,0.296588,1000
6,8,58,313.061,0.313061,1000
6,7,56,270.854,0.270854,1000
6,5,53,225.534,0.225534,1000
6,3,37,373.866,0.373866,1000
6,2,31,354.812,0.354812,1000
6,0,7,351.7,0.3517,1000
5,7,54,299.245,0.299245,1000
5,6,52,230.545,0.230545,1000
5,2,29,367.11,0.36711,1000
5,1,19,336.518,0.336518,1000
5,0,5,324.22,0.32422,1000
4,14,50,244.74,0.24474,1000
4,12,48,185.908,0.185908,1000
4,11,46,48.8873,0.0488873,1000
4,1,17,164.805,0.164805,1000
4,0,3,206.405,0.206405,1000
3,10,44,44.864,0.044864,1000
3,9,42,271.765,0.271765,1000
3,8,40,250.813,0.250813,1000
3,7,38,315.338,0.315338,1000
3,6,36,331.507,0.331507,1000
3,2,27,188.11,0.18811,1000
2,10,34,242.387,0.242387,1000
2,7,32,295.373,0.295373,1000
2,6,30,352.535,0.352535,1000
2,5,28,346.538,0.346538,1000
2,3,26,256.506,0.256506,1000
1,14,24,276.092,0.276092,1000
1,12,22,239.123,0.239123,1000
1,11,20,179.152,0.179152,1000
1,5,18,372.804,0.372804,1000
1,4,16,186.819,0.186819,1000
1,0,1,264.553,0.264553,1000
0,14,14,298.713,0.298713,1000
0,12,12,272.296,0.272296,1000
0,11,10,233.657,0.233657,1000
0,7,8,416.908,0.416908,1000
0,6,6,398.993,0.398993,1000
0,5,4,384.418,0.384418,1000
0,4,2,242.083,0.242083,1000
0,1,0,280.571,0.280571,1000
