source,destination,link_id,used_rate,usage,link_capa
15,13,97,34,0.034,1000
15,8,79,20,0.02,1000
14,13,95,25,0.025,1000
14,12,93,4,0.004,1000
14,11,89,35,0.035,1000
14,9,85,53,0.053,1000
14,8,77,64,0.064,1000
14,6,69,16,0.016,1000
14,4,51,26,0.026,1000
14,1,25,49,0.049,1000
14,0,15,43,0.043,1000
13,15,96,36,0.036,1000
13,14,94,43,0.043,1000
13,12,91,57,0.057,1000
13,9,83,12,0.012,1000
13,8,75,26,0.026,1000
13,6,67,26,0.026,1000
12,14,92,4,0.004,1000
12,13,90,74,0.074,1000
12,11,87,14,0.014,1000
12,6,65,26,0.026,1000
12,4,49,4,0.004,1000
12,1,23,21,0.021,1000
12,0,13,30,0.03,1000
11,14,88,26,0.026,1000
11,12,86,23,0.023,1000
11,6,63,43,0.043,1000
11,4,47,15,0.015,1000
11,1,21,22,0.022,1000
11,0,11,34,0.034,1000
10,9,81,20,0.02,1000
10,8,73,27,0.027,1000
10,3,45,4,0.004,1000
10,2,35,33,0.033,1000
9,14,84,48,0.048,1000
9,13,82,23,0.023,1000
9,10,80,18,0.018,1000
9,8,71,10,0.01,1000
9,6,61,4,0.004,1000
9,3,43,31,0.031,1000
8,15,78,22,0.022,1000
8,14,76,68,0.068,1000
8,13,74,15,0.015,1000
8,10,72,38,0.038,1000
8,9,70,10,0.01,1000
8,6,59,16,0.016,1000
8,3,41,33,0.033,1000
7,6,57,8,0.008,1000
7,5,55,16,0.016,1000
7,3,39,41,0.041,1000
7,2,33,15,0.015,1000
7,0,9,45,0.045,1000
6,14,68,21,0.021,1000
6,13,66,30,0.03,1000
6,12,64,14,0.014,1000
6,11,62,48,0.048,1000
6,9,60,6,0.006,1000
6,8,58,10,0.01,1000
6,7,56,8,0.008,1000
6,5,53,17,0.017,1000
6,3,37,69,0.069,1000
6,2,31,49,0.049,1000
6,0,7,50,0.05,1000
5,7,54,26,0.026,1000
5,6,52,29,0.029,1000
5,2,29,64,0.064,1000
5,1,19,29,0.029,1000
5,0,5,15,0.015,1000
4,14,50,14,0.014,1000
4,12,48,25,0.025,1000
4,11,46,14,0.014,1000
4,1,17,9,0.009,1000
4,0,3,12,0.012,1000
3,10,44,5,0.005,1000
3,9,42,37,0.037,1000
3,8,40,46,0.046,1000
3,7,38,44,0.044,1000
3,6,36,23,0.023,1000
3,2,27,14,0.014,1000
2,10,34,27,0.027,1000
2,7,32,9,0.009,1000
2,6,30,93,0.093,1000
2,5,28,29,0.029,1000
2,3,26,24,0.024,1000
1,14,24,46,0.046,1000
1,12,22,21,0.021,1000
1,11,20,18,0.018,1000
1,5,18,43,0.043,1000
1,4,16,10,0.01,1000
1,0,1,41,0.041,1000
0,14,14,46,0.046,1000
0,12,12,33,0.033,1000
0,11,10,22,0.022,1000
0,7,8,42,0.042,1000
0,6,6,42,0.042,1000
0,5,4,62,0.062,1000
0,4,2,23,0.023,1000
0,1,0,42,0.042,1000
