source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,0.487321,6,0.0812202,7,7.28571,6,6
0,2,1,0.487321,6,0.0812202,3,4.33333,4,2
0,3,2,0.16244,2,0.0812202,9,6.77778,5,7
0,4,3,1.29952,16,0.0812202,6,5.66667,2,5
0,5,4,0.324881,4,0.0812202,2,3,3,2
0,6,5,1.29952,16,0.0812202,1,1,1,1
0,7,6,0.324881,4,0.0812202,14,7.64286,4,9
0,8,7,0.649761,8,0.0812202,8,6.625,3,7
0,9,8,0.324881,4,0.0812202,2,2,2,2
0,10,9,1.6244,20,0.0812202,2,2,2,2
0,11,10,2.11172,26,0.0812202,1,1,1,1
0,12,11,2.27416,28,0.0812202,2,2,1,2
0,13,12,3.08637,38,0.0812202,1,1,1,1
0,14,13,0.649761,8,0.0812202,5,4.6,3,5
0,15,14,0.487321,6,0.0812202,3,4.66667,4,3
0,16,15,1.29952,16,0.0812202,14,6,4,11
0,17,16,1.13708,14,0.0812202,13,6.38462,3,10
0,18,17,0.649761,8,0.0812202,8,8.875,4,7
0,19,18,0.812202,10,0.0812202,3,2.66667,2,3
0,20,19,0.649761,8,0.0812202,15,8.73333,3,10
0,21,20,1.13708,14,0.0812202,17,7.23529,5,12
0,22,21,0.974642,12,0.0812202,14,9.85714,4,8
0,23,22,0.812202,10,0.0812202,3,3.66667,3,3
0,24,23,0.487321,6,0.0812202,16,8.3125,4,10
0,25,24,1.46196,18,0.0812202,23,9.47826,3,11
0,26,25,0.16244,2,0.0812202,10,7.5,5,8
0,27,26,0.649761,8,0.0812202,9,5.66667,4,9
1,2,27,0.16244,2,0.0812202,1,5,5,1
1,3,28,0.16244,2,0.0812202,1,1,1,1
1,4,29,0.16244,2,0.0812202,2,4.5,4,2
1,5,30,0.16244,2,0.0812202,3,6.33333,6,3
1,6,31,0.16244,2,0.0812202,2,5.5,5,2
1,7,32,0.16244,2,0.0812202,1,2,2,1
1,8,33,0.16244,2,0.0812202,3,5.33333,5,2
