source,destination,link_id,used_rate_c,usage,capacity_c
27,23,79,3.30889,0.238102,13.8969
27,14,76,2.48476,0.172975,14.3649
27,16,63,12.8767,1,12.8767
26,24,81,3.34916,0.232821,14.3852
26,21,73,3.60632,0.245497,14.6898
26,3,19,1.34152,0.0775569,17.2973
25,22,75,2.7636,0.170197,16.2376
25,7,41,2.13467,0.134047,15.9248
25,4,29,0.263348,0.0210172,12.5301
24,26,80,3.92215,0.272652,14.3852
24,20,71,3.1106,0.208994,14.8837
24,17,65,2.95259,0.236765,12.4706
23,27,78,9.00649,0.648093,13.8969
23,19,69,2.75431,0.227319,12.1165
23,10,53,2.88443,0.232928,12.3834
22,25,74,2.62418,0.161611,16.2376
22,18,67,0.842713,0.0421356,20
21,26,72,3.08891,0.210276,14.6898
21,16,61,5.48693,0.426112,12.8767
21,1,11,0.948052,0.064538,14.6898
20,24,70,4.46142,0.299752,14.8837
20,7,39,3.59392,0.225681,15.9248
20,4,27,1.52432,0.121652,12.5301
19,23,68,9.59515,0.79191,12.1165
19,14,57,7.7765,0.541355,14.3649
19,13,55,3.79531,0.2071,18.326
19,6,37,1.79076,0.124663,14.3649
19,5,33,4.82081,0.285716,16.8727
18,22,66,3.93782,0.196891,20
18,8,43,0.616544,0.0308272,20
17,24,64,6.4255,0.515252,12.4706
17,16,59,6.55271,0.508881,12.8767
17,10,51,4.89517,0.395302,12.3834
17,4,25,5.71,0.455702,12.5301
16,27,62,9.02198,0.700643,12.8767
16,21,60,7.05462,0.547859,12.8767
16,17,58,5.97954,0.464369,12.8767
15,5,31,2.71093,0.16067,16.8727
15,2,15,1.84034,0.0920168,20
14,27,77,8.53612,0.594235,14.3649
14,19,56,3.16947,0.22064,14.3649
14,2,13,1.39729,0.0972713,14.3649
13,19,54,12.2751,0.669819,18.326
13,9,47,1.05649,0.0576498,18.326
13,0,7,0.24166,0.0165283,14.621
12,10,49,4.71547,0.380791,12.3834
12,4,23,12.5301,1,12.5301
12,0,5,4.16089,0.284583,14.621
11,9,45,7.77031,0.388515,20
11,0,3,5.22339,0.357252,14.621
10,23,52,9.3318,0.753577,12.3834
10,17,50,12.3834,1,12.3834
10,12,48,7.50386,0.605964,12.3834
10,6,35,6.08488,0.423594,14.3649
9,13,46,8.43952,0.460522,18.326
9,11,44,2.05721,0.102861,20
8,18,42,5.45071,0.272536,20
8,4,21,2.7636,0.220557,12.5301
7,25,40,5.66353,0.355643,15.9248
7,20,38,3.49478,0.219456,15.9248
7,3,17,3.83558,0.221745,17.2973
6,19,36,9.06846,0.631293,14.3649
6,10,34,9.44935,0.657808,14.3649
6,0,1,3.88515,0.265724,14.621
5,19,32,6.88732,0.408192,16.8727
5,15,30,5.50242,0.326113,16.8727
4,25,28,6.5806,0.525182,12.5301
4,20,26,6.18402,0.493533,12.5301
4,17,24,6.63017,0.529138,12.5301
4,12,22,6.5775,0.524935,12.5301
4,8,20,5.92784,0.473087,12.5301
3,26,18,4.46762,0.258284,17.2973
3,7,16,4.38087,0.253269,17.2973
3,1,9,3.36775,0.194698,17.2973
2,15,14,3.75503,0.187751,20
2,14,12,6.46596,0.450122,14.3649
1,21,10,4.71547,0.321003,14.6898
1,3,8,3.69926,0.213864,17.2973
0,13,6,8.93833,0.611334,14.621
0,12,4,11.1195,0.760512,14.621
0,11,2,6.404,0.437999,14.621
0,6,0,11.1874,0.765161,14.621
