source,destination,link_id,used_rate,usage,link_capa
27,23,79,2.50441,0.12522,20
27,14,76,2.19881,0.109941,20
27,16,63,13.4463,0.672315,20
26,24,81,2.20626,0.110313,20
26,21,73,3.09324,0.154662,20
26,3,19,1.19258,0.0596288,20
25,22,75,2.43733,0.121866,20
25,7,41,1.446,0.0722999,20
25,4,29,0.365226,0.0182613,20
24,26,80,3.67462,0.183731,20
24,20,71,2.44478,0.122239,20
24,17,65,2.38515,0.119258,20
23,27,78,7.82628,0.391314,20
23,19,69,2.52677,0.126338,20
23,10,53,3.44356,0.172178,20
22,25,74,1.82613,0.0913066,20
22,18,67,0.655917,0.0327958,20
21,26,72,2.82491,0.141246,20
21,16,61,4.40508,0.220254,20
21,1,11,0.804989,0.0402494,20
20,24,70,3.68953,0.184477,20
20,7,39,3.14542,0.157271,20
20,4,27,1.32674,0.066337,20
19,23,68,9.29464,0.464732,20
19,14,57,6.36537,0.318269,20
19,13,55,3.52555,0.176278,20
19,6,37,1.96775,0.0983875,20
19,5,33,3.63736,0.181868,20
18,22,66,3.71935,0.185967,20
18,8,43,0.596288,0.0298144,20
17,24,64,6.91694,0.345847,20
17,16,59,5.37404,0.268702,20
17,10,51,4.38272,0.219136,20
17,4,25,5.04609,0.252304,20
16,27,62,7.33434,0.366717,20
16,21,60,7.31943,0.365972,20
16,17,58,5.40386,0.270193,20
15,5,31,2.45969,0.122984,20
15,2,15,2.06465,0.103232,20
14,27,77,9.57787,0.478894,20
14,19,56,2.74292,0.137146,20
14,2,13,1.17767,0.0588834,20
13,19,54,10.3158,0.515789,20
13,9,47,0.9317,0.046585,20
13,0,7,2.10191,0.105096,20
12,10,49,4.17401,0.208701,20
12,4,23,13.5432,0.677159,20
12,0,5,3.56282,0.178141,20
11,9,45,5.7989,0.289945,20
11,0,3,4.27837,0.213918,20
10,23,52,7.82628,0.391314,20
10,17,50,13.5581,0.677905,20
10,12,48,6.43991,0.321995,20
10,6,35,4.63614,0.231807,20
9,13,46,6.50699,0.32535,20
9,11,44,1.61743,0.0808715,20
8,18,42,5.56038,0.278019,20
8,4,21,2.60876,0.130438,20
7,25,40,5.38895,0.269448,20
7,20,38,2.82491,0.141246,20
7,3,17,2.61621,0.130811,20
6,19,36,7.29707,0.364854,20
6,10,34,9.30954,0.465477,20
6,0,1,2.7951,0.139755,20
5,19,32,6.2163,0.310815,20
5,15,30,3.9355,0.196775,20
4,25,28,7.29707,0.364854,20
4,20,26,6.43991,0.321995,20
4,17,24,5.1877,0.259385,20
4,12,22,5.38895,0.269448,20
4,8,20,6.17903,0.308952,20
3,26,18,3.28704,0.164352,20
3,7,16,3.83115,0.191557,20
3,1,9,2.42242,0.121121,20
2,15,14,2.86964,0.143482,20
2,14,12,6.20139,0.31007,20
1,21,10,3.70444,0.185222,20
1,3,8,2.94417,0.147209,20
0,13,6,7.37161,0.36858,20
0,12,4,10.845,0.542249,20
0,11,2,4.6585,0.232925,20
0,6,0,10.0102,0.500509,20
