source,destination,link_id,used_rate,usage,link_capa
27,23,79,4.3125,0.215625,20
27,14,76,3.75,0.1875,20
27,16,63,20,1,20
26,24,81,2.0625,0.103125,20
26,21,73,2.0625,0.103125,20
26,3,19,3.8125,0.190625,20
25,22,75,6.75,0.3375,20
25,7,41,1.3125,0.065625,20
25,4,29,2.0625,0.103125,20
24,26,80,2.4375,0.121875,20
24,20,71,3,0.15,20
24,17,65,3.375,0.16875,20
23,27,78,14.5625,0.728125,20
23,19,69,4.5,0.225,20
23,10,53,5.625,0.28125,20
22,25,74,1.5,0.075,20
22,18,67,0.5625,0.028125,20
21,26,72,6.0625,0.303125,20
21,16,61,5.625,0.28125,20
21,1,11,0.1875,0.009375,20
20,24,70,5.25,0.2625,20
20,7,39,2.4375,0.121875,20
20,4,27,1.6875,0.084375,20
19,23,68,10.6875,0.534375,20
19,14,57,6.5625,0.328125,20
19,13,55,7.125,0.35625,20
19,6,37,2.625,0.13125,20
19,5,33,5.625,0.28125,20
18,22,66,0.75,0.0375,20
18,8,43,1.125,0.05625,20
17,24,64,7.875,0.39375,20
17,16,59,14.9375,0.746875,20
17,10,51,7.5,0.375,20
17,4,25,6.75,0.3375,20
16,27,62,8.625,0.43125,20
16,21,60,15.0625,0.753125,20
16,17,58,12.1875,0.609375,20
15,5,31,0.75,0.0375,20
15,2,15,2.625,0.13125,20
14,27,77,14.625,0.73125,20
14,19,56,3.375,0.16875,20
14,2,13,1.5,0.075,20
13,19,54,15.9375,0.796875,20
13,9,47,1.3125,0.065625,20
13,0,7,3.1875,0.159375,20
12,10,49,7.5,0.375,20
12,4,23,20,1,20
12,0,5,5.625,0.28125,20
11,9,45,7.125,0.35625,20
11,0,3,7.3125,0.365625,20
10,23,52,18.3125,0.915625,20
10,17,50,20,1,20
10,12,48,6.125,0.30625,20
10,6,35,5.25,0.2625,20
9,13,46,8.625,0.43125,20
9,11,44,1.875,0.09375,20
8,18,42,4.125,0.20625,20
8,4,21,5.0625,0.253125,20
7,25,40,8.125,0.40625,20
7,20,38,4.3125,0.215625,20
7,3,17,2.4375,0.121875,20
6,19,36,7.875,0.39375,20
6,10,34,12.5625,0.628125,20
6,0,1,1.875,0.09375,20
5,19,32,7.3125,0.365625,20
5,15,30,5.0625,0.253125,20
4,25,28,15.6875,0.784375,20
4,20,26,7.3125,0.365625,20
4,17,24,8.625,0.43125,20
4,12,22,9.1875,0.459375,20
4,8,20,6,0.3,20
3,26,18,4.3125,0.215625,20
3,7,16,7.5625,0.378125,20
3,1,9,0.9375,0.046875,20
2,15,14,1.6875,0.084375,20
2,14,12,11.0625,0.553125,20
1,21,10,3.75,0.1875,20
1,3,8,2.4375,0.121875,20
0,13,6,10.6875,0.534375,20
0,12,4,19.875,0.99375,20
0,11,2,6.9375,0.346875,20
0,6,0,10.3125,0.515625,20
