source,destination,link_id,used_rate_c,usage,capacity_c
27,23,79,4.3125,0.284127,15.1781
27,14,76,3.75,0.242275,15.4783
27,16,63,13.7278,1,13.7278
26,24,81,2.0625,0.130705,15.7798
26,21,73,2.0625,0.128288,16.0772
26,3,19,0.75,0.0421875,17.7778
25,22,75,5.25,0.280603,18.7097
25,7,41,1.3125,0.0701509,18.7097
25,4,29,1.875,0.144389,12.9858
24,26,80,1.6875,0.10694,15.7798
24,20,71,2.8125,0.169577,16.5854
24,17,65,3.1875,0.245992,12.9577
23,27,78,9.64895,0.635716,15.1781
23,19,69,4.5,0.354223,12.7039
23,10,53,3.5625,0.279035,12.7672
22,25,74,1.3125,0.0701509,18.7097
22,18,67,0.5625,0.028125,20
21,26,72,2.625,0.163275,16.0772
21,16,61,5.625,0.409752,13.7278
21,1,11,0.1875,0.0116625,16.0772
20,24,70,4.3125,0.260018,16.5854
20,7,39,2.4375,0.13028,18.7097
20,4,27,1.6875,0.12995,12.9858
19,23,68,8.8125,0.693687,12.7039
19,14,57,5.20386,0.336205,15.4783
19,13,55,7.125,0.560853,12.7039
19,6,37,1.6875,0.105967,15.9248
19,5,33,5.625,0.442779,12.7039
18,22,66,0.75,0.0375,20
18,8,43,0.9375,0.046875,20
17,24,64,5.25,0.405163,12.9577
17,16,59,13.3297,0.971,13.7278
17,10,51,6.86826,0.537961,12.7672
17,4,25,5.8125,0.447605,12.9858
16,27,62,8.625,0.628287,13.7278
16,21,60,9.4547,0.688726,13.7278
16,17,58,11.3364,0.825802,13.7278
15,5,31,0.75,0.0375,20
15,2,15,2.625,0.13125,20
14,27,77,13.2664,0.857096,15.4783
14,19,56,3.375,0.218048,15.4783
14,2,13,1.5,0.0969101,15.4783
13,19,54,12.7039,1,12.7039
13,9,47,1.3125,0.065625,20
13,0,7,0.1875,0.0116625,16.0772
12,10,49,5.4375,0.425896,12.7672
12,4,23,12.9858,1,12.9858
12,0,5,5.625,0.349875,16.0772
11,9,45,7.125,0.35625,20
11,0,3,4.04828,0.251803,16.0772
10,23,52,12.7672,1,12.7672
10,17,50,12.7672,1,12.7672
10,12,48,6.125,0.479745,12.7672
10,6,35,5.25,0.329675,15.9248
9,13,46,7.6875,0.384375,20
9,11,44,1.875,0.09375,20
8,18,42,3.5625,0.178125,20
8,4,21,4.875,0.375411,12.9858
7,25,40,5.0625,0.270582,18.7097
7,20,38,4.3125,0.230496,18.7097
7,3,17,2.4375,0.13028,18.7097
6,19,36,7.875,0.494513,15.9248
6,10,34,10.5,0.65935,15.9248
6,0,1,1.875,0.116625,16.0772
5,19,32,7.3125,0.575612,12.7039
5,15,30,5.0625,0.253125,20
4,25,28,10.8125,0.832641,12.9858
4,20,26,5.36078,0.412819,12.9858
4,17,24,8.0625,0.620871,12.9858
4,12,22,8.8125,0.678627,12.9858
4,8,20,5.4375,0.418727,12.9858
3,26,18,4.3125,0.242578,17.7778
3,7,16,4.5,0.240517,18.7097
3,1,9,0.9375,0.046875,20
2,15,14,1.6875,0.084375,20
2,14,12,11.0625,0.714712,15.4783
1,21,10,3.75,0.23325,16.0772
1,3,8,2.4375,0.121875,20
0,13,6,10.6875,0.664763,16.0772
0,12,4,14.7358,0.916566,16.0772
0,11,2,6.9375,0.431513,16.0772
0,6,0,9.1875,0.571463,16.0772
