source,destination,link_id,used_rate_c,usage,capacity_c
16,8,42,10.3409,1,10.3409
16,0,37,2.55448,0.247018,10.3413
16,1,29,2.45119,0.236772,10.3525
16,5,5,0.534716,0.0502504,10.641
15,1,27,10.3525,1,10.3525
15,14,23,0.0133679,0.00120266,11.1152
15,13,17,4.87607,0.468181,10.4149
14,15,22,11.0103,0.990558,11.1152
14,12,20,7.70355,0.70278,10.9615
13,3,18,10.9554,1,10.9554
13,15,16,9.67806,0.929248,10.4149
13,0,14,10.3413,1,10.3413
13,12,12,6.70704,0.61187,10.9615
12,14,21,6.38378,0.58238,10.9615
12,13,13,10.3759,0.946575,10.9615
11,10,39,9.12997,0.859501,10.6224
11,1,31,0.947905,0.0915627,10.3525
10,9,40,9.78378,0.940652,10.4011
10,11,38,2.15314,0.202698,10.6224
9,7,50,7.93953,0.749265,10.5964
9,8,49,1.37192,0.132669,10.3409
9,10,41,1.61496,0.155269,10.4011
8,9,48,8.65247,0.836723,10.3409
8,6,45,9.02103,0.844276,10.6849
8,16,43,0.0121526,0.0011752,10.3409
8,1,33,0,0,10.3525
7,9,51,2.46182,0.232326,10.5964
7,6,47,2.15345,0.201541,10.6849
6,7,46,6.27635,0.587402,10.6849
6,8,44,1.44009,0.134777,10.6849
5,16,4,10.641,1,10.641
5,0,2,8.90424,0.861037,10.3413
5,2,0,5.34159,0.495264,10.7853
4,3,10,7.95676,0.726286,10.9554
4,0,8,9.13981,0.883817,10.3413
4,2,6,8.34521,0.773755,10.7853
3,13,19,0.766645,0.0699787,10.9554
3,4,11,8.49451,0.775371,10.9554
2,0,34,7.27507,0.703497,10.3413
2,4,7,2.09817,0.194539,10.7853
2,5,1,5.69959,0.528457,10.7853
1,8,32,10.3525,1,10.3525
1,11,30,10.3525,1,10.3525
1,16,28,10.3525,1,10.3525
1,15,26,5.82597,0.562759,10.3525
1,0,24,10.3413,1,10.3413
0,16,36,10.3413,1,10.3413
0,2,35,3.72419,0.360128,10.3413
0,1,25,10.2986,0.995869,10.3413
0,13,15,8.12392,0.78558,10.3413
0,4,9,6.13708,0.593454,10.3413
0,5,3,0.856761,0.0828485,10.3413
