source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
5,4,0,0.894611,4,0.223653,1,2,2
5,13,1,0.894611,4,0.223653,1,2,2
5,14,2,0.894611,4,0.223653,2,4,4
5,12,3,0.894611,4,0.223653,1,3,3
5,1,4,2.68383,12,0.223653,3,2.33333,2
5,2,5,1.78922,8,0.223653,1,1,1
5,0,6,1.78922,8,0.223653,1,1,1
5,10,7,0.161872,2,0.0809359,13,5.61538,4
5,15,8,0.894611,4,0.223653,4,3.75,3
5,16,9,3.13114,14,0.223653,3,2,1
5,11,10,0.25754,2,0.12877,9,4.77778,3
5,6,11,0.587371,4,0.146843,12,5.41667,3
5,8,12,0.753715,4,0.188429,8,3.5,2
5,9,13,1.26059,6,0.210098,10,4.8,3
5,7,14,0.740991,4,0.185248,20,6.15,4
4,13,15,0.447306,2,0.223653,2,2,2
4,14,16,0.447306,2,0.223653,3,4,4
4,12,17,0.447306,2,0.223653,2,3,3
4,1,18,1.34192,6,0.223653,5,3.4,2
4,2,19,1.34192,6,0.223653,1,1,1
4,0,20,1.34192,6,0.223653,1,1,1
4,10,21,0.293685,2,0.146843,11,6,4
4,15,22,0.447306,2,0.223653,2,3,3
4,16,23,0.894611,4,0.223653,2,2.5,2
4,11,24,0.388568,2,0.194284,5,4.4,3
4,6,25,0.388568,2,0.194284,12,5.66667,4
4,8,26,0.424714,2,0.212357,9,4.11111,3
4,9,27,0.424714,2,0.212357,14,5.5,4
4,7,28,0.402123,2,0.201062,16,6.1875,5
13,14,29,1.78922,8,0.223653,2,2,2
13,12,30,1.78922,8,0.223653,1,1,1
13,1,31,2.23653,10,0.223653,3,2.33333,2
13,2,32,0.894611,4,0.223653,2,2.5,2
13,0,33,1.34192,6,0.223653,1,1,1
13,10,34,0.438269,2,0.219135,8,5.5,4
13,15,35,1.34192,6,0.223653,1,1,1
13,16,36,1.34192,6,0.223653,5,3.8,2
13,11,37,0.447306,2,0.223653,3,3.66667,3
13,6,38,0.894611,4,0.223653,6,5,4
13,8,39,0.447306,2,0.223653,8,4.375,3
13,9,40,0.894611,4,0.223653,10,5.3,4
13,7,41,0.442787,2,0.221394,16,6.25,5
14,12,42,2.23653,10,0.223653,1,1,1
14,1,43,2.68383,12,0.223653,1,2,2
14,2,44,0.894611,4,0.223653,3,4.66667,4
14,0,45,1.34192,6,0.223653,4,4.25,3
