source,destination,link_id,used_rate,usage,link_capa
16,8,42,14.4782,0.72391,20
16,0,37,1.95019,0.0975095,20
16,1,29,5.77256,0.288628,20
16,5,5,0.748873,0.0374436,20
15,1,27,11.904,0.595198,20
15,14,23,0.0468045,0.00234023,20
15,13,17,3.94718,0.197359,20
14,15,22,9.20489,0.460245,20
14,12,20,5.02369,0.251184,20
13,3,18,8.90846,0.445423,20
13,15,16,6.89587,0.344793,20
13,0,14,9.2517,0.462585,20
13,12,12,5.1953,0.259765,20
12,14,21,4.07199,0.2036,20
12,13,13,9.14249,0.457124,20
11,10,39,10.375,0.51875,20
11,1,31,0.748873,0.0374436,20
10,9,40,9.03328,0.451664,20
10,11,38,1.0765,0.0538252,20
9,7,50,7.97237,0.398619,20
9,8,49,0.764474,0.0382237,20
9,10,41,0.109211,0.00546053,20
8,9,48,11.4203,0.571015,20
8,6,45,11.4983,0.574916,20
8,16,43,0.0468045,0.00234023,20
8,1,33,0,0,20
7,9,51,1.12331,0.0561654,20
7,6,47,0.733271,0.0366636,20
6,7,46,5.1173,0.255865,20
6,8,44,1.12331,0.0561654,20
5,16,4,11.7167,0.585837,20
5,0,2,6.41222,0.320611,20
5,2,0,3.72876,0.186438,20
4,3,10,8.01918,0.400959,20
4,0,8,6.83346,0.341673,20
4,2,6,5.85057,0.292528,20
3,13,19,1.38853,0.0694267,20
3,4,11,6.1782,0.30891,20
2,0,34,6.39662,0.319831,20
2,4,7,2.73026,0.136513,20
2,5,1,4.86767,0.243384,20
1,8,32,14.4626,0.72313,20
1,11,30,14.5406,0.72703,20
1,16,28,8.15959,0.40798,20
1,15,26,5.41372,0.270686,20
1,0,24,8.79925,0.439963,20
0,16,36,11.6387,0.581936,20
0,2,35,3.66636,0.183318,20
0,1,25,11.6075,0.580376,20
0,13,15,4.91448,0.245724,20
0,4,9,4.68045,0.234023,20
0,5,3,0.51485,0.0257425,20
