source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,4,0,0.524876,4,0.131219,1,2,2,1
5,13,1,0.524876,4,0.131219,1,2,2,1
5,14,2,0.524876,4,0.131219,2,4,4,1
5,12,3,0.524876,4,0.131219,1,3,3,1
5,1,4,1.57463,12,0.131219,1,2,2,1
5,2,5,1.04975,8,0.131219,1,1,1,1
5,0,6,1.04975,8,0.131219,1,1,1,1
5,10,7,0.262438,2,0.131219,3,4,4,2
5,15,8,0.524876,4,0.131219,2,3,3,1
5,16,9,1.83707,14,0.131219,1,1,1,1
5,11,10,0.262438,2,0.131219,2,3,3,1
5,6,11,0.524876,4,0.131219,3,3.66667,3,2
5,8,12,0.524876,4,0.131219,2,2.5,2,2
5,9,13,0.787314,6,0.131219,4,4.25,3,1
5,7,14,0.524876,4,0.131219,2,4.5,4,2
4,13,15,0.262438,2,0.131219,1,2,2,1
4,14,16,0.262438,2,0.131219,2,4,4,1
4,12,17,0.262438,2,0.131219,1,3,3,1
4,1,18,0.787314,6,0.131219,1,2,2,1
4,2,19,0.787314,6,0.131219,1,1,1,1
4,0,20,0.787314,6,0.131219,1,1,1,1
4,10,21,0.262438,2,0.131219,2,4.5,4,2
4,15,22,0.262438,2,0.131219,1,3,3,1
4,16,23,0.524876,4,0.131219,1,2,2,1
4,11,24,0.262438,2,0.131219,1,3,3,1
4,6,25,0.262438,2,0.131219,2,4,4,2
4,8,26,0.262438,2,0.131219,3,3.33333,3,2
4,9,27,0.262438,2,0.131219,3,4.33333,4,3
4,7,28,0.262438,2,0.131219,4,5.5,5,1
13,14,29,1.04975,8,0.131219,1,2,2,1
13,12,30,1.04975,8,0.131219,1,1,1,1
13,1,31,1.31219,10,0.131219,2,2,2,2
13,2,32,0.524876,4,0.131219,2,2.5,2,2
13,0,33,0.787314,6,0.131219,1,1,1,1
13,10,34,0.262438,2,0.131219,1,4,4,1
13,15,35,0.787314,6,0.131219,1,1,1,1
13,16,36,0.787314,6,0.131219,2,3,2,2
13,11,37,0.262438,2,0.131219,1,3,3,1
13,6,38,0.524876,4,0.131219,2,4,4,2
13,8,39,0.262438,2,0.131219,3,4,3,2
13,9,40,0.524876,4,0.131219,3,5.33333,4,2
13,7,41,0.262438,2,0.131219,5,5.2,5,2
14,12,42,1.31219,10,0.131219,1,1,1,1
14,1,43,1.57463,12,0.131219,1,2,2,1
14,2,44,0.524876,4,0.131219,2,4.5,4,1
14,0,45,0.787314,6,0.131219,2,3,3,1
14,10,46,0.262438,2,0.131219,1,4,4,1
14,15,47,1.57463,12,0.131219,1,1,1,1
14,16,48,0.787314,6,0.131219,3,4.66667,3,2
14,11,49,0.262438,2,0.131219,1,3,3,1
14,6,50,0.524876,4,0.131219,1,4,4,1
14,8,51,0.524876,4,0.131219,2,5,3,1
14,9,52,0.524876,4,0.131219,3,5,4,2
14,7,53,0.262438,2,0.131219,3,6,5,2
12,1,54,1.04975,8,0.131219,3,4.66667,3,2
12,2,55,0.524876,4,0.131219,2,3.5,3,1
12,0,56,0.524876,4,0.131219,1,2,2,1
12,10,57,0.262438,2,0.131219,2,5.5,5,2
12,15,58,0.787314,6,0.131219,2,2,2,2
12,16,59,0.524876,4,0.131219,3,4.66667,3,1
12,11,60,0.262438,2,0.131219,4,5.75,4,1
12,6,61,0.262438,2,0.131219,3,6.66667,5,2
12,8,62,0.262438,2,0.131219,3,5,4,1
12,9,63,0.524876,4,0.131219,4,6.25,5,2
12,7,64,0.262438,2,0.131219,6,6.16667,6,0
1,2,65,1.57463,12,0.131219,3,2.66667,2,1
1,0,66,1.83707,14,0.131219,2,1.5,1,2
1,10,67,0.524876,4,0.131219,1,2,2,1
1,15,68,1.57463,12,0.131219,1,1,1,1
1,16,69,2.36194,18,0.131219,1,1,1,1
1,11,70,1.31219,10,0.131219,1,1,1,1
1,6,71,1.31219,10,0.131219,1,2,2,1
1,3,72,6.56095,50,0.131219,3,3.33333,3,2
1,8,73,1.31219,10,0.131219,1,1,1,1
1,9,74,1.83707,14,0.131219,2,2.5,2,1
1,7,75,1.04975,8,0.131219,3,3.33333,3,1
2,0,76,1.31219,10,0.131219,1,1,1,1
2,10,77,0.262438,2,0.131219,3,4.66667,4,2
2,15,78,0.524876,4,0.131219,1,3,3,1
2,16,79,1.04975,8,0.131219,2,2,2,2
2,11,80,0.262438,2,0.131219,2,3.5,3,1
2,6,81,0.524876,4,0.131219,2,4,4,2
2,8,82,0.524876,4,0.131219,2,3,3,2
2,9,83,0.524876,4,0.131219,3,4,4,2
2,7,84,0.524876,4,0.131219,2,5,5,2
0,10,85,0.262438,2,0.131219,1,3,3,1
0,15,86,0.787314,6,0.131219,1,2,2,1
0,16,87,1.31219,10,0.131219,1,1,1,1
0,11,88,0.524876,4,0.131219,1,2,2,1
0,6,89,0.524876,4,0.131219,2,3,3,1
