source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
5,4,0,1.03448,4,0.258621,1,2,2,1
5,13,1,1.03448,4,0.258621,1,2,2,1
5,14,2,1.03448,4,0.258621,3,4.66667,4,1
5,12,3,1.03448,4,0.258621,2,3.5,3,2
5,1,4,3.10345,12,0.258621,5,2.8,2,5
5,2,5,2.06897,8,0.258621,1,1,1,1
5,0,6,2.06897,8,0.258621,3,2,1,2
5,10,7,0.517241,2,0.258621,22,6.13636,4,20
5,15,8,1.03448,4,0.258621,5,4,3,3
5,16,9,3.62069,14,0.258621,6,3,1,6
5,11,10,0.517241,2,0.258621,34,7.20588,3,30
5,6,11,1.03448,4,0.258621,36,6.97222,3,33
5,8,12,1.03448,4,0.258621,26,5.88462,2,20
5,9,13,1.55172,6,0.258621,39,6.64103,3,34
5,7,14,1.03448,4,0.258621,41,6.92683,4,36
4,13,15,0.517241,2,0.258621,2,2,2,2
4,14,16,0.517241,2,0.258621,2,4,4,2
4,12,17,0.517241,2,0.258621,2,3,3,2
4,1,18,1.55172,6,0.258621,5,3.4,2,5
4,2,19,1.55172,6,0.258621,1,1,1,1
4,0,20,1.55172,6,0.258621,1,1,1,1
4,10,21,0.517241,2,0.258621,21,6.80952,4,20
4,15,22,0.517241,2,0.258621,2,3,3,2
4,16,23,1.03448,4,0.258621,5,3.6,2,5
4,11,24,0.517241,2,0.258621,21,7.19048,3,17
4,6,25,0.517241,2,0.258621,23,7,4,20
4,8,26,0.517241,2,0.258621,17,5.58824,3,14
4,9,27,0.517241,2,0.258621,19,6.15789,4,18
4,7,28,0.517241,2,0.258621,25,6.52,5,21
13,14,29,2.06897,8,0.258621,2,2,2,2
13,12,30,2.06897,8,0.258621,1,1,1,1
13,1,31,2.58621,10,0.258621,7,3.71429,2,7
13,2,32,1.03448,4,0.258621,3,2.66667,2,2
13,0,33,1.55172,6,0.258621,3,2.66667,1,3
13,10,34,0.517241,2,0.258621,28,7.10714,4,28
13,15,35,1.55172,6,0.258621,2,2,1,2
13,16,36,1.55172,6,0.258621,5,3.8,2,5
13,11,37,0.517241,2,0.258621,26,7.42308,3,22
13,6,38,1.03448,4,0.258621,27,7.03704,4,21
13,8,39,0.517241,2,0.258621,19,5.73684,3,18
13,9,40,1.03448,4,0.258621,30,6.7,4,25
13,7,41,0.517241,2,0.258621,32,7.09375,5,24
14,12,42,2.58621,10,0.258621,1,1,1,1
14,1,43,3.10345,12,0.258621,15,5.93333,2,13
14,2,44,1.03448,4,0.258621,5,4.6,4,5
14,0,45,1.55172,6,0.258621,6,4.66667,3,6
14,10,46,0.517241,2,0.258621,44,8.84091,4,34
14,15,47,3.10345,12,0.258621,1,1,1,1
14,16,48,1.55172,6,0.258621,7,5.28571,3,5
14,11,49,0.517241,2,0.258621,32,9.3125,3,26
14,6,50,1.03448,4,0.258621,27,8.55556,4,19
14,8,51,1.03448,4,0.258621,33,7.60606,3,28
14,9,52,1.03448,4,0.258621,47,8.61702,4,33
14,7,53,0.517241,2,0.258621,51,8.96078,5,38
12,1,54,2.06897,8,0.258621,13,5.69231,3,12
12,2,55,1.03448,4,0.258621,6,4.66667,3,4
12,0,56,1.03448,4,0.258621,8,5.25,2,6
12,10,57,0.517241,2,0.258621,54,9.09259,5,35
12,15,58,1.55172,6,0.258621,2,2,2,2
12,16,59,1.03448,4,0.258621,10,5.2,3,8
12,11,60,0.517241,2,0.258621,35,8.91429,4,23
12,6,61,0.517241,2,0.258621,33,8.30303,5,22
12,8,62,0.517241,2,0.258621,28,7.39286,4,22
12,9,63,1.03448,4,0.258621,40,8.225,5,27
12,7,64,0.517241,2,0.258621,47,8.82979,6,39
1,2,65,3.10345,12,0.258621,4,2.75,2,4
1,0,66,3.62069,14,0.258621,3,2.66667,1,2
1,10,67,1.03448,4,0.258621,5,4,2,5
1,15,68,3.10345,12,0.258621,1,1,1,1
1,16,69,4.65517,18,0.258621,1,1,1,1
1,11,70,2.58621,10,0.258621,5,4.6,1,5
1,6,71,2.58621,10,0.258621,5,3.8,2,5
1,3,72,12.931,50,0.258621,6,4,3,5
1,8,73,2.58621,10,0.258621,3,2.33333,1,3
1,9,74,3.62069,14,0.258621,5,3.4,2,5
1,7,75,2.06897,8,0.258621,5,3.6,3,5
2,0,76,2.58621,10,0.258621,2,1.5,1,2
2,10,77,0.517241,2,0.258621,21,6.33333,4,19
2,15,78,1.03448,4,0.258621,2,3.5,3,2
2,16,79,2.06897,8,0.258621,3,2.33333,2,3
2,11,80,0.517241,2,0.258621,26,7.11538,3,19
2,6,81,1.03448,4,0.258621,24,6.33333,4,23
2,8,82,1.03448,4,0.258621,22,5.45455,3,19
2,9,83,1.03448,4,0.258621,29,6.24138,4,26
2,7,84,1.03448,4,0.258621,31,6.6129,5,26
0,10,85,0.517241,2,0.258621,18,5.61111,3,17
0,15,86,1.55172,6,0.258621,1,2,2,1
0,16,87,2.58621,10,0.258621,4,2.25,1,4
0,11,88,1.03448,4,0.258621,18,6.16667,2,17
0,6,89,1.03448,4,0.258621,17,5.41176,3,15
0,8,90,1.03448,4,0.258621,10,4.3,2,10
0,9,91,1.55172,6,0.258621,17,5.35294,3,14
0,7,92,1.03448,4,0.258621,17,5.29412,4,15
10,15,93,0.517241,2,0.258621,1,3,3,1
10,16,94,0.517241,2,0.258621,2,3,3,2
10,11,95,0.517241,2,0.258621,1,1,1,1
10,6,96,0.517241,2,0.258621,1,3,3,1
10,8,97,0.517241,2,0.258621,1,2,2,1
10,9,98,1.03448,4,0.258621,1,1,1,1
10,7,99,0.517241,2,0.258621,1,2,2,1
15,16,100,1.55172,6,0.258621,7,4.28571,2,7
15,11,101,0.517241,2,0.258621,20,7.9,2,18
15,6,102,1.03448,4,0.258621,23,6.91304,3,21
15,8,103,1.03448,4,0.258621,15,6.53333,2,14
15,9,104,1.03448,4,0.258621,26,7.38462,3,22
15,7,105,1.03448,4,0.258621,29,7.68966,4,28
16,11,106,1.03448,4,0.258621,5,4.8,2,5
16,6,107,2.06897,8,0.258621,5,4,2,5
16,8,108,1.55172,6,0.258621,3,2.66667,1,3
16,9,109,2.06897,8,0.258621,5,3.6,2,5
16,7,110,1.55172,6,0.258621,5,3.8,3,5
11,6,111,0.517241,2,0.258621,2,3.5,3,2
11,8,112,0.517241,2,0.258621,2,2.5,2,2
11,9,113,1.03448,4,0.258621,1,2,2,1
11,7,114,0.517241,2,0.258621,1,3,3,1
6,8,115,1.55172,6,0.258621,1,1,1,1
6,9,116,1.55172,6,0.258621,1,2,2,1
6,7,117,1.55172,6,0.258621,1,1,1,1
8,9,118,1.55172,6,0.258621,2,2,1,2
8,7,119,1.03448,4,0.258621,2,2,2,2
9,7,120,2.06897,8,0.258621,1,1,1,1
