source,destination,link_id,used_rate_c,usage,capacity_c
16,8,42,12.5,1,12.5
16,0,37,0,0,12.3438
16,1,29,4.13793,0.332123,12.459
16,5,5,0,0,17.1429
15,1,27,12.459,1,12.459
15,14,23,3.10345,0.157716,19.6774
15,13,17,8.83833,0.647092,13.6585
14,15,22,13.9655,0.709723,19.6774
14,12,20,3.62069,0.189655,19.0909
13,3,18,7.2866,0.533483,13.6585
13,15,16,9.87281,0.722831,13.6585
13,0,14,12.3438,1,12.3438
13,12,12,4.13793,0.216749,19.0909
12,14,21,0.517241,0.0270936,19.0909
12,13,13,6.48168,0.339517,19.0909
11,10,39,9.65517,0.526646,18.3333
11,1,31,0,0,12.459
10,9,40,9.65517,0.672936,14.3478
10,11,38,0.517241,0.0282132,18.3333
9,7,50,7.58621,0.41894,18.1081
9,8,49,1.55172,0.124138,12.5
9,10,41,0.517241,0.0360502,14.3478
8,9,48,9.31034,0.744828,12.5
8,6,45,10.9935,0.87948,12.5
8,16,43,0.517241,0.0413793,12.5
8,1,33,0,0,12.459
7,9,51,1.55172,0.0856922,18.1081
7,6,47,1.03448,0.0571282,18.1081
6,7,46,6.25212,0.345266,18.1081
6,8,44,1.55172,0.124138,12.5
5,16,4,16.0345,0.935345,17.1429
5,0,2,5.68966,0.460934,12.3438
5,2,0,3.10345,0.17734,17.5
4,3,10,2.06897,0.119475,17.3171
4,0,8,7.24138,0.586643,12.3438
4,2,6,1.55172,0.08867,17.5
3,13,19,2.06897,0.151478,13.6585
3,4,11,0,0,17.3171
2,0,34,7.75862,0.628546,12.3438
2,4,7,1.03448,0.0591133,17.5
2,5,1,3.10345,0.17734,17.5
1,8,32,12.459,1,12.459
1,11,30,12.459,1,12.459
1,16,28,7.75862,0.622731,12.459
1,15,26,12.459,1,12.459
1,0,24,6.72414,0.54474,12.3438
0,16,36,10.8621,0.879965,12.3438
0,2,35,6.2069,0.502837,12.3438
0,1,25,11.4245,0.925532,12.3438
0,13,15,4.65517,0.377128,12.3438
0,4,9,0,0,12.3438
0,5,3,0,0,12.3438
