source,destination,link_id,used_rate,usage,link_capa
16,8,42,20,1,20
16,0,37,0,0,20
16,1,29,6.72414,0.336207,20
16,5,5,0,0,20
15,1,27,20,1,20
15,14,23,3.10345,0.155172,20
15,13,17,14.4828,0.724138,20
14,15,22,15.5172,0.775862,20
14,12,20,3.62069,0.181034,20
13,3,18,12.931,0.646552,20
13,15,16,11.2069,0.560345,20
13,0,14,17.7586,0.887931,20
13,12,12,4.13793,0.206897,20
12,14,21,2.06897,0.103448,20
12,13,13,9.82759,0.491379,20
11,10,39,14.3103,0.715517,20
11,1,31,0.517241,0.0258621,20
10,9,40,13.2759,0.663793,20
10,11,38,1.03448,0.0517241,20
9,7,50,10,0.5,20
9,8,49,1.55172,0.0775862,20
9,10,41,0.517241,0.0258621,20
8,9,48,14.8276,0.741379,20
8,6,45,16.8966,0.844828,20
8,16,43,0.517241,0.0258621,20
8,1,33,0,0,20
7,9,51,1.55172,0.0775862,20
7,6,47,1.03448,0.0517241,20
6,7,46,8.10345,0.405172,20
6,8,44,1.55172,0.0775862,20
5,16,4,15.3448,0.767241,20
5,0,2,6.37931,0.318966,20
5,2,0,3.10345,0.155172,20
4,3,10,2.06897,0.103448,20
4,0,8,7.24138,0.362069,20
4,2,6,1.55172,0.0775862,20
3,13,19,2.06897,0.103448,20
3,4,11,0,0,20
2,0,34,7.75862,0.387931,20
2,4,7,1.03448,0.0517241,20
2,5,1,3.10345,0.155172,20
1,8,32,20,1,20
1,11,30,20,1,20
1,16,28,7.75862,0.387931,20
1,15,26,18.6207,0.931034,20
1,0,24,6.72414,0.336207,20
0,16,36,15,0.75,20
0,2,35,6.2069,0.310345,20
0,1,25,16.3793,0.818966,20
0,13,15,4.65517,0.232759,20
0,4,9,0,0,20
0,5,3,0,0,20
