source,destination,demand_id,allowed_rate_c_,demand_rate,lambda,number_of_paths,average_length,shortest_path_length
0,1,0,2.02506,52,0.0389434,1,1,1
0,2,1,0.700981,18,0.0389434,1,2,2
0,3,2,1.24619,32,0.0389434,2,3.5,3
0,4,3,2.49238,64,0.0389434,2,3.5,3
0,5,4,1.55773,40,0.0389434,2,2.5,2
0,6,5,1.32407,34,0.0389434,1,2,2
0,7,6,0.545207,14,0.0389434,3,3.33333,3
0,8,7,0.623094,16,0.0389434,1,3,3
0,9,8,1.94717,50,0.0389434,6,4.66667,3
0,10,9,1.55773,40,0.0389434,2,3.5,3
0,11,10,2.02506,52,0.0389434,4,4,2
0,12,11,0.856754,22,0.0389434,1,1,1
0,13,12,0.934641,24,0.0389434,2,1.5,1
1,2,13,1.01253,26,0.0389434,3,3,2
1,3,14,1.7914,46,0.0389434,3,4.33333,2
1,4,15,3.66068,94,0.0389434,3,4.33333,2
1,5,16,2.25872,58,0.0389434,2,2.5,2
1,6,17,1.86928,48,0.0389434,1,3,3
1,7,18,0.778867,20,0.0389434,2,3.5,3
1,8,19,0.856754,22,0.0389434,2,3.5,3
1,9,20,2.88181,74,0.0389434,7,5.28571,3
1,10,21,2.18083,56,0.0389434,2,3.5,3
1,11,22,2.9597,76,0.0389434,4,4,1
1,12,23,1.1683,30,0.0389434,3,4.33333,2
1,13,24,1.24619,32,0.0389434,2,1.5,1
2,3,25,0.856754,22,0.0389434,1,2,2
2,4,26,1.71351,44,0.0389434,1,2,2
2,5,27,1.1683,30,0.0389434,1,2,2
2,6,28,0.934641,24,0.0389434,1,2,2
2,7,29,0.46732,12,0.0389434,1,1,1
2,8,30,0.389434,10,0.0389434,1,3,3
2,9,31,1.32407,34,0.0389434,2,3,3
2,10,32,1.01253,26,0.0389434,1,3,3
2,11,33,1.55773,40,0.0389434,1,1,1
2,12,34,0.623094,16,0.0389434,1,1,1
2,13,35,0.545207,14,0.0389434,2,3,3
3,4,36,4.75109,122,0.0389434,1,2,2
3,5,37,2.88181,74,0.0389434,6,4.66667,3
3,6,38,2.72604,70,0.0389434,2,2,2
3,7,39,0.856754,22,0.0389434,3,4.33333,3
3,8,40,2.3366,60,0.0389434,1,1,1
3,9,41,6.54249,168,0.0389434,1,1,1
3,10,42,7.55501,194,0.0389434,2,2,2
3,11,43,3.03758,78,0.0389434,1,1,1
3,12,44,0.934641,24,0.0389434,3,3,3
3,13,45,1.01253,26,0.0389434,4,4.25,3
4,5,46,5.76362,148,0.0389434,4,3.75,2
4,6,47,4.90687,126,0.0389434,5,3.6,3
4,7,48,1.71351,44,0.0389434,2,3,3
4,8,49,2.10294,54,0.0389434,2,2.5,2
4,9,50,7.08769,182,0.0389434,2,2.5,2
4,10,51,4.47152,144,0.0310522,4,4.25,1
4,11,52,5.34167,172,0.0310562,1,1,1
4,12,53,0.905126,46,0.0196767,3,4,3
4,13,54,0.0572365,52,0.0011007,3,3.33333,3
5,6,55,3.97222,102,0.0389434,4,3.5,3
5,7,56,1.32407,34,0.0389434,1,1,1
5,8,57,1.32407,34,0.0389434,3,4,2
5,9,58,4.43954,114,0.0389434,5,4.4,2
5,10,59,3.42702,88,0.0389434,1,1,1
5,11,60,3.97222,102,0.0389434,2,3,3
5,12,61,1.1683,30,0.0389434,2,3,3
5,13,62,1.32407,34,0.0389434,1,1,1
6,7,63,1.01253,26,0.0389434,1,3,3
6,8,64,1.24619,32,0.0389434,1,1,1
6,9,65,4.28377,110,0.0389434,1,1,1
6,10,66,3.34913,86,0.0389434,4,3.5,2
6,11,67,3.27124,84,0.0389434,2,3,3
6,12,68,1.01253,26,0.0389434,1,1,1
6,13,69,1.09041,28,0.0389434,1,3,3
7,8,70,0.389434,10,0.0389434,3,3.66667,3
7,9,71,1.1935,34,0.035103,3,3.66667,3
7,10,72,0,26,0,1,2,2
7,11,73,1.47985,38,0.0389434,1,2,2
7,12,74,0.46732,12,0.0389434,1,2,2
7,13,75,0.46732,12,0.0389434,1,2,2
8,9,76,6.54249,168,0.0389434,2,2,2
8,10,77,9.19064,236,0.0389434,1,1,1
8,11,78,1.40196,36,0.0389434,1,2,2
8,12,79,0.46732,12,0.0389434,1,2,2
8,13,80,0.46732,12,0.0389434,3,4,3
9,10,81,12.6177,324,0.0389434,1,1,1
9,11,82,4.67162,122,0.038292,2,3,2
9,12,83,1.40196,36,0.0389434,1,2,2
9,13,84,1.63562,42,0.0389434,3,4,3
10,11,85,2.46614,94,0.0262355,4,3.25,2
10,12,86,1.09041,28,0.0389434,4,3.5,3
10,13,87,1.24619,32,0.0389434,1,2,2
11,12,88,1.55773,40,0.0389434,1,2,2
11,13,89,1.63562,42,0.0389434,2,2.5,2
12,13,90,0.623094,16,0.0389434,1,2,2
