source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,1.13058,52,0.021742,1,1,1,1
0,2,1,0.391356,18,0.021742,1,2,2,1
0,3,2,0.695744,32,0.021742,2,3.5,3,2
0,4,3,1.39149,64,0.021742,1,3,3,1
0,5,4,0.86968,40,0.021742,1,2,2,1
0,6,5,0.739228,34,0.021742,1,2,2,1
0,7,6,0.304388,14,0.021742,2,3,3,1
0,8,7,0.347872,16,0.021742,1,3,3,1
0,9,8,1.0871,50,0.021742,1,3,3,1
0,10,9,0.86968,40,0.021742,1,3,3,1
0,11,10,1.13058,52,0.021742,1,2,2,1
0,12,11,0.478324,22,0.021742,1,1,1,1
0,13,12,0.521808,24,0.021742,1,1,1,1
1,2,13,0.565292,26,0.021742,2,2.5,2,2
1,3,14,1.00013,46,0.021742,1,2,2,1
1,4,15,2.04375,94,0.021742,1,2,2,1
1,5,16,1.26104,58,0.021742,1,2,2,1
1,6,17,1.04362,48,0.021742,1,3,3,1
1,7,18,0.43484,20,0.021742,1,3,3,1
1,8,19,0.478324,22,0.021742,2,3.5,3,1
1,9,20,1.60891,74,0.021742,3,3.66667,3,2
1,10,21,1.21755,56,0.021742,1,3,3,1
1,11,22,1.65239,76,0.021742,1,1,1,1
1,12,23,0.65226,30,0.021742,1,2,2,1
1,13,24,0.695744,32,0.021742,2,1.5,1,1
2,3,25,0.478324,22,0.021742,1,2,2,1
2,4,26,0.956648,44,0.021742,1,2,2,1
2,5,27,0.65226,30,0.021742,1,2,2,1
2,6,28,0.521808,24,0.021742,1,2,2,1
2,7,29,0.260904,12,0.021742,1,1,1,1
2,8,30,0.21742,10,0.021742,2,3,3,1
2,9,31,0.739228,34,0.021742,2,3,3,2
2,10,32,0.565292,26,0.021742,1,3,3,1
2,11,33,0.86968,40,0.021742,1,1,1,1
2,12,34,0.347872,16,0.021742,1,1,1,1
2,13,35,0.304388,14,0.021742,2,3,3,1
3,4,36,2.65252,122,0.021742,2,2.5,2,1
3,5,37,1.60891,74,0.021742,4,4,3,3
3,6,38,1.52194,70,0.021742,2,2,2,2
3,7,39,0.478324,22,0.021742,2,4,3,1
3,8,40,1.30452,60,0.021742,1,1,1,1
3,9,41,3.65266,168,0.021742,1,1,1,1
3,10,42,4.21795,194,0.021742,2,2,2,2
3,11,43,1.69588,78,0.021742,1,1,1,1
3,12,44,0.521808,24,0.021742,3,3,3,3
3,13,45,0.565292,26,0.021742,1,3,3,1
4,5,46,3.21782,148,0.021742,2,3,2,2
4,6,47,2.73949,126,0.021742,3,3.33333,3,2
4,7,48,0.956648,44,0.021742,1,3,3,1
4,8,49,1.17407,54,0.021742,2,2.5,2,1
4,9,50,3.95705,182,0.021742,2,2.5,2,2
4,10,51,3.13085,144,0.021742,1,1,1,1
4,11,52,3.73963,172,0.021742,1,1,1,1
4,12,53,1.00013,46,0.021742,1,3,3,1
4,13,54,1.13058,52,0.021742,2,3.5,3,2
5,6,55,2.21768,102,0.021742,3,3.33333,3,2
5,7,56,0.739228,34,0.021742,1,1,1,1
5,8,57,0.739228,34,0.021742,1,2,2,1
5,9,58,2.47859,114,0.021742,1,2,2,1
5,10,59,1.9133,88,0.021742,1,1,1,1
5,11,60,2.21768,102,0.021742,1,3,3,1
5,12,61,0.65226,30,0.021742,1,3,3,1
5,13,62,0.739228,34,0.021742,1,1,1,1
6,7,63,0.565292,26,0.021742,1,3,3,1
6,8,64,0.695744,32,0.021742,1,1,1,1
6,9,65,2.39162,110,0.021742,1,1,1,1
6,10,66,1.86981,86,0.021742,2,2,2,2
6,11,67,1.82633,84,0.021742,1,3,3,1
6,12,68,0.565292,26,0.021742,1,1,1,1
6,13,69,0.608776,28,0.021742,1,3,3,1
7,8,70,0.21742,10,0.021742,2,3.5,3,1
7,9,71,0.739228,34,0.021742,2,3.5,3,1
7,10,72,0.565292,26,0.021742,1,2,2,1
7,11,73,0.826196,38,0.021742,1,2,2,1
7,12,74,0.260904,12,0.021742,1,2,2,1
7,13,75,0.260904,12,0.021742,1,2,2,1
8,9,76,3.65266,168,0.021742,2,2,2,2
8,10,77,5.13111,236,0.021742,1,1,1,1
8,11,78,0.782712,36,0.021742,1,2,2,1
8,12,79,0.260904,12,0.021742,1,2,2,1
8,13,80,0.260904,12,0.021742,2,3.5,3,1
9,10,81,7.04441,324,0.021742,1,1,1,1
9,11,82,2.65252,122,0.021742,1,2,2,1
9,12,83,0.782712,36,0.021742,1,2,2,1
9,13,84,0.913164,42,0.021742,2,3.5,3,1
10,11,85,2.04375,94,0.021742,3,3,2,3
10,12,86,0.608776,28,0.021742,3,3.33333,3,2
10,13,87,0.695744,32,0.021742,1,2,2,1
11,12,88,0.86968,40,0.021742,1,2,2,1
11,13,89,0.913164,42,0.021742,1,2,2,1
12,13,90,0.347872,16,0.021742,1,2,2,1
