source,destination,link_id,used_rate,usage,link_capa
13,5,31,8.92561,0.44628,20
13,1,9,0,0,20
13,0,5,1.23967,0.0619834,20
12,6,37,10.8264,0.541322,20
12,2,15,3.96693,0.198346,20
12,0,3,1.81818,0.0909091,20
11,4,25,13.3884,0.669421,20
11,3,21,14.7934,0.73967,20
11,2,13,9.00823,0.450411,20
11,1,7,4.95868,0.247934,20
10,9,41,9.25618,0.462809,20
10,8,39,10.4132,0.520661,20
10,5,29,14.9587,0.747935,20
10,4,23,1.36e-05,6.8e-07,20
9,10,40,18.6777,0.933884,20
9,6,35,10.1653,0.508264,20
9,3,19,3.47109,0.173554,20
8,10,38,20,1,20
8,6,33,14.3802,0.719009,20
8,3,17,5.37189,0.268594,20
7,5,27,7.93385,0.396692,20
7,2,11,12.1487,0.607436,20
6,12,36,9.00825,0.450412,20
6,9,34,20,1,20
6,8,32,5.86777,0.293388,20
5,13,30,7.27272,0.363636,20
5,10,28,20,1,20
5,7,26,12.314,0.615701,20
4,11,24,20,1,20
4,10,22,20,1,20
3,11,20,20,1,20
3,9,18,20,1,20
3,8,16,14.1322,0.706612,20
2,12,14,9.42148,0.471074,20
2,11,12,15.7024,0.785122,20
2,7,10,9.42145,0.471073,20
1,13,8,11.9008,0.595041,20
1,11,6,20,1,20
1,0,1,3.22314,0.161157,20
0,13,4,6.1157,0.305785,20
0,12,2,10.8264,0.541322,20
0,1,0,8.26446,0.413223,20
