source,destination,link_id,used_rate_c,usage,capacity_c
13,5,31,8.92561,0.540234,16.5217
13,1,9,0,0,18.1818
13,0,5,1.23967,0.0658574,18.8235
12,6,37,10.8264,0.575154,18.8235
12,2,15,3.96693,0.225047,17.6271
12,0,3,1.81818,0.0965909,18.8235
11,4,25,13.3884,0.819464,16.338
11,3,21,14.2719,0.87354,16.338
11,2,13,7.49503,0.425199,17.6271
11,1,7,2.80992,0.171986,16.338
10,9,41,7.85122,0.392561,20
10,8,39,10,0.5,20
10,5,29,14.9587,0.905395,16.5217
10,4,23,0,0,20
9,10,40,18.6777,0.933884,20
9,6,35,10.1653,0.54003,18.8235
9,3,19,0,0,20
8,10,38,20,1,20
8,6,33,13.2037,0.701447,18.8235
8,3,17,5.181,0.25905,20
7,5,27,5.04129,0.305131,16.5217
7,2,11,12.1487,0.689207,17.6271
6,12,36,9.00825,0.478563,18.8235
6,9,34,18.8235,1,18.8235
6,8,32,5.86777,0.311725,18.8235
5,13,30,7.27272,0.440191,16.5217
5,10,28,16.5217,1,16.5217
5,7,26,12.314,0.745322,16.5217
4,11,24,16.338,1,16.338
4,10,22,20,1,20
3,11,20,16.338,1,16.338
3,9,18,19.4785,0.973926,20
3,8,16,14.1322,0.706612,20
2,12,14,7.90828,0.448643,17.6271
2,11,12,15.7024,0.890811,17.6271
2,7,10,9.42145,0.534486,17.6271
1,13,8,9.75206,0.536363,18.1818
1,11,6,16.338,1,16.338
1,0,1,3.22314,0.171229,18.8235
0,13,4,6.1157,0.324897,18.8235
0,12,2,10.8264,0.575155,18.8235
0,1,0,8.26446,0.439049,18.8235
