source,destination,demand_id,allowed_rate,demand_rate,lambda,number_of_paths,number_of_reused_paths,average_length,shortest_path_length
0,1,0,23.8475,10,2.38475,1,1,1,1
1,0,1,26.2322,11,2.38475,1,1,1,1
0,2,2,26.2322,11,2.38475,1,2,2,1
2,0,3,19.078,8,2.38475,1,2,2,1
0,3,4,4.7695,2,2.38475,2,3,3,2
3,0,5,28.617,12,2.38475,2,3,3,2
0,4,6,33.3865,14,2.38475,3,4,4,2
4,0,7,16.6932,7,2.38475,4,4.25,4,3
0,5,8,14.3085,6,2.38475,2,5,5,2
5,0,9,2.38475,1,2.38475,4,5.75,5,4
0,6,10,16.6932,7,2.38475,3,6,6,2
6,0,11,23.8475,10,2.38475,6,6.83333,6,4
0,7,12,4.7695,2,2.38475,3,7.33333,7,2
7,0,13,28.617,12,2.38475,9,8.11111,7,7
0,8,14,26.2322,11,2.38475,17,7.76471,7,10
8,0,15,2.38475,1,2.38475,14,8.07143,7,11
0,9,16,26.2322,11,2.38475,16,7.25,6,12
9,0,17,7.15425,3,2.38475,10,7,6,8
0,10,18,33.3865,14,2.38475,16,6.1875,5,10
10,0,19,4.7695,2,2.38475,11,6.09091,5,9
0,11,20,14.3085,6,2.38475,19,7.15789,6,8
11,0,21,16.6932,7,2.38475,11,7,6,10
0,12,22,11.9237,5,2.38475,16,6.25,5,12
12,0,23,26.2322,11,2.38475,9,5.88889,5,7
0,13,24,7.15425,3,2.38475,1,5,5,1
13,0,25,19.078,8,2.38475,7,6.14286,5,6
0,14,26,14.3085,6,2.38475,14,5.57143,4,13
14,0,27,11.9237,5,2.38475,13,5.61538,4,10
0,15,28,33.3865,14,2.38475,14,4.57143,3,11
15,0,29,28.617,12,2.38475,13,4.61538,3,7
0,16,30,31.0017,13,2.38475,10,5.3,4,6
16,0,31,31.0017,13,2.38475,18,5.55556,4,10
0,17,32,23.8475,10,2.38475,12,5,3,6
17,0,33,21.4627,9,2.38475,16,5.125,3,11
0,18,34,2.38475,1,2.38475,12,3.91667,2,9
18,0,35,33.3865,14,2.38475,14,4.14286,2,11
0,19,36,16.6932,7,2.38475,2,1.5,1,2
19,0,37,31.0017,13,2.38475,2,1.5,1,2
0,20,38,14.3085,6,2.38475,1,1,1,1
20,0,39,21.4627,9,2.38475,1,1,1,1
0,21,40,28.617,12,2.38475,3,2.33333,2,3
21,0,41,2.38475,1,2.38475,3,2.33333,2,3
0,22,42,4.7695,2,2.38475,6,3.5,3,5
22,0,43,7.15425,3,2.38475,6,3.5,3,4
0,23,44,4.7695,2,2.38475,11,3.90909,3,8
23,0,45,26.2322,11,2.38475,10,3.8,3,9
0,24,46,7.15425,3,2.38475,12,4.5,4,9
24,0,47,26.2322,11,2.38475,10,4.4,4,7
0,25,48,16.6932,7,2.38475,20,5.5,4,14
